"","Basin","2000","2001","2002","2003","2004","2005"
"1","Ganges",0.243496298265662,0.243496298265662,0.243496298265662,0.243496298265662,0.243496298265662,0.243496298265662
"2","Mekong",9.11572504985415e-05,9.11572504985415e-05,9.11572504985415e-05,9.11572504985415e-05,9.11572504985415e-05,9.11572504985415e-05
"3","Irawaddy",1.00169905357523e-05,1.00169905357523e-05,1.00169905357523e-05,1.00169905357523e-05,1.00169905357523e-05,1.00169905357523e-05
"4","Luni_ext",0.0230125798351966,0.0230125798351966,0.0230125798351966,0.0230125798351966,0.0230125798351966,0.0230125798351966
"5","Indus",0.733518448714745,0.733518448714745,0.733518448714745,0.733518448714745,0.733518448714745,0.733518448714745
"6","Amu_Darya",0.0911227113370955,0.0911227113370955,0.0911227113370955,0.0911227113370955,0.0911227113370955,0.0911227113370955
"7","Brahmaputra",0.0113804672571075,0.0113804672571075,0.0113804672571075,0.0113804672571075,0.0113804672571075,0.0113804672571075
"8","Syr_Darya",0.0234941125488481,0.0234941125488481,0.0234941125488481,0.0234941125488481,0.0234941125488481,0.0234941125488481
"9","Salween",0.000332145428654739,0.000332145428654739,0.000332145428654739,0.000332145428654739,0.000332145428654739,0.000332145428654739
"10","Tarim",0.110419234714702,0.110419234714702,0.110419234714702,0.110419234714702,0.110419234714702,0.110419234714702
"11","Ili",0.125831841836405,0.125831841836405,0.125831841836405,0.125831841836405,0.125831841836405,0.125831841836405
"12","Inner_Tibetan_Plateau",9.56453268411983e-05,9.56453268411983e-05,9.56453268411983e-05,9.56453268411983e-05,9.56453268411983e-05,9.56453268411983e-05
"13","Yangtze",0.0160496515713735,0.0160496515713735,0.0160496515713735,0.0160496515713735,0.0160496515713735,0.0160496515713735
"14","Inner_Tibetan_Plateau_extended",0.0121756714032261,0.0121756714032261,0.0121756714032261,0.0121756714032261,0.0121756714032261,0.0121756714032261
"15","Yellow",0.000925130092616627,0.000925130092616627,0.000925130092616627,0.000925130092616627,0.000925130092616627,0.000925130092616627
"16","all_basins",1.39401340246771,1.39401340246771,1.39401340246771,1.39401340246771,1.39401340246771,1.39401340246771
