"Basin","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges","0.00608816001194367","0.00339600117888051","0.00155924360186291","0.0025315103047447","0.00549352555659375","0.0821808747945989","0.0212069471764571","0.012192035372204","0.013565142588084","0.00799019509070402","0.00338633265347527","0.00239091599601486","0.00226675691733332","0.00213285942745364","0.000955636959055285","0.00113811614843858","0.00462590562483463","0.0636348904674934","0.0159460161595939","0.0114359725530652","0.0228063132650222","0.00699384786931001","0.00400513084774466","0.00235229864891114","0.00185966903190483","0.00181031129660495","0.000825209200965903","0.000934247853788002","0.0037852475337007","0.0673548616073811","0.0552038939784343","0.0366973847113498","0.0182107639762069","0.00581661312078327","0.00321267936723111","0.00199928970234866","0.00183601509685149","0.0017440569437184","0.000977955158787108","0.000899407929963938","0.00176898559403285","0.0411256310023793","0.00490151461526045","0.00523673485147134","0.0107475511323317","0.00444899324052935","0.00141397123682547","0.00181103806144398","0.00112554369961607","0.00130615877185052","0.000616845127842626","0.000954509974037337","0.00572599994718366","0.128087678322794","0.0328141234189574","0.0356083635565757","0.048152425334225","0.0255042849559138","0.00951893749351628","0.00619002992516821","0.00608490541875447","0.00365706768715777","0.00187859356352432","0.00243941426638134","0.00585027432473412","0.152122683665301","0.026660286402689","0.0240838403993945","0.0530598232046902","0.0158928816240957","0.0091558037129729","0.00492841076620589"
"Mekong","1.80320596562024e-06","5.08104440195278e-07","1.21043388775927e-07","1.97613491958016e-07","1.19215723208554e-07","5.05259395637815e-06","8.85401887226106e-06","1.06471674944582e-05","1.38256765379878e-05","1.07670371277158e-05","9.15421606453193e-06","6.02782610288065e-06","2.85775278649048e-06","6.4019252483293e-07","2.1393113939872e-07","1.34950849319062e-07","1.1524109227735e-06","6.83942588629224e-06","1.05243012031322e-05","1.55709529318417e-05","1.08431801835997e-05","1.24493489767037e-05","7.27889975444476e-06","2.59456113763095e-06","1.00938506883556e-06","3.08143112459694e-07","7.09717068508902e-08","6.27581530156364e-08","3.22462674770839e-07","1.80467920604146e-05","1.24695658164419e-05","1.47460907613319e-05","1.31344609534962e-05","2.11584060853459e-05","1.79599429922423e-05","6.31961624721056e-06","2.95431568823247e-06","7.34190305234896e-07","1.44272561588987e-07","4.46977990896713e-08","1.89920885175408e-07","5.21931383605839e-06","6.5740672871392e-06","1.26826920542513e-05","1.3548857660963e-05","1.81424432305494e-05","2.44681309227876e-05","1.44197187555904e-05","5.82037674914829e-06","1.01132493185574e-06","1.44848665756821e-07","7.06239450596241e-08","2.54912580696395e-07","7.91433059339194e-06","1.78578781177238e-05","1.77408844741237e-05","1.16155091203101e-05","1.27125676550011e-05","8.83302183291666e-06","3.67241653513333e-06","2.00403782766979e-06","5.57054323613802e-07","1.0283810427648e-07","4.16906226113369e-08","2.81318554710397e-07","1.89311937145233e-06","8.64433711774451e-06","1.6385223089487e-05","1.66179044856086e-05","1.89848635041138e-05","2.10769764777531e-05","1.22028525126043e-05"
"Irawaddy","3.75898875697119e-09","6.22896633869981e-09","3.7854540946099e-09","1.92869059800372e-09","1.36040462192644e-09","3.07196936650936e-09","2.68485059856722e-06","3.74620266353134e-06","3.95672939468321e-06","8.98577928398407e-07","7.27502981461615e-07","5.09191641385186e-08","7.97131549347035e-09","8.94582627238244e-09","3.34016539174836e-09","1.69686084638159e-09","9.64405499596974e-09","1.15001933774276e-08","2.66073697260618e-06","3.42417986032908e-06","3.19676436414614e-06","7.04160080741552e-07","1.79228803858447e-07","1.4844452513863e-08","4.52899816471224e-09","4.69535593818469e-09","2.43819468880409e-09","3.25682911961818e-09","1.57099652716377e-07","5.14329478742084e-07","3.56614762467143e-06","3.34149194316971e-06","3.78620893101404e-06","9.02702198410464e-07","1.86939292790168e-07","1.75741866596032e-08","8.99005297879441e-09","2.27288429493424e-08","9.31754889165598e-09","1.47136810814824e-09","4.76978589098065e-08","4.89168148989899e-09","2.83503130515002e-06","2.62534478446453e-06","3.45243781240212e-06","1.08287887047988e-06","2.93734614389762e-07","2.27190517666162e-08","7.8565412180266e-09","1.83015822083722e-08","7.64143937799642e-09","3.50195564331744e-09","3.38221044780463e-08","2.09734063934054e-09","1.74127832054125e-06","3.24403521469732e-06","3.06959721049674e-06","5.64387549544755e-07","3.0010137120657e-08","5.06764182508747e-09","3.90032031420253e-09","6.01282848693357e-09","3.62138625330692e-09","7.60437286695315e-10","2.10235627374777e-09","2.60880784734651e-09","2.44539904336257e-06","2.80400655135917e-06","3.06909036998086e-06","8.06210873927371e-07","2.64146415211731e-07","1.89196075073498e-08"
"Luni_ext","0.000871437300017205","0.000627924376107812","0.000590962057702207","0.000819720870128296","0.000395174643431934","0.00030258611699298","0.00130977302361938","0.00268732625314578","0.00453156144767914","0.00301120553126648","0.00133342421685402","0.000480410916777898","0.000501126112252909","0.000718222361626226","0.000636171468671286","0.00057492615355563","0.000427843637609338","0.000580927910092348","0.000258785862293152","0.00262686605364089","0.00477441379104656","0.00246582016202965","0.00181550373334429","0.000681443647039994","0.000403079796565248","0.000676082834060387","0.000575920378663063","0.000565040829145088","0.00043366766472082","0.000360905224667241","0.00212233467010021","0.00432172582827606","0.00575906765075334","0.00262487954243785","0.00179028000404543","0.00045420191941765","0.000639377004411427","0.00117307913965295","0.000771028937751514","0.000542130982920844","0.000291256747949359","0.000390281216144211","0.000734185231974631","0.00190888932015623","0.00300249865182677","0.0020068961037162","0.00109186706456233","0.000299739553525198","0.000376130199267173","0.000386996997893232","0.000412806588247557","0.000440662190895036","0.00026062354262747","0.000455011203374521","0.00168728980985959","0.00347532469393645","0.00596813240172166","0.00343956883280446","0.00220033946870294","0.000777385891676352","0.000725787892283527","0.000817891051356281","0.000851129649707343","0.000764335547740207","0.000441627423763309","0.000406059517292022","0.00139737683148364","0.00347840682871661","0.00809846255580006","0.00454467259635675","0.00258946489143705","0.000881285653962477"
"Indus","0.0155679683821192","0.0133436425642179","0.00852127927647955","0.00838347185523282","0.00430947416216048","0.050132096864382","0.0664823726964143","0.121764306779966","0.16385531184413","0.0633377870584598","0.0365725275917596","0.00440275389137079","0.00849284134211708","0.013241598473877","0.00783551948918284","0.00678222825223763","0.00584581822132495","0.0446860670192528","0.0514274335058418","0.128893370759","0.20999125496222","0.0689605566989018","0.0438475218230827","0.0067302349451127","0.00831918568633221","0.0149968011515","0.0102335155346272","0.008634227065867","0.00508116442353261","0.0400861152205441","0.0875914707092919","0.192205573654788","0.147414893413153","0.0536646079388774","0.0359986207919348","0.00483749578677863","0.0161452923968839","0.0151374247730966","0.0107751525082064","0.0055544812795273","0.00294133270875135","0.0225851059900638","0.0310885722627209","0.0970556338419902","0.156817175632412","0.0605073232238632","0.0279884559497604","0.00646952025358847","0.00701078060444587","0.0112246749796137","0.00651932661930917","0.0072023645453321","0.00406400720687113","0.0520061674634928","0.0849092040251907","0.172666645519246","0.214452881484359","0.0748716920297041","0.0453721500021175","0.00948504268140343","0.0212460040439918","0.0161151721643426","0.0105437257780825","0.0066472834558296","0.00375474063163824","0.0640010208840247","0.0860103446420446","0.193326950639892","0.226250817711917","0.075128865150104","0.0459105258953681","0.00720745288579829"
"Amu_Darya","7.23792120349083e-05","6.32280430830646e-05","4.27714446816193e-05","0.000199205789331159","0.000925177578340039","0.00203497922343824","0.0117871300935893","0.0289091644806071","0.0191373802877603","0.00587769083961432","0.00117691770810876","1.93269723067654e-05","0.000212020314201376","0.000323936342409362","3.34390991625917e-05","0.000139334613201125","0.00100728360070367","0.00243098612664494","0.0113405803925764","0.0223254698293158","0.017701702444243","0.0050559600079066","0.000473798556139639","9.57195495015895e-06","7.85756669977237e-05","2.72067461731433e-05","0.000144026624374344","0.000153222529618185","0.00127422502606082","0.0019500632983613","0.0122689837159916","0.0230944314061654","0.0172069653702448","0.00702726323276987","0.000216841914794868","2.79536873408097e-06","0.000115967503305965","3.08572503161861e-05","6.43326605355895e-05","0.000142136721742151","0.00107723363196724","0.00227779057796573","0.010479844240825","0.0231141717571702","0.0200626324665567","0.00651528538428152","0.000211784788970881","2.82239219599365e-07","7.19519379737307e-05","1.51362408178586e-05","2.10298331943142e-06","7.59800995356329e-05","0.000287236126464955","0.00141805077553899","0.00962850541482092","0.0212836314113586","0.0149623988364503","0.00497795403425434","0.000468586911761777","2.8855308305384e-05","6.71961440667974e-05","3.38932804595978e-05","7.61220655157639e-06","0.000309147292169571","0.0014270640998681","0.00306429378035585","0.0124568642662643","0.026366647598653","0.0153460906657684","0.00587471057992726","0.000936411873661533","6.15389277261619e-05"
"Brahmaputra","9.97353625825688e-05","8.82250578915058e-05","7.97461808534176e-05","4.16742180521349e-05","0.000288534765692643","0.000865391425805672","0.00134195933039516","0.00119739925339772","0.000679527380607565","0.00019747788336847","4.67434531134944e-05","5.1026710875532e-05","4.40873318615004e-05","6.93141016114017e-05","9.49050034331435e-05","4.85184094898602e-05","0.000173468677536078","0.000969262810387482","0.00299726475355665","0.00279819570970626","0.00146780575595026","0.000721012766548193","0.000221935414051258","0.000232589340404438","0.000123673657498571","8.87118996176873e-05","7.3287225780327e-05","2.77086846672243e-05","0.000147841225403213","0.00186211680563849","0.00174215904052318","0.000867497227241712","0.000379187664308373","0.000192245660970751","3.35736152526867e-05","3.72088189743095e-05","3.03338547939317e-05","3.1786971362924e-05","4.5067556267246e-05","2.49608348058169e-05","6.7450523021619e-05","0.000513086255543576","0.000644291875658968","0.000949452860975697","0.000989803033700027","0.000419522680506524","5.05322284344593e-05","7.5851107157616e-05","5.60157020625776e-05","6.63804789666513e-05","9.1946667822404e-05","5.18431740131692e-05","9.05446338054737e-05","0.00370260294138248","0.00264491595092176","0.00147157080423522","0.00113137497755052","0.00032768031337226","6.33337161348239e-05","0.00013016384423953","9.13233938635057e-05","0.000101194426429946","8.12393276855708e-05","4.3939300622706e-05","0.000121942456387747","0.000675869501854883","0.000971761653984244","0.000824256607242358","0.00103221642206958","0.000359279176588669","3.67827549642082e-05","4.87707592730422e-05"
"Syr_Darya","8.11553245012586e-05","1.24137259411294e-05","1.63332297492833e-05","2.25630369365959e-05","0.000225150406286524","0.000643766310722388","0.00442074243336494","0.0121162488493118","0.0083843195335579","0.00266714995990315","0.000435847123926011","1.69590242048009e-05","8.62540816725981e-05","0.000114217256284359","3.42600305297917e-05","2.96292725238678e-05","0.00010705195166405","0.000484304051550616","0.00285731981000698","0.00602022348425082","0.00485808987078913","0.00123591818391174","1.18392387076227e-05","2.26285678195381e-07","1.05031174664205e-05","1.96984316449544e-05","4.85164942572135e-05","1.87302135103984e-05","0.000306847765497582","0.000501884996404814","0.003602799927227","0.00759233659083041","0.00621582848164954","0.00227517612132468","3.72340878485033e-06","2.28539978053277e-08","2.44504335168289e-05","2.62974835326356e-05","5.5635018866608e-05","4.81796236999621e-05","0.000346391528609288","0.000647001965056635","0.00437230295000123","0.00822304366098832","0.0068768401331311","0.00183394296980229","8.77313014946424e-06","5.47171509879263e-07","3.21611878106864e-06","5.62505644392808e-06","5.4261778615998e-07","8.6910523489081e-07","2.99531395001603e-05","0.000303960055806431","0.00409796327552982","0.0080480866834839","0.00549572787216231","0.00156076744678681","0.000125993898254961","2.0048565595232e-05","0.000156458408612115","1.0248770939969e-05","5.33511235190076e-10","0.000147796054110319","0.000638788785169305","0.000688620467478987","0.00431658744736647","0.0101291719663987","0.00514803430716263","0.0019311584662409","3.09309704817906e-05","1.55479648356049e-06"
"Salween","2.94933124044397e-07","2.72550382349276e-07","1.56485870175202e-07","6.50006314602632e-08","1.45682194695248e-07","1.55758539302066e-05","3.68183986632979e-05","7.7357931029241e-05","7.69602946723297e-05","1.445339055803e-05","2.82986335184694e-06","3.16840975432326e-07","1.62252486964964e-07","3.64142328407437e-07","3.60912255058377e-07","4.26842247281559e-08","1.8739559090579e-07","3.94405820553336e-05","9.97871754763613e-05","0.000106854044329771","5.80082031661624e-05","1.26145825121922e-05","1.35789239857488e-06","3.16994215847714e-07","2.26042144735084e-07","2.08929574803557e-07","1.45154319228758e-07","1.33077958165544e-07","3.71233167208922e-07","5.18616673358286e-05","9.143861305035e-05","0.000117824215134567","6.92683125740208e-05","1.73928689440188e-05","1.59494210001718e-06","3.41048950296442e-07","2.59498453414072e-07","2.6070260885685e-07","1.46667565689093e-07","7.46939236043567e-09","9.33800482529232e-08","2.57611499641271e-05","5.25349828882705e-05","9.07090208373404e-05","8.04500643949945e-05","2.75588795652011e-05","2.18258676520269e-06","3.80464337499787e-07","2.84696694666819e-07","2.54185332903771e-07","1.31709589193761e-07","3.25441961078366e-08","9.00269285159442e-07","5.21550789522303e-05","8.42484340055776e-05","0.000128846017385043","7.14790443320674e-05","1.44610717829088e-05","6.6175520834258e-07","3.35868369949339e-07","2.87032999823406e-07","2.70470064945374e-07","1.42048323185992e-07","3.76181630404515e-08","9.64836327712186e-08","2.06314417358788e-05","9.17939744001759e-05","0.000126141344043754","0.000101931711101337","2.69546882224527e-05","2.21905354887271e-06","4.29294412310385e-07"
"Tarim","4.57546115942061e-05","6.56638945521135e-05","3.40240673579705e-05","3.90806946400091e-06","0.0019052902486939","0.011423007717569","0.0368009559147433","0.0482063883107648","0.0138376749859286","0.000772462609930972","0.000100795268296914","0.000157198115695131","7.24888833780196e-05","9.52191902114374e-05","5.72253883720231e-05","9.37448768712455e-06","0.00104001457844945","0.00958922835331949","0.0364479781216972","0.0407332605050855","0.0108833656156757","0.000410190454750702","3.49477015144234e-05","0.000125714330456599","8.56090359665496e-05","8.19857199945463e-05","5.33630548160139e-05","8.07928857203891e-06","0.00146667486550501","0.00734204776635377","0.033963300755558","0.0349656310070685","0.0109442264056895","0.000724174922189669","3.21870450332334e-05","8.19746685403504e-05","7.02394514605334e-05","4.78901989348579e-05","4.04109467786219e-05","1.95689426769221e-05","0.00226403786847517","0.00912473002389394","0.0314220960577411","0.0282270102123521","0.00736197910248403","0.000331957619934558","4.26996272775426e-05","3.18218990425855e-05","6.71596316342577e-05","6.60378970980891e-05","3.45883256124627e-05","1.26586438925827e-05","0.00144672213242711","0.00864254284861829","0.0365384850034978","0.0318178466471911","0.00819430619402154","0.000343898675310457","1.70823015468977e-05","7.51038722219268e-05","4.05243455365407e-05","4.43027419470702e-05","3.89472159451072e-05","1.65972690489968e-05","0.00505218521121116","0.00974690353512494","0.0349053628709041","0.033609795066718","0.00771185420936321","0.00033434697116693","4.81009747628387e-05","7.83646197998388e-05"
