Basin,Month_of_Max,Max_Value
1,Ganges,Jun,1.9342478105259
2,Mekong,Oct,0.000500136725626703
3,Irawaddy,Sep,0.000108143197275275
4,Luni_ext,Sep,0.110819497209118
5,Indus,Sep,4.48802436610651
6,Amu_Darya,Aug,0.92471606861629
7,Brahmaputra,Jul,0.0537157667462061
8,Syr_Darya,Aug,0.238880546386066
9,Salween,Aug,0.00416541938521406
10,Tarim,Jul,1.06886262526744
11,Ili,Jul,1.32335619444044
12,Inner_Tibetan_Plateau,Jul,0.00062697405351031
13,Yangtze,Nov,0.05308596460817
14,Inner_Tibetan_Plateau_extended,Aug,0.154810750371168
15,Yellow,Jul,0.00849311016788568
16,all_basins,Aug,8.0906220769649
