Basin,Month_of_Max,Max_Value
1,Ganges,Nov,93.8394872773913
2,Mekong,Nov,99.8367058246586
3,Irawaddy,Jun,99.9835011915088
4,Luni_ext,Oct,81.0683343857433
5,Indus,Mar,83.6030614953058
6,Amu_Darya,Mar,74.3493878913416
7,Brahmaputra,Nov,99.6029402691213
8,Syr_Darya,Mar,75.9710907669767
9,Salween,Mar,98.9935119782394
10,Tarim,Jan,65.30544694244
11,Ili,Jan,65.2728186667645
12,Inner_Tibetan_Plateau,Oct,68.3266840613257
13,Yangtze,Feb,97.8567649594372
14,Inner_Tibetan_Plateau_extended,Oct,73.8882075098742
15,Yellow,Jan,88.1551778190153
16,all_basins,Jan,89.7825173593142
