Basin,Month_of_Max,Max_Value
1,Ganges,Jun,7.31411086940833
2,Mekong,Jun,0.0429993506886887
3,Irawaddy,Jul,0.00130955221570046
4,Luni_ext,Jul,0.338392804344121
5,Indus,Jun,16.8609757662876
6,Amu_Darya,Jul,2.98652845835106
7,Brahmaputra,May,0.258353724720448
8,Syr_Darya,Aug,1.76552520530585
9,Salween,Jun,0.0318124719584856
10,Tarim,Jul,2.60418026982947
11,Ili,Jul,1.39267635485568
12,Inner_Tibetan_Plateau,Jul,0.0061996896117004
13,Yangtze,Jul,2.08588334800059
14,Inner_Tibetan_Plateau_extended,Jun,0.556445607829573
15,Yellow,Jul,2.60726520152034
16,all_basins,Jun,33.688491319361
