Basin,Month_of_Max,Max_Value
1,Ganges,Jun,22.844905318289
2,Mekong,Jun,1.47335269716854
3,Irawaddy,May,1.13578213772062
4,Luni_ext,Jul,20.6330377892532
5,Indus,Jun,40.2662353789256
6,Amu_Darya,Jul,43.3429742102813
7,Brahmaputra,May,5.92225329713049
8,Syr_Darya,Jun,35.9052054327825
9,Salween,May,19.3062395181232
10,Tarim,Apr,45.9144025958266
11,Ili,Apr,39.0739789560167
12,Inner_Tibetan_Plateau,Jul,60.4598462203112
13,Yangtze,May,9.68199526494037
14,Inner_Tibetan_Plateau_extended,Jun,46.4890725397557
15,Yellow,Jul,18.8730181716725
16,all_basins,Jun,23.5357837002478
