Basin,Month_of_Max,Max_Value
1,Ganges,Jun,7.8095072299987
2,Mekong,Feb,0.0026116462627759
3,Irawaddy,Feb,1.16790181781601e-10
4,Luni_ext,May,2.1577237782334
5,Indus,Jun,1.09979000475855
6,Amu_Darya,Aug,0.287917805689061
7,Brahmaputra,Mar,0.0615813549859559
8,Syr_Darya,Aug,0.00039175154699878
9,Salween,Jun,9.83364548936941e-21
10,Tarim,May,0.00518290442132432
11,Ili,Jul,0.757998316180331
12,Inner_Tibetan_Plateau,May,0.000356399060628643
13,Yangtze,Jul,1.43096718143714
14,Inner_Tibetan_Plateau_extended,May,0.138108207444944
15,Yellow,Jul,1.30798599570988
16,all_basins,Jun,12.6167993159805
