Basin,Month_of_Max,Max_Value
1,Ganges,May,28.1113136469705
2,Mekong,Feb,0.0619348318802664
3,Irawaddy,May,2.33622834780466e-08
4,Luni_ext,May,47.6029798555521
5,Indus,Feb,2.89304530062072
6,Amu_Darya,Nov,11.474052639675
7,Brahmaputra,Apr,0.991429768028043
8,Syr_Darya,Nov,0.833684076865258
9,Salween,Jun,5.28163292584071e-18
10,Tarim,Mar,1.02712995570113
11,Ili,Apr,25.8277670348731
12,Inner_Tibetan_Plateau,Jun,6.11819117362896
13,Yangtze,Apr,3.63855784544949
14,Inner_Tibetan_Plateau_extended,Apr,45.7125299345991
15,Yellow,Jul,8.545574343287
16,all_basins,May,13.0062001791665
