Basin,Month_of_Max,Max_Value
1,Ganges,Jun,1.52802551372028
2,Mekong,Aug,0.000356079820260655
3,Irawaddy,Aug,7.21014280047526e-05
4,Luni_ext,Sep,0.0308201142267212
5,Indus,Aug,1.04378053393311
6,Amu_Darya,Aug,0.220417402435753
7,Brahmaputra,Jul,0.0274872958551631
8,Syr_Darya,Aug,0.12020748865894
9,Salween,Aug,0.00268033015489745
10,Tarim,Jul,0.16611721424459
11,Ili,Jul,0.181171720897591
12,Inner_Tibetan_Plateau,Jul,8.31124303886519e-05
13,Yangtze,Sep,0.0201457152468717
14,Inner_Tibetan_Plateau_extended,Aug,0.0174845621396138
15,Yellow,Aug,0.00197381569411096
16,all_basins,Jun,2.26504172733302
