"","2000","2001","2002","2003","2004","2005"
"Ganges",1.36613517760402,0.514707783066924,0.42498577011365,0.39603430478845,0.256754222979314,1.4131906949082
"Mekong",0.000430482746525144,0.00066437890276168,0.000275969259052045,0.000702927084438567,0.00134736316725939,0.000487201668389725
"Irawaddy",1.3674470939808e-06,2.91019986141804e-06,1.65369499526059e-06,2.80046184053941e-06,2.62664435404137e-06,1.41686758655596e-06
"Luni_ext",0.209361879186462,0.115822423829514,0.0831235382635185,0.143995481425764,0.0769019539641027,0.173253859132703
"Indus",3.74534203081021,2.12877243297824,1.9027226068587,4.36987823016656,1.61033665924219,5.50692707345079
"Amu_Darya",0.0176469240155387,0.0657114528117077,0.0230109346455739,0.0324021539928812,0.0178443962505842,0.0161761933518955
"Brahmaputra",0.0215698802342719,0.00962399981735973,0.0247053196497055,0.00617807134977927,0.0128669811706992,0.0199003925039455
"Syr_Darya",0.0275952794568845,0.0288230888338568,0.00359491431791959,0.00833928048760138,0.000944360378322972,0.0524772581880884
"Salween",0.000107646987769876,5.92177280168784e-05,8.24587799185391e-05,9.2160891387238e-05,0.000103898009277072,0.000104750204770814
"Tarim",0.00497048103880326,0.00882485388519564,0.00820090158161227,0.00483002464744079,0.00487887216635906,0.00464846146741246
"Ili",0.0198605170912064,0.0327150850141113,0.0208018277195923,0.0248738170557008,0.0325932287891304,0.0236752604734236
"Inner_Tibetan_Plateau",0,0,0,0,0,0
"Yangtze",0.0136551490984316,0.0628845899777468,0.024871183554269,0.0334984455485889,0.0429424545156256,0.0128136270649947
"Inner_Tibetan_Plateau_extended",0.0033922870874936,0.00196253435939507,0.00345488171252983,0.00306231974570003,0.00559877868783129,0.00320711805901857
"Yellow",0.0035791592291171,0.0025031931560842,0.00322731434508983,0.0024245584006545,0.00323880091247776,0.00529498932768247
"all_basins",5.43434986043055,2.97450210967311,2.52385342005001,5.02749505052221,2.0672786995899,7.23285664889769
