"","2000","2001","2002","2003","2004","2005"
"Ganges",0.578213129684634,0.282730721867486,0.189426932488365,0.239569297808478,0.135099864214504,0.588832203303166
"Mekong",0.000387179500475954,0.000578430682399561,0.000235232525100679,0.000555239400725647,0.000979590900848727,0.000434396500460034
"Irawaddy",1.20861984863796e-06,3.42876027884448e-06,1.83047717525251e-06,3.40838994685331e-06,2.9758825500659e-06,1.24109543283059e-06
"Luni_ext",0.068252297248744,0.0419132135477334,0.0252721650716772,0.0494264090619798,0.0204659611324332,0.0584750313096531
"Indus",1.27279082729932,0.826874888648506,0.689244115932341,1.34018687888902,0.521443449093995,1.93071457054758
"Amu_Darya",0.00527864160547065,0.0159251059524758,0.00964664081776026,0.0114328891206255,0.00557255815186631,0.00488225839967874
"Brahmaputra",0.0166603505898639,0.0104025949942152,0.0194301490446482,0.00593535315100806,0.00934207303122131,0.0154044615376544
"Syr_Darya",0.00880693008667422,0.00677196902936437,0.0014717373910518,0.00291107007477801,0.000377025073114951,0.0166375837960382
"Salween",8.22691263156257e-05,4.59998538052139e-05,7.17900933899279e-05,7.04472177482619e-05,7.70625407122486e-05,7.95818815273641e-05
"Tarim",0.00088156891055899,0.000934427037429422,0.00112368349634419,0.000741367515020902,0.000972123808473085,0.000870280893481863
"Ili",0.00432046719053325,0.00632174010437184,0.00493380903587359,0.00494916700928651,0.0084113619135855,0.00521635114131681
"Inner_Tibetan_Plateau",0,0,0,0,0,0
"Yangtze",0.00941103162002806,0.0667060405541185,0.0212860022696412,0.0244122503732146,0.0257767621118133,0.00863055072664302
"Inner_Tibetan_Plateau_extended",0.00066658490262402,0.000258654223704867,0.000561322355927062,0.000447741584954803,0.000935557327992425,0.000590469832421001
"Yellow",0.0013023848893827,0.00086997512600685,0.000588946353929863,0.000640434055683334,0.000747619958682126,0.00192789855454258
"all_basins",1.96730992889413,1.26081654638509,0.963686920480428,1.68174832241851,0.730530427823883,2.63294881246499
