"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",3.89850141855803,8.22561857471308,4.91126385973509,7.3250136822579,10.7914692478215,9.22688775405745,1.92753622288731,0.685492380117694,0.853705649607153,0.6195008555971,0.656859511113556,0.631560389576055,1.15029778812248,3.86135838952384,4.00687785737706,5.0591790410367,9.73885953439513,6.52465656803884,1.24142677167255,0.678137885506976,1.09141319754676,0.544496339119069,0.73126613038268,0.643634949328665,0.50717437356109,1.73658156305448,0.961619587482647,1.68901382335656,4.67429866090701,7.6331268060053,4.37249949967893,1.03660504729611,0.903325996860173,0.568382343899143,0.418975726084998,0.375297035728402,0.492467131405187,1.7602652486265,2.3478628238342,2.95652631041333,6.37056112137279,4.95791065797393,0.920378575678882,0.378135282458605,0.685780636652778,0.446168134005816,0.32193464106187,0.455007317553147,0.327635508284182,1.93002575101284,1.28045576746992,2.15259368329969,5.56570618357173,6.89152031099613,1.55725830710352,0.816704955641089,1.17753459249402,0.815607599433431,1.23700238994329,1.31719381812916,3.74300968437068,7.67254774518835,6.68409173874596,7.01131023190294,9.49282315112712,16.4349221425543,3.48942966274212,2.17202898063581,2.09466036132155,1.8347364319987,2.10576859666685,2.10942158032517
"Mekong",7.76830110377456e-07,3.71730896519827e-07,6.04238995646798e-08,6.38689622784729e-08,1.10400652263208e-07,0.00168563341321421,0.0275170436876896,0.0031808377113358,0.000534392243611246,2.28692922792601e-05,2.04313312400183e-05,2.39155626049855e-05,2.25301285289033e-05,1.04681821060741e-05,2.37497908101165e-06,4.09361467905426e-06,1.18105341903549e-06,2.76360933761717e-07,3.00871765107236e-07,6.34845823092397e-08,2.30249243877168e-08,5.93387499667009e-09,1.68140778410145e-08,3.01135677803206e-08,2.68772063471902e-08,2.14926765602198e-08,5.05270103140338e-09,5.92399909610727e-09,6.91805938591286e-09,2.20146295473547e-09,3.13103923837443e-09,8.92292105654888e-10,5.54936845900235e-10,6.98005953704455e-10,9.26765989073982e-10,1.09219747137913e-09,0.00237891346494843,0.00782632357906347,0.000338012201219286,7.87774865008875e-05,1.63058385342735e-05,8.86841482753195e-06,3.94641831084334e-06,8.72638764545894e-07,3.28101656492287e-07,6.15603905545325e-08,4.63473254266279e-07,7.02967645440013e-07,0.00403366094678846,0.00461682673257782,0.000244303168139896,5.82926563899037e-05,1.13288251914419e-05,6.89774323833472e-06,7.10738344648317e-06,1.97537416592847e-06,6.53786007114212e-07,1.64545747995627e-07,9.20154379823246e-07,1.07261526070071e-06,8.02188184401744e-07,3.79653836802136e-07,5.63042564075032e-08,3.41947733840277e-08,6.20664761006095e-08,2.67966582741966e-08,1.30864024303092e-08,1.39630997328691e-09,5.71781655323582e-10,3.06705246814887e-10,8.43142527718264e-10,8.79253781286346e-10
"Irawaddy",1.06921560148483e-09,1.3017715114257e-09,6.56172573048923e-10,5.50530440058094e-10,1.79569792930598e-15,3.78603779175901e-15,3.89623235486301e-10,5.90611811984691e-10,4.49694266812674e-10,1.52834909495018e-10,4.44013429081464e-10,5.56594420731725e-10,6.45783139615091e-10,6.6029281736148e-10,3.24736968185947e-10,2.82003526194087e-10,8.84163597966216e-16,2.65480215143942e-11,2.69172938913738e-10,3.54594093172502e-10,2.6195219142184e-10,8.41435615832136e-11,2.5775233234471e-10,3.10845407191638e-10,3.61785600967173e-10,3.47444061303722e-10,1.70971125772256e-10,1.74983917178382e-11,2.13401002696757e-10,7.99338399405229e-11,1.95086407141583e-10,2.37255811332026e-10,1.94212916070477e-10,6.87806205559586e-11,2.45539882264916e-10,2.46045827183507e-10,2.77553004632237e-10,4.77585686191664e-10,7.01610239528406e-10,6.91299015640817e-11,1.24721371660707e-10,5.47895998624229e-16,1.66056965893694e-10,1.64125219822813e-10,1.47483417351656e-10,5.44649694081315e-11,1.73074960780651e-10,1.53908371466958e-10,2.2309674910935e-10,3.32624928324057e-10,2.60220622554887e-10,5.02525924205682e-11,8.40016521133228e-11,1.00147709502362e-15,6.8624934649945e-11,1.02301717682116e-10,7.58712994354107e-11,2.60184520557154e-11,8.86319348443737e-11,9.00579067803105e-11,9.54484595773965e-11,1.1643457304851e-10,3.96150780021255e-11,4.59243986808984e-11,2.09619065240391e-11,3.96254232617221e-16,4.7184978401073e-11,4.47644725589818e-11,3.56075784583241e-11,1.21945357570331e-11,3.45194747739226e-11,4.1701604119451e-11
"Luni_ext",0.837466731111573,1.28177339338505,0.966871569691593,1.4869264512959,2.28069480533526,0.941171081618113,0.347930186274109,0.24840978555138,0.364586874359683,0.357592977382466,0.352326087607096,0.530714489944969,0.278667780180478,0.952416463753629,0.881749281582735,1.2072288453548,2.75803387886785,0.977303214782281,0.124534702919097,0.221869283513629,0.405653634847027,0.311216607679721,0.206599665143034,0.322318383659781,0.157432078905523,0.567583746893094,0.425093876050227,0.692786723475146,1.5756360597121,1.15534043127935,0.945662173306024,0.54728112833703,0.369756712575456,0.541821496083432,0.225527394430501,0.162301718945019,0.33790563410642,0.680144425673133,0.757620790430259,0.89187040277066,1.73752102867188,0.92107746470758,0.149862890530065,0.0953327279328464,0.157348112658749,0.168634141162983,0.0802123477065337,0.303724536297527,0.144035402411153,0.615717533263591,0.531803945660233,1.08147004164318,1.58663512492758,1.01328317363544,0.494332578268316,0.368085288082612,0.372769549296631,0.531288994312291,0.296890477392406,0.531194976308047,0.883303046689525,1.30293010880954,1.20092935889626,1.46205959033108,2.21751276976407,1.3552789486179,0.348839855836739,0.593840029812139,0.923428808910237,1.17616937649967,0.629735230111022,0.910152804552153
"Indus",0.242759819799747,0.257213449886444,0.186060134396187,0.316724067974709,0.320552608192804,0.965430204754986,0.353058277070864,0.17256786230071,0.17034010287489,0.0996358188571951,0.182654005749821,0.0776028838903239,0.106267371849854,0.255431001188064,0.152836693127402,0.211993535710032,0.176548106785426,0.289139690795769,0.105733458278818,0.135202115325215,0.230991044062412,0.0833217415826744,0.209346478017901,0.170478677895377,0.102632955534286,0.295598440415811,0.202191750544078,0.198073426560489,0.0870405129219607,0.692542526410822,0.540637081656243,0.24946512811846,0.202958213305085,0.0946868118281875,0.1806207110736,0.0738670225989969,0.131103253705573,0.291053725706472,0.130931830293811,0.162424704246137,0.0978989614690229,0.362014576034605,0.155149489914466,0.126422502681521,0.146565030797353,0.0686613085671594,0.0695877083853189,0.0352765494335611,0.0499753095933574,0.356903992409458,0.310529326222245,0.254812640709118,0.151949356081673,0.45788732961102,0.280839537914882,0.172501275753206,0.23062765253886,0.0929149572733745,0.226529669407579,0.271847182843412,0.382178003427595,0.312540067609522,0.231254755574197,0.297747024473253,0.126200489153108,1.35174097539785,0.483017800777959,0.370097222559897,0.297712322501307,0.121347879766301,0.239045609108469,0.22486642415107
"Amu_Darya",0.000980470209209676,0.00151321377131943,0.00150709744930479,0.000524627571065796,0.00600317517138029,0.0260639506741601,0.122289843265678,0.218252081424601,0.14801279824841,0.0928514316060785,0.040222546369988,0.00551229420725232,0.00352693972608273,0.0151160575089629,0.00013334907673775,0.00114180498776122,0.00433336015324242,0.0164027246982651,0.100903087793911,0.225347490065282,0.186729503865247,0.108999839445803,0.0424899665373185,0.0036413690312417,0.00191048475630971,0.00338656826777224,0.00155106148499537,0.00145813902364438,0.00674755926538341,0.0237935957450331,0.102656309043893,0.174067558732394,0.11621852379514,0.109008829793018,0.0148140287697668,0.000300994855670755,0.00203179922621195,0.00234843201310743,0.000533811613484646,0.000691881142857977,0.00884377049915587,0.022002400904852,0.0773639851988115,0.181777705011011,0.150658124670212,0.118522021447532,0.0156387923670749,9.36825019462169e-05,0.00194825900323009,0.000838895591670939,0.000145925717016434,0.000580865808643658,0.000852587848753739,0.00418344721839508,0.0468704662536935,0.127835529497192,0.0751771006437303,0.0542935552893672,0.00993230592152212,0.00358913707491791,0.000896882274540774,0.000145345389442652,5.68319603317939e-05,0.000860676526730845,0.00253597646203665,0.01592882437968,0.0581199057714636,0.128686970721815,0.0913190344449511,0.0821070502411003,0.0301186591930371,0.00743943796915044
"Brahmaputra",0.0046824052375806,0.0288255898062253,0.0530438636627031,0.0433910828954998,0.0115798975647413,0.00513120870873743,0.00629724174106063,0.00102123301631825,0.000355442409592413,0.000240728663208067,0.00018316023546587,0.00107676800692623,0.00115581357773244,0.00838445859861513,0.0756151009233746,0.0325892916536233,0.00772521236352693,0.00285145561079352,0.00382191236817453,0.00329067913480333,0.000740973495894854,0.000791221197746583,0.000487128881359419,0.00269368597627645,0.00690305867084747,0.0211893412599349,0.0472764709933479,0.0146192406021056,0.0052016606360601,0.00770940302544738,0.00574823291673104,0.0003498949045422,0.000157750217548547,0.000215900361149542,0.000112443431799245,0.000207586649003772,0.000602022530917936,0.00478026632112259,0.0701575966807877,0.0265375657316069,0.00341196338808652,0.000579247707911072,0.00042473072901688,0.000188615246303879,0.000174197931614832,0.000153336727736983,0.000141292095590158,0.000775210128975663,0.00107287594481767,0.0248902179093684,0.121382434593813,0.0394590769566274,0.010495369788379,0.0219998930737173,0.0157735982948767,0.00117408826059696,0.000688503076318209,0.000701974254583016,0.000824774270517238,0.00330205121960923,0.00409261122101345,0.0296818375517588,0.0771871612788688,0.0569552953508285,0.0176184917050017,0.00846183266106606,0.0056008039263746,0.000761135950780312,0.00100423392933028,0.000776048747129446,0.000399178308067491,0.00174150516151481
"Syr_Darya",0.000147865496759825,2.34956441275136e-05,0.000212793466550683,7.1618915358368e-06,0.000143850508774748,0.000290871268683653,0.000664924613138929,0.000980581463154541,0.000755240995426317,0.000144340585157907,2.99561379114633e-05,4.00189957321974e-05,0.000300980044662185,9.10806754110816e-05,7.83158846956455e-05,1.63672756730224e-05,0.000102131128207312,0.000291733640880616,0.000604009851186556,0.000665639407527031,0.000473862552308682,0.000105869256448335,2.42062169832731e-06,2.81840883964435e-08,3.41402149386105e-05,4.9072470451883e-06,0.000261286412279998,1.38338087647613e-05,0.000296218088202342,0.000270772794782202,0.000678978563363229,0.000657219299097332,0.000517583318859605,0.000174239272540573,4.89946134947516e-08,3.62633313506171e-37,0.000314793168204944,0.000786541443987897,0.000414270050002087,4.57966952385758e-05,0.000378334071336264,0.000297290439946401,0.00120927325465874,0.00103061845750142,0.00101769926104808,0.000119619709190169,4.11640610886027e-07,1.11730968227475e-09,6.54405398053948e-05,9.97629164621854e-07,0.000907588882664845,3.2267290762944e-07,2.42409785486656e-05,0.000240220299065184,0.000710982523941177,0.000744871187553855,0.000419356046591585,0.000132919542499623,0.000104306156923423,2.5948941086238e-06,0.000179089844542611,9.12369548617051e-05,5.31743737042234e-06,4.84030222842531e-05,0.000151793861756564,0.000512636741675241,0.00044795412295009,0.000813384128144482,0.000102266562434075,4.41916329348686e-05,2.83123532209863e-07,3.57676196993673e-08
"Salween",3.67101125622597e-21,3.34285708866729e-21,1.98810502293135e-21,1.13606709704805e-22,5.12342458188924e-22,2.03544142778066e-21,2.19256112990959e-21,1.92224613894353e-21,1.83847610140569e-21,6.27617289805788e-22,1.13028423579582e-21,1.24527037430878e-21,1.1332388014551e-21,1.15170062656207e-21,3.45007076655728e-22,4.28539017542877e-25,7.26962840452184e-24,1.2429392006126e-20,1.80793418117471e-21,1.05842395665673e-21,7.52972307223976e-22,2.58021112000886e-22,4.52774355628412e-22,4.75625795097156e-22,4.5493526529692e-22,4.06186039072754e-22,1.73633625215247e-22,6.66085909009723e-23,3.55143955442415e-24,3.33381755087981e-20,2.63651000177575e-21,9.48955693909277e-22,5.90764839389487e-22,2.61386868924028e-22,3.65084376863137e-22,5.14510558406901e-22,4.40396477188114e-22,3.59904774782764e-22,1.55699335868229e-22,2.60474696721766e-24,1.34388450372174e-24,1.01067552758965e-22,8.36924557132552e-23,9.34602146449551e-23,6.93682617969399e-23,2.70911189317944e-23,4.38510085794235e-23,5.21780669394563e-23,4.7216537169976e-23,4.10947742103282e-23,1.49145981931065e-23,3.86286321622854e-25,1.04535777630641e-25,2.87999077495444e-23,2.32389828597625e-23,2.82248616713968e-23,2.01595183360763e-23,6.99600342702449e-24,1.39319239064872e-23,1.36580682053532e-23,1.21532026483179e-23,1.02295821912719e-23,4.6304618598863e-24,2.67004359046521e-25,1.60454337453655e-27,6.26282068917127e-24,5.06174056057532e-24,5.00575998461711e-24,3.8480569086553e-24,1.37308164639053e-24,2.61559889152283e-24,2.60420249730998e-24
"Tarim",7.49810969410907e-09,4.23885873867182e-08,0.000288177514275924,2.52553923368931e-05,0.00141702220218506,0.00106756890445332,0.000214910030219709,5.38227089974632e-05,1.94052988249289e-05,4.44701543260007e-06,3.16202389928674e-07,3.72847926714589e-07,2.61954085892609e-07,0.000177836652821932,0.000231227048275868,4.48865510139835e-05,0.00030496128628105,0.000143693083725575,2.73630900688867e-05,7.51944863805755e-06,3.84024104653204e-06,1.27374067344546e-06,1.81518300567016e-06,2.25329672186963e-07,1.68223634068339e-05,0.000247375477459589,0.000945655574450966,0.000168477621848064,0.00163513754600006,0.000603352649894583,0.000200004149981604,6.01998125963182e-05,2.64638830937483e-05,4.52978674493269e-06,9.59801208327097e-07,2.87577667794449e-07,2.12913880139236e-07,1.05471103056294e-05,0.000207536533371049,0.00022128025753776,0.00349464793210159,0.00133335545754559,0.000304031913353402,7.63673022185112e-05,3.36309764475753e-05,3.82560791000274e-06,2.1486304894055e-07,1.83726737835427e-06,1.87543127103061e-06,0.000152668812775009,0.000564025853928809,3.02182386981798e-05,0.000343490896390761,0.000137470456078061,2.28893851450732e-05,3.95830720714687e-06,1.38728323073215e-06,1.30442735559443e-07,4.02069331012414e-09,1.56633406344634e-08,6.6829870538702e-09,3.91233169810737e-08,0.0001723452246388,0.000114849201035483,0.00278805916159025,0.00168641597768558,0.000490141299108567,6.25336375394415e-05,1.19707719707247e-05,1.32865235250227e-06,3.71384549400298e-07,4.70334183489834e-07
