"","2000","2001","2002","2003","2004","2005"
"Ganges",0.154337704726085,0.0860725126940362,0.063782972050174,0.0765687489994612,0.0449141970366035,0.177123035126051
"Mekong",0.000520073808619872,0.000780574892803742,0.000330146768818049,0.000769959214836666,0.00127961662248446,0.000549489903149885
"Irawaddy",3.99164511888111e-06,1.07879157124191e-05,5.82175150077012e-06,1.2556485781888e-05,1.06477639317487e-05,4.15752517389718e-06
"Luni_ext",0.242057197387517,0.319808172319039,0.189332567303452,0.185314849266304,0.192897492792467,0.240690203443715
"Indus",0.69869748421186,0.802103057947696,0.72017853001077,0.667503460216996,0.536722418343672,0.841996176596376
"Amu_Darya",0.741555193505561,0.968593211475005,0.977154631635325,1.26798767731658,0.642686772071416,0.743781732524287
"Brahmaputra",0.0206796482488836,0.0137451425087701,0.0257077494847279,0.00801324248833805,0.0123325807862532,0.0201179868417055
"Syr_Darya",0.98637926617816,0.51480456911412,0.815804151576412,0.668264276673215,0.784180726157957,0.994478947666414
"Salween",0.00104774246968057,0.000602317938899432,0.000928739582352087,0.000947628762273358,0.000977123217267235,0.001021825275346
"Tarim",0.063571897957424,0.0716028470751423,0.0915626127238735,0.0670984839723714,0.088715378048069,0.065312533896792
"Ili",0.465692189756045,0.438977272975663,0.500973506135596,0.4493531326572,0.640478112625348,0.40514492588766
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",0.00344878685403166,0.0301797348593829,0.00883891143776088,0.011641798546937,0.0115852386272731,0.00343924430649448
"Inner_Tibetan_Plateau_extended",0.127391151272756,0.100643142526753,0.0943791820269137,0.115535615758112,0.0986127906699356,0.115088141324134
"Yellow",0.0131542327678016,0.00948522665535708,0.0080161436570648,0.0113075435115551,0.0141200029606589,0.014842617545793
"all_basins",0.18463559809916,0.144897177309615,0.114138300343375,0.178811029790527,0.0881357832736177,0.251034693457355
