"","2000","2001","2002","2003","2004","2005"
"Ganges",80.7006750722289,91.9689129420746,94.1729130533269,94.9853868623606,93.408404868015,78.782995877199
"Mekong",99.8624121430724,99.5954959573701,99.9005212938006,99.7358410682349,99.4417878019619,99.8524242883693
"Irawaddy",99.9783337573336,99.9737992726401,99.9848823032129,99.9736372130519,99.9627974537182,99.97769925747
"Luni_ext",55.198325922345,66.775546343645,80.3226319651749,79.9241807867364,73.5037311808938,47.6399154581312
"Indus",74.7449615730247,78.790861175823,77.5528499037962,74.4169204779119,72.2877117048758,69.3630707158214
"Amu_Darya",67.3977721120908,43.9809537269535,71.5433832366574,55.1445421543604,74.6646236431347,64.0294560955768
"Brahmaputra",96.8512395476092,96.6264871206248,95.6759820385091,98.3514125649727,95.0501337347002,97.0564157071674
"Syr_Darya",63.109240261044,66.7468755247837,70.8576024671126,67.2268678316885,74.6957692799103,62.3727726927835
"Salween",99.2866201909526,97.869396961652,99.4027034181294,99.2748726344079,98.2879534409408,99.2930671171049
"Tarim",60.9154112147389,51.2659031710882,62.7263016670039,59.9644261320114,63.876508821565,62.4095695694713
"Ili",65.7078963384191,63.4779979670566,62.8370080259598,58.8668244965621,61.8543074864048,63.9065488691849
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",98.8977001230928,97.6310394354881,99.2338456589223,99.5227668294567,98.8940420169568,98.9037691269712
"Inner_Tibetan_Plateau_extended",59.9827382900889,60.1379792567792,57.9780960659099,56.8451283818737,64.3895922173882,59.4669229928101
"Yellow",85.0212560087446,89.2860953536398,88.203543024927,86.4860959994874,83.6905616973773,84.0697701593558
"all_basins",86.8815266996695,92.5895495968024,94.2043757480528,91.783063744865,92.9199380519778,84.4770679477094
