Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.23101302713569
2,Mekong,Oct,0.000438901370516082
3,Irawaddy,Sep,0.000102982379022764
4,Luni_ext,Sep,0.120097508133503
5,Indus,Sep,4.22460455845716
6,Amu_Darya,Aug,0.678184768587108
7,Brahmaputra,Jul,0.0458035835821486
8,Syr_Darya,Aug,0.246477031913674
9,Salween,Aug,0.00336271021491139
10,Tarim,Jul,0.868968956476332
11,Ili,Jul,1.08173860038514
12,Inner_Tibetan_Plateau,Jul,0.00124596699263672
13,Yangtze,Nov,0.0199392032637744
14,Inner_Tibetan_Plateau_extended,Aug,0.150540898832183
15,Yellow,Aug,0.00898478960455826
16,all_basins,Aug,7.22488735362736
