"Jan_irrigationFlow","Jan_IrrFlow_km3_pgi","Jan_IrrFlow_percent_pgi","Feb_irrigationFlow","Feb_IrrFlow_km3_pgi","Feb_IrrFlow_percent_pgi","Mar_irrigationFlow","Mar_IrrFlow_km3_pgi","Mar_IrrFlow_percent_pgi","Apr_irrigationFlow","Apr_IrrFlow_km3_pgi","Apr_IrrFlow_percent_pgi","May_irrigationFlow","May_IrrFlow_km3_pgi","May_IrrFlow_percent_pgi","Jun_irrigationFlow","Jun_IrrFlow_km3_pgi","Jun_IrrFlow_percent_pgi","Jul_irrigationFlow","Jul_IrrFlow_km3_pgi","Jul_IrrFlow_percent_pgi","Aug_irrigationFlow","Aug_IrrFlow_km3_pgi","Aug_IrrFlow_percent_pgi","Sep_irrigationFlow","Sep_IrrFlow_km3_pgi","Sep_IrrFlow_percent_pgi","Oct_irrigationFlow","Oct_IrrFlow_km3_pgi","Oct_IrrFlow_percent_pgi","Nov_irrigationFlow","Nov_IrrFlow_km3_pgi","Nov_IrrFlow_percent_pgi","Dec_irrigationFlow","Dec_IrrFlow_km3_pgi","Dec_IrrFlow_percent_pgi","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_pgi_stdev","Jan_IrrFlow_percent_pgi_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_pgi_stdev","Feb_IrrFlow_percent_pgi_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_pgi_stdev","Mar_IrrFlow_percent_pgi_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_pgi_stdev","Apr_IrrFlow_percent_pgi_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_pgi_stdev","May_IrrFlow_percent_pgi_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_pgi_stdev","Jun_IrrFlow_percent_pgi_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_pgi_stdev","Jul_IrrFlow_percent_pgi_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_pgi_stdev","Aug_IrrFlow_percent_pgi_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_pgi_stdev","Sep_IrrFlow_percent_pgi_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_pgi_stdev","Oct_IrrFlow_percent_pgi_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_pgi_stdev","Nov_IrrFlow_percent_pgi_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_pgi_stdev","Dec_IrrFlow_percent_pgi_stdev"
"Ganges",27.5493338048856,0.0618840395036412,0.216912125990424,28.079885066805,0.045455349550307,0.166105013796778,20.5385005612499,0.0184662326690905,0.0934314610352614,24.2621673729053,0.028922466364966,0.117031056001364,28.9181774228202,0.10076362304781,0.344295775164217,33.9494098910704,2.23101302713569,6.39514871813529,12.576123505581,0.588468443131346,4.2968753448046,19.7821869036714,0.515859411335893,2.46447034720215,29.717510747534,0.670591847406475,2.17975545404223,19.7440791272443,0.204284267879528,1.00675949583667,24.8507916604253,0.11365606921254,0.428953827090262,NA,NA,NA,2.41626058795685,0.0440709476851852,0.141214538862798,3.3477239197074,0.0182440095896779,0.0752948287504401,2.69401603816467,0.0078386322528172,0.0472211478170058,1.91515853000947,0.0147554709919239,0.0527378737393995,2.12604425804642,0.0349555311445814,0.111516849902385,4.75586717228036,0.980848055360117,2.02154874689438,4.45677518077791,0.461353413481617,2.09237646719495,3.14403268429189,0.329847711787643,1.30042249984873,3.25062537643094,0.415731133969289,1.17571543571712,1.59375029818789,0.147537206499607,0.642613175968173,4.84556890051975,0.0764751945880281,0.23465237250475,NA,NA,NA
"Mekong",5.72174103715518,4.99694244735884e-05,0.000868865826587284,4.11582728975313,1.23430375385611e-05,0.000299884203630425,1.71662755513762,3.22589554674511e-06,0.0001889123710598,0.821354055786533,2.31562275069893e-06,0.00027252735357439,2.56801166221986,1.02012417865226e-05,0.000417730148156124,2.98197748584178,0.000219678877217661,0.00746943446679526,3.68052211408206,0.000263405244291642,0.00710763963827918,3.37420364638612,0.000430351516155645,0.0127462852007341,2.91776044419692,0.000400545999690393,0.0137295715042707,2.12746051111579,0.000438901370516082,0.0205267235982793,5.13246866515753,0.000438663785450036,0.00856077044131424,NA,NA,NA,0.220553894515436,2.8783013524413e-05,0.000487093005476067,0.145443570032636,4.37789521344964e-06,0.000105426162297427,0.0872207122783067,1.36059414719793e-06,8.42062202662275e-05,0.150500062763912,1.67644383461972e-06,0.000182614924100559,0.286612344457619,1.05458270909917e-05,0.000453988913519555,0.270381182743372,0.000160232422085776,0.00554071403601564,0.235901796928084,8.17584420086465e-05,0.00184982378555423,0.217198034346106,7.20700152876443e-05,0.00199921230646179,0.145769794288164,6.446063281879e-05,0.00215753046126179,0.147751848306315,0.000119419362121371,0.00493950715462232,0.217405042291659,0.000216820493819819,0.00424403895725127,NA,NA,NA
"Irawaddy",2.5259874122878,1.8083780217176e-07,7.23224565956611e-06,2.4157456963307,2.85729033922229e-07,1.19495018407806e-05,1.04460005203975,1.19576877713923e-07,1.14887663540462e-05,0.140457037872502,5.73996620581596e-08,4.70801522038508e-05,0.066291074222196,1.32389609579847e-06,0.00144770262747284,0.303499796386637,2.69965789839806e-06,0.000815168578666008,1.25498464850672,8.21103292679164e-05,0.00655835436157988,1.52998807672888,9.9782108615995e-05,0.00651642238635988,1.52841114470308,0.000102982379022764,0.00672541170160915,0.563791955361381,2.55584460984115e-05,0.00452001227301345,2.07735010858382,8.58877475018203e-06,0.000415369922059183,NA,NA,NA,0.158079747830647,6.15011338086502e-08,2.65920576992464e-06,0.0909172236294625,1.57101716294912e-07,6.91212292047253e-06,0.0589481276168232,5.122389637118e-08,4.9840072163057e-06,0.0362131000123344,3.33356762358858e-08,4.09594390934131e-05,0.0302650253650579,1.87215603166548e-06,0.00161546653770086,0.0212516136455673,6.25885740963638e-06,0.00188104440533885,0.0570319813697133,1.74051966231274e-05,0.00151555864486447,0.0658558557377736,1.28680128613802e-05,0.000761013635738991,0.103614333164528,1.13646304520914e-05,0.000369104682483059,0.0641966163196428,5.56761052897955e-06,0.000758648665557082,0.0630933211626081,7.29359946679471e-06,0.000350701940512338,NA,NA,NA
"Luni_ext",1.59214524202511,0.0109925908651804,0.704472808776464,2.91371243331928,0.0170503377060894,0.575661586224404,3.37712187211544,0.0123329632784535,0.365853967390365,4.83398921478724,0.0127588286162287,0.265278568930731,4.8009128946091,0.00791704994332677,0.165380538724109,2.42205305576577,0.0100186105436019,0.420919733105393,1.48321913800216,0.030219836384037,1.90090484302242,2.30575832963196,0.0707625713538765,3.04975926817252,3.13306527109627,0.120097508133503,3.77950591519119,3.03552551190458,0.0666773451029798,2.18663585753575,1.83466667000762,0.0484684808932971,2.61986595987886,NA,NA,NA,0.644799437906563,0.00427062313268973,0.116487722471181,0.272908838748041,0.00642537538130387,0.169850564278667,0.396120278715675,0.00268659203331492,0.069175097494582,0.517560487464606,0.00290040518954653,0.0556505591832076,0.415690047884868,0.00169450807800307,0.0358498468474986,0.256883888579948,0.00291140852337473,0.150772870437991,0.488505319538385,0.0172089333155735,0.724635625083657,0.237231758581494,0.0189812828320794,0.66750955645907,0.424296650796982,0.0411444200423816,0.957878284151862,0.308920373845754,0.0217072036335364,0.633964543786236,0.183041514217146,0.0122371390602397,0.501948251635094,NA,NA,NA
"Indus",12.8556655040317,0.272686461551363,2.05745664236041,20.1912598149286,0.321121095060105,1.60642529651032,20.1703478911001,0.161739833386905,0.801658305034172,30.023408538081,0.138910231377615,0.47505935461676,18.335614811003,0.0834196557365234,0.457288287330433,43.1075057469887,1.18085359458885,2.69916595971727,30.1557991761963,1.62910973741098,5.28745097136015,44.448251581202,3.50396439330891,7.83026971611435,44.4381294323814,4.22460455845716,9.47194452932571,17.0477731709013,1.30109868023635,7.63843831734753,28.8637636937317,1.08788536559071,3.75809088515658,NA,NA,NA,5.07204981754368,0.133451858089463,0.243894160156609,1.82159740770457,0.0467177670147572,0.303808248617084,2.13800014916735,0.0322430894907777,0.133373279911969,5.69813068435677,0.0257327260309431,0.12807837236491,1.98169936319862,0.0216065059717463,0.122888479345816,5.75642768424386,0.363850181543068,0.639544193596386,6.07898123190589,0.569989063248533,1.20960789450851,4.67044721041081,0.903637599807957,1.51398981788749,5.85090671387867,0.793691627639158,0.874209753167992,1.62476645983097,0.175106590384262,0.831390617894458,1.43204251017205,0.185037925124978,0.553059578415007,NA,NA,NA
"Amu_Darya",0.0790183263562749,0.00236701446778853,2.82043815814958,0.0835537063151185,0.00237176759436645,2.38715440896577,0.157911310965792,0.00117905525780388,0.853323121354768,0.706940196227333,0.0041840510889015,0.582270974395432,3.18898284579853,0.0303766174396081,0.919144872540992,2.94839136470259,0.0588585267923385,1.97933678866964,7.00627727928202,0.326226276102718,4.66608994064979,7.61952033699638,0.678184768587108,8.91032420579049,4.61102947109625,0.418439105591284,9.06786078922689,2.18862432367032,0.130806926096113,5.97298104033412,0.37670936198546,0.0107521181509687,2.8003838516006,NA,NA,NA,0.0292810565709851,0.00156498032604739,0.780470958111175,0.0771181433571275,0.00364496739821205,1.41784217837458,0.13073236689063,0.001258132724461,0.868650985847649,0.236295785165376,0.00206741152168774,0.176382299467432,0.577333997016736,0.0121862316353761,0.298256854685169,0.261818454259988,0.0144353951617254,0.347756210861763,0.411926301844255,0.031078273533964,0.483862164874482,0.467053433384169,0.0814033038116818,0.982330999947369,0.322601923528101,0.0499737890960854,0.792925710126829,0.158762422387946,0.018347917419517,0.647914301841547,0.272147081406854,0.00909937111116193,0.525494272640475,NA,NA,NA
"Brahmaputra",6.48618984698683,0.00134254976241448,0.0205822681794186,7.13073524147887,0.00142625772751715,0.0200727420209172,7.45832772866453,0.00154190529396357,0.0207311909728005,2.94377116991616,0.000849213232887628,0.0286625251421682,4.51598067162095,0.00384612892671191,0.0816690932820501,5.0455013656578,0.0384264849026308,0.723353994070162,6.53630399116405,0.0458035835821486,0.701082450653406,7.00785817855691,0.0376526119541556,0.559510128389412,7.06131106223831,0.0281178699186194,0.400339438164613,7.03304091510759,0.0101644975983083,0.149302029861927,3.59241086679579,0.00179555241814057,0.0527346786463545,NA,NA,NA,0.187627650550605,0.000622654189568233,0.00936759595820593,0.275106851125055,0.000458421443361478,0.00659992845286929,0.233373555855329,0.000359135053998133,0.00492606245489618,0.463182281299498,0.000256075014908719,0.00700693484357011,0.860475149015413,0.00201272076344591,0.0291746785961132,0.609575137419049,0.0285369861351282,0.442075418234358,0.679220586695338,0.0229365010121332,0.324115019605434,0.831190268908033,0.0163625774871905,0.315134535899351,0.855262777869999,0.0101267560332816,0.157645876656719,0.669856273477719,0.00416385186478443,0.0764021193495554,0.373475938122316,0.0013947590707358,0.046438462521725,NA,NA,NA
"Syr_Darya",0.0643411753707201,0.0017237441450461,2.38163315118847,0.036892674897184,0.000923237447272715,2.045276181796,0.032715581273024,0.000754295883113824,1.69509082815813,0.0762107756087431,0.0013193876568294,1.51736388650201,0.892833391620434,0.00839470076300354,0.869865500659138,1.36548096947632,0.0156875156249175,1.15223223676529,4.53129053880956,0.119226279616928,2.6243665807092,5.65690057309147,0.246477031913674,4.30810427399549,3.56529851106507,0.161265752397608,4.53239758711407,1.17615749665181,0.0453352261984893,3.81999843279377,0.0552455324271855,0.00215184681011165,3.37363861520992,NA,NA,NA,0.055142490661849,0.00168069964345268,0.574989693932496,0.027453050908909,0.00121937507458353,1.16481825190338,0.0252624691027998,0.00070470146893403,1.40360381678367,0.0840942956024939,0.00154275327272592,0.448919195755798,0.545719574019682,0.00657293195900934,0.290452491724063,0.143961186190164,0.00412217348674791,0.321829249558816,0.357415626458862,0.0186461067110155,0.319469206077256,0.530465554341818,0.0610761843587749,0.661831343458887,0.494721522715986,0.0346843562209692,0.737707598912142,0.20459275972804,0.0125138945429912,0.635317219715925,0.0929163547706178,0.00382117197003868,0.633473353292957,NA,NA,NA
"Salween",0.63462949283359,7.5360629029507e-06,0.00118586298299425,0.609949147465738,8.38755553787537e-06,0.00137041845316874,0.272645574841793,5.6290967544785e-06,0.00210195137891019,0.0301523197505182,1.60419176028258e-06,0.005050559669824,0.051064052542861,9.36246189735588e-06,0.0174589516274072,0.188643016180914,0.00107373162637086,0.565104222325339,0.307603601949296,0.00231111554819165,0.758827381530197,0.390299039157508,0.00336271021491139,0.856384432809365,0.398810390802287,0.00236524861592132,0.592894660509722,0.152015990718445,0.000564534715115019,0.36879443487968,0.500792576386101,5.51125298093722e-05,0.0110703776723308,NA,NA,NA,0.0136836583060639,1.52182025106727e-06,0.000229104853147417,0.0229200422371767,1.61528592292324e-06,0.000218440133997604,0.0198294066752221,2.79505647244574e-06,0.00116868066568473,0.00890467415295999,1.30686059162331e-06,0.00405482729201768,0.00589797634827114,9.87137487240545e-06,0.0175491265563168,0.0100702139299344,0.000499386872448142,0.254105064358361,0.0183374077905698,0.000770022265436678,0.26582808956963,0.02257606759239,0.000634551527969954,0.119215538714825,0.0191675066158908,0.000460175447480685,0.112202832016408,0.0130165583367114,0.000198822495645933,0.11746303606511,0.0115874188245907,2.32926187415974e-05,0.00477009137863405,NA,NA,NA
"Tarim",0.10548677798426,0.000514594268881606,0.489025197646703,0.193560260415841,0.0007580353155156,0.388283849158087,0.234388591197359,0.00064698633833693,0.279264338812217,0.0922797513819702,0.000217895363696875,0.241819773818591,3.84171662263601,0.0533410429363895,1.32641755328379,4.19447533987494,0.228778121958377,5.4599905514082,6.28652956963985,0.868968956476332,13.8211502248278,4.87373551474479,0.765251177579301,15.5921270380993,1.61808503539646,0.179608323073481,11.0333593878524,0.591022994844352,0.00785535225379338,1.31973548050043,0.09494981967183,0.00049883738806418,0.506397122237738,NA,NA,NA,0.0102975007357582,0.000162551293312967,0.147291699711322,0.0300817294279015,0.000245806633529457,0.0973880579349801,0.0305275168911727,0.000172018534751016,0.0806722758098634,0.0433540743687907,9.95513209654832e-05,0.0568000638646732,0.457530582384111,0.0355358701934683,0.694691889423065,0.285601933713774,0.0327477979374255,0.733175049771085,0.174405780882798,0.0489934799254694,0.650300224245874,0.334276690905692,0.159213609318059,2.18450810806544,0.0838302432232908,0.047393408423442,2.54318374845319,0.176164517308699,0.00315544925613725,0.309690739536635,0.033269029348775,0.000292004011620624,0.131897550681245,NA,NA,NA
"Ili",0.0966427668010339,0.00211670869727406,2.18393600305327,0.17101262192406,0.0022597463999949,1.33153511587343,0.103944041609723,0.00131500172419929,1.15263590520242,0.0135574236193353,9.93753573968933e-05,0.717250171024478,3.32293495097971,0.0236444912815348,0.65366807500536,4.16683710230066,0.319383868117685,7.54880559415776,5.9134153283994,1.08173860038514,18.0681021396772,5.39444834554998,1.00718828283016,18.609882175972,1.72242250040856,0.16621027002322,9.69533549375414,0.236367064345352,0.00963915954135974,4.04371495071814,0.0235968254255123,0.000569455084546657,2.95583370268709,NA,NA,NA,0.016633358558565,0.000464343220978739,0.213582872618892,0.0210007842234532,0.00073400144971067,0.452044572885458,0.0559328635011737,0.00104148816359725,0.38620551195041,0.00975574733146877,0.000137948398055931,0.623643980751914,0.37103451522872,0.0291307513760918,0.762079559423501,0.344380122969119,0.110737409684353,2.26654832130242,0.490772556931014,0.314618594949631,4.28158318906754,0.285917833999096,0.14474104283237,1.91805014162295,0.171288689177474,0.0200027855869717,1.17646798378236,0.0966211596809839,0.00432259628588761,0.732489284528413,0.0194999018980668,0.000403443525485604,1.2249689749864,NA,NA,NA
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.0115640681440254,8.09401598900888e-06,0.0722410005395212,0.00720894608396823,0.000229776833827522,2.939263115587,0.0111101704164867,0.00124596699263672,11.2266995138899,0.00940507052973771,0.00080827661960825,8.64470303767811,0.00336208717451806,0.000304663355301216,9.07759487266554,0.00994440372735047,7.36551481793265e-05,0.739604179846319,0.00113542154494439,8.68140870302625e-08,0.194745502649372,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0.00240622476101386,3.5009433394831e-06,0.0312429897497143,0.00102576964893906,0.000204903077597779,2.24643979697696,0.000150698067729105,0.00030282737653614,2.78620998020073,0.000784887747112442,0.000137780146794925,1.6154383211305,0.000272376822117431,6.754222917995e-05,1.91808822461174,0.000398048394520632,3.00652454158259e-05,0.290119394710549,0.000655648473738681,1.60262988614934e-07,0.473057149325977,NA,NA,NA
"Yangtze",20.0702341288707,0.00269891733451091,0.0140273086366492,20.4948675862933,0.00151842589555933,0.00757470604312262,10.3776820306063,0.000589846290275653,0.00591814280611634,0.225237372284574,4.66762995575279e-05,0.0172269397158587,9.06874424962386,0.00188764284587527,0.0201251731320679,30.1670826291214,0.00465354099306928,0.0151715704612442,48.701976171065,0.0178366566542095,0.0365189951298383,45.848903409742,0.0149835993745063,0.0330879093609791,39.4543712499987,0.0163755844500744,0.0420029044728052,14.2254589771353,0.00702499989676085,0.0497157274004715,22.3409605869708,0.0199392032637744,0.0862586104562604,NA,NA,NA,1.9752704255302,0.00162528558444958,0.0091030388071965,0.868346092182433,0.00133863081920182,0.00682483105170956,1.4363750916192,0.000443140740044471,0.00486440661145988,0.130742660509001,4.24414860807761e-05,0.0110659787713237,1.4302960620736,0.00106926823489379,0.00919472054551594,2.3333733779069,0.00207378576068001,0.00573939216329257,1.70534627595455,0.00278345043360725,0.00467001317600676,2.36299382254875,0.00611991613134377,0.0142405508175159,1.98133622001321,0.00780405344417124,0.0209458340189748,1.60898798111749,0.00318546058919136,0.0232324791483698,3.06657942855871,0.0132617367803559,0.0546512539384821,NA,NA,NA
"Inner_Tibetan_Plateau_extended",0.0412242391029677,0.00026437523058371,0.666377577299688,0.0391155362999207,0.000136471150296803,0.374892006843059,0.0820159617047889,0.000202783939031451,0.259899791636791,0.0239134843064276,4.41438940999663e-05,0.190081026541836,1.06441489605001,0.000623280187105198,0.0588172182131808,1.13785553916462,0.033312886560747,2.86761980833533,1.65499176257562,0.120735978930226,7.16930581027935,1.56739900984314,0.150540898832183,9.56987851248167,0.412487311613163,0.0239427743616996,5.86576964504248,0.358204544844942,0.00423340286919761,1.12565697345379,0.0466341655461555,0.000250032512728011,0.514959004854276,NA,NA,NA,0.0179692646377973,9.10415093059709e-05,0.0893763838671612,0.0195677001617977,5.30264141911147e-05,0.115260033377415,0.0316075194446787,8.18283115651263e-05,0.0947331983592415,0.0133199726517732,2.62868620016065e-05,0.0618651115934073,0.156998437572975,0.000122472752227851,0.0113727693581324,0.163726457473666,0.0158063665032515,1.13419807635197,0.157932705229463,0.0525181928844177,2.71964103499142,0.106804445983994,0.0464955114015102,2.79333786856375,0.0167180618136473,0.0089886204480451,2.35337874817213,0.0805800689528802,0.00203586618873291,0.368185943772707,0.0175086779147064,0.0001350410721733,0.164801616957305,NA,NA,NA
