Basin,Month_of_Max,Max_Value
1,Ganges,Jun,6.39514871813529
2,Mekong,Oct,0.0205267235982793
3,Irawaddy,Sep,0.00672541170160915
4,Luni_ext,Sep,3.77950591519119
5,Indus,Sep,9.47194452932571
6,Amu_Darya,Sep,9.06786078922689
7,Brahmaputra,Jun,0.723353994070162
8,Syr_Darya,Sep,4.53239758711407
9,Salween,Aug,0.856384432809365
10,Tarim,Aug,15.5921270380993
11,Ili,Aug,18.609882175972
12,Inner_Tibetan_Plateau,Jul,11.2266995138899
13,Yangtze,Nov,0.0862586104562604
14,Inner_Tibetan_Plateau_extended,Aug,9.56987851248167
15,Yellow,Aug,0.0809533383200611
16,all_basins,Aug,4.40436015191181
