"irrigationFlow","IrrFlow_km3_pgn","IrrFlow_percent_pgn","irrigationFlow_stdev","IrrFlow_mm_pgn_stdev","IrrFlow_percent_pgn_stdev"
"Ganges",324.371188155361,0.335645358227772,0.100466528438735,28.4495200315257,0.198278386916149,0.0528930241846637
"Mekong",74.5869812886636,0.0005283449183351,0.000704976868452113,2.87507760437225,0.000253583788585883,0.000328332622518011
"Irawaddy",29.7414645748384,2.34887087208079e-06,7.99384786993403e-06,1.86126162098826,1.04670495271176e-06,3.77149179006834e-06
"Luni_ext",19.3711004461403,0.0439675128953701,0.228350080418749,7.84505982110035,0.0186337194371549,0.0516449991487168
"Indus",151.36509414378,1.09687578840179,0.711200187887895,59.7192963260028,0.520695678043106,0.107665915449687
"Amu_Darya",0.961389636334808,0.00878968234131288,0.890293203088028,0.356252858287523,0.00439500732600122,0.22857229321488
"Brahmaputra",76.3696545933897,0.0128624970581019,0.016766058393113,2.20916417718392,0.0051078205466314,0.00650997530249113
"Syr_Darya",0.757565458826976,0.00616271924183693,0.79398532289438,0.649258366479699,0.00605208416611061,0.185220403375541
"Salween",7.72132546627127,7.1191785583107e-05,0.000920896207636448,0.166484501224013,1.31385899824822e-05,0.000162299962311226
"Tarim",1.24202173530818,0.000920575276884741,0.074643958945612,0.121244771230098,0.000126703208103938,0.0123295925575348
"Ili",1.17582033448142,0.00569214939916125,0.483436523339586,0.202372531583796,0.00148495792240579,0.0831292302384835
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",236.310821293553,0.0260371062759098,0.01152228577198,23.257216407506,0.021253976921718,0.00985734340218312
"Inner_Tibetan_Plateau_extended",0.537387403523717,0.00057672170460403,0.108608337263101,0.234242204144997,0.000225861614091166,0.0127168650834844
"Yellow",8.39454235759746,0.00101287648970457,0.0118209611830384,2.90327044418622,0.000515808578117688,0.0026977584504068
"all_basins",933.03255919693,1.53950682641117,0.160275430378942,103.626973099971,0.701789593006927,0.0578679257815662
