Basin,Month_of_Max,Max_Value
1,Ganges,Nov,91.8281661679252
2,Mekong,Nov,99.8309775840631
3,Irawaddy,Jun,99.9777850983006
4,Luni_ext,Oct,75.451714671901
5,Indus,Mar,83.2640403857601
6,Amu_Darya,Mar,75.123492010119
7,Brahmaputra,Oct,98.9594777832682
8,Syr_Darya,Feb,69.8871426912599
9,Salween,Mar,98.9602650629928
10,Tarim,Nov,60.4247801397804
11,Ili,Jan,62.7750975079211
12,Inner_Tibetan_Plateau,Nov,82.9344140832629
13,Yangtze,Feb,99.010725342492
14,Inner_Tibetan_Plateau_extended,Oct,68.2102763002023
15,Yellow,Jan,86.1262199656482
16,all_basins,Jan,90.4759202821782
