Basin,Month_of_Max,Max_Value
1,Ganges,Jun,23.7434996392226
2,Mekong,Jun,1.38379206071834
3,Irawaddy,May,1.27418309275154
4,Luni_ext,Jul,21.3440276095271
5,Indus,Jun,45.6885706672339
6,Amu_Darya,Jul,49.8026985507343
7,Brahmaputra,May,6.21073601000284
8,Syr_Darya,Jun,33.3361488779204
9,Salween,May,22.666357238086
10,Tarim,Apr,51.7376523254713
11,Ili,Apr,45.8798499303402
12,Inner_Tibetan_Plateau,May,64.5496147652335
13,Yangtze,May,13.0116778449624
14,Inner_Tibetan_Plateau_extended,Jun,43.446650905183
15,Yellow,Jul,21.0157396309836
16,all_basins,Jun,25.9188226110332
