Basin,Month_of_Max,Max_Value
1,Ganges,Jun,8.61150403993765
2,Mekong,Jul,0.00458806909644229
3,Irawaddy,Feb,5.39358929609189e-10
4,Luni_ext,May,2.02600561121312
5,Indus,Jun,0.686459217167508
6,Amu_Darya,Aug,0.175994555908716
7,Brahmaputra,Mar,0.0741104380221491
8,Syr_Darya,Aug,0.00081538565716311
9,Salween,Jun,7.98985653731706e-21
10,Tarim,May,0.00166388650409146
11,Ili,Jul,0.699441707411531
12,Inner_Tibetan_Plateau,May,6.96391134963004e-21
13,Yangtze,Jul,0.346501632292267
14,Inner_Tibetan_Plateau_extended,May,0.0895655908753902
15,Yellow,Jul,0.730452903216402
16,all_basins,Jun,12.0395271352129
