"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",0.0422419043908448,0.0316995088135101,0.0157852232281787,0.0232416639133445,0.195042841187713,2.01901500240034,0.841498979536889,0.671180386758816,0.509337033894463,0.127914281610501,0.0696816514239358,0.0634047035272966,0.048266114199402,0.0343338643829113,0.0182465085491116,0.0303537534929395,0.197608720012171,1.9862064732628,0.454921500123424,0.178033102917726,0.126416995458155,0.102801267483549,0.0309902043134141,0.0263503163996108,0.0337194744962755,0.0307632057653639,0.0155694287928659,0.0264853523848739,0.229010857778895,1.78553653835536,0.608624225353584,0.209692670763042,0.199998236317516,0.12564213785327,0.0407150901443964,0.0358981262728714,0.0408404318702757,0.0283721004401953,0.0169954904612402,0.0373825571716257,0.227353930418095,3.06395997916141,0.680723150725275,0.368837186032838,0.171466000129923,0.129767098335577,0.0481626510064335,0.0255072738281169,0.0250534373023902,0.0192191582357219,0.00877467828145168,0.0175994316251219,0.130155952084327,2.07597266607641,0.324870478924079,0.242994940641862,0.381271962396818,0.131500254394793,0.0659659646005639,0.0443188267374997,0.0424021386362974,0.0306048330687407,0.0146026730901485,0.0276189717135804,0.213811400166852,1.66612615572529,0.428471638905005,0.13216138130085,0.157867536643409,0.0926205655382462,0.0301478476313318,0.0361380631701819
"Mekong",0.0001039136854815,2.00895077968898e-05,4.68900747188581e-06,7.67527266580796e-07,3.84971582815313e-06,0.000124310040274807,0.000201901976722774,0.000267602897896878,0.000208722756522852,0.000272213186273652,0.000274295127231568,0.000158626583080692,5.81411090022325e-05,1.4220656657179e-05,5.70853531778127e-06,2.99580748613047e-06,2.02531049492686e-05,0.000518778598792531,0.000294498022981359,0.000293492554895597,0.000284490275812385,0.00039558835501609,0.000393461617416918,0.000179611260793165,6.47241270719617e-05,1.66983546108925e-05,4.42510558386025e-06,2.46028068969202e-06,2.48702326402564e-05,0.000736498983632209,0.000381977389631361,0.000292758846419207,0.000276321844242786,0.000360871783056455,0.00024779839937531,8.02710664652043e-05,2.76898066809208e-05,7.90043572381755e-06,2.0634909544271e-06,1.00132793051718e-06,6.57396993362953e-06,8.73251148931416e-05,0.000194523029474534,0.000325257125250931,0.000284564270505737,0.00025969128825868,0.000340021314069924,0.000156583496052127,1.49129640116595e-05,2.80354782976308e-06,2.10645543846602e-06,2.83399307082296e-06,3.49817020581422e-06,0.000432877769534041,0.000440089031543293,0.000456211435903571,0.000334837747345501,0.000407106961258301,0.000494354326093447,0.000306347525598764,0.000111234149051981,2.12038616173796e-05,3.09328871001609e-06,1.37206649638655e-06,1.11528478125233e-05,8.00752529619603e-05,0.000165766287996671,0.000326722958418991,0.000227999607039412,0.000242172204550262,0.000305333612361083,0.000162347539170782
"Irawaddy",1.82742609957876e-07,1.87864175530218e-07,9.2743719152062e-08,6.96558700950661e-08,9.27724575282753e-06,3.11092947413607e-07,0.000115672930207968,8.40559821112665e-05,5.59740163371532e-05,1.35856266149168e-05,2.9657358031075e-06,2.95752223923499e-07,1.51736133339175e-07,1.90863645469021e-07,9.77785787646035e-08,3.64706465126459e-07,3.04830823231682e-06,2.46799938057418e-06,8.5223082219252e-05,0.000115458830100105,0.000114435291188839,2.45111723961433e-05,9.13653923135522e-06,6.75721188479028e-07,1.83594623649702e-07,2.43701491071319e-07,1.37907798192979e-07,2.83232324690036e-07,1.06208871242948e-05,6.75442739098442e-07,6.71893492698763e-05,7.82032489922929e-05,9.10036747073159e-05,2.92766609105254e-05,1.96012435335969e-05,1.34853795397885e-06,1.54658813580719e-07,1.25915180019031e-07,9.36475395104849e-08,1.44150541536604e-07,1.6469622743886e-07,2.87055012790432e-06,0.000140817550664189,0.000136120040222944,9.29507193018565e-05,2.44407875763498e-05,8.0881117721829e-06,5.88065167317798e-07,1.607804362865e-07,1.92020907935371e-07,9.09286790598563e-08,3.79249033090136e-07,3.3062371669116e-06,4.25331327855563e-06,0.000163337629217844,0.000126765885542045,9.38683823545304e-05,1.74703125565234e-05,4.98677928843969e-06,4.21933606143519e-07,1.75904423256645e-07,1.39882494229462e-07,4.90834627455442e-08,3.14113706494183e-07,5.83232073398241e-06,4.8459405108422e-07,0.000113743907917672,7.18054793528536e-05,6.53269618293048e-05,2.70399278988267e-05,8.62950886374569e-06,6.24323332853721e-07
"Luni_ext",0.00507508712090062,0.00665540920323615,0.00761742256665173,0.00815448769432615,0.00470960857885862,0.00479989680560449,0.0212755939711524,0.0354933307671435,0.053275064574545,0.0246817787633894,0.0189468719536851,0.0076724526308803,0.00705650925036988,0.00770593425726551,0.00595465114371632,0.00804007263338642,0.00404605901363456,0.00464826494986966,0.00671766202714732,0.0122361226218967,0.0211682942678615,0.0165354193352313,0.0116412080168492,0.00407552678258441,0.00765128235574981,0.00755474513084614,0.007129838047512,0.00613735941190002,0.00376668101967074,0.00435225957057304,0.0073140839624857,0.0129074258808318,0.0204350272798366,0.0117405408258606,0.0107517726829698,0.00627810667287817,0.00591046407896814,0.00852403217162074,0.010257646873058,0.0122237950272167,0.00918411078979584,0.0244834568951003,0.0089499534794989,0.0330327249476652,0.0296201251020403,0.0172971917052823,0.0128330209818479,0.00308109381939972,0.00515096283138257,0.00719889476274395,0.00607334788373856,0.00733951041497885,0.00624762695154516,0.0131828868839138,0.0135211850755261,0.021058269947729,0.0264887761743301,0.0217239940497231,0.0118298845023634,0.00491765036408315,0.00479082634643545,0.00860955460605218,0.00627020496026778,0.00817696868434477,0.00608047064770451,0.00544265838082199,0.00855646449847194,0.0247738331380746,0.0230611254504183,0.019191934709722,0.0109390851042263,0.00699269641839154
"Indus",0.224576186132563,0.164921127199607,0.133352267859711,0.103876238182402,0.0598351106110628,0.464150617724147,0.691306230557531,1.39719119420869,1.42325310641833,0.555968558744984,0.367268135255453,0.123727487782517,0.243838067724314,0.146123684417495,0.0797426767590289,0.0885868119223314,0.0359655699603179,0.350435382231296,0.341672088336807,0.743939248424463,1.11084189668612,0.45012786675076,0.335854121598291,0.0807312967178897,0.188131240748585,0.220613744341177,0.111599997924133,0.0799896712349756,0.0397432738588817,0.444510473698788,0.45764737490709,0.737876007683676,1.10467611938483,0.529525854608301,0.353304983996401,0.10734859757017,0.229381321755342,0.20801695355282,0.210886113858722,0.210256921713846,0.152033897578385,0.84556593653467,0.583832058642156,1.19160894751428,1.22908161887474,0.461430205643574,0.320244722689417,0.0396272907693186,0.130760783011456,0.144451054346931,0.105826365454151,0.135160678808272,0.113494761711318,0.400594285094989,0.649260306328678,0.816451245837447,0.955765932867623,0.443718234343455,0.317087566505885,0.113703669242977,0.221190730040343,0.194634688820824,0.118523204512862,0.12086962575915,0.0594218058031992,0.428002980647883,0.662546432734625,1.54751221059434,1.43555469234327,0.536005511157367,0.304071482617307,0.105901717567304
"Amu_Darya",0.00065632585235053,0.000118875484446819,0.000244459324528152,0.00131687257343295,0.0129018916909089,0.0284535587469784,0.192538185429118,0.343565701514922,0.208243395169117,0.0823237910345634,0.00683001782011426,5.89361946336135e-05,0.00206567283666698,0.0021359984073164,0.00085253219134698,0.0010773663291377,0.0113489422155132,0.0460568190409143,0.144514624171933,0.267786285743362,0.176962221527478,0.067050123878457,0.00542625800457713,0.000298107030827726,0.0015679318207911,0.00169166235820629,0.000342805642748554,0.00111671991167317,0.0157616812988745,0.0436273291263265,0.133224103694395,0.259010683309178,0.204493842892008,0.0698082889406602,0.0146910824127981,0.000471592024638947,0.00139625010553725,0.00288302026688111,0.000398978883905852,0.00330088044654181,0.0293799446849437,0.0475622220136172,0.164032982648616,0.319740089082044,0.19189955481228,0.0585999153695138,0.00614419519743929,0.000290158612702828,0.00150275445782516,0.000998663349429849,0.000367869122681668,0.00121451038798917,0.0127937934757453,0.0307912765555072,0.12474330487931,0.284379907720941,0.153506616119116,0.0620268049998309,0.00103990058719394,1.98488174748358e-05,0.000790242569759294,0.000725450812044537,0.000218215276971233,0.000691429433942496,0.0125403632933433,0.0280268030716187,0.129076654585176,0.263294595883444,0.142195112146752,0.0635954919453738,0.00330170188655635,9.20019979661395e-05
"Brahmaputra",0.00186726531682244,0.00236988923455172,0.00474243086040678,0.00298582993556279,0.00650878048665267,0.0785381026094302,0.0840217060457833,0.0614103268952425,0.029526617572982,0.00698208109888907,0.00198340760895015,0.00387555795354366,0.00284974861822716,0.00302086325737002,0.00528123334117714,0.00510079652085721,0.0143846871223201,0.0893607576798302,0.0707312260069646,0.0338313645807226,0.023916232350588,0.0134554786765325,0.00214763281665097,0.0035550644725042,0.00262554468685976,0.00335994916291436,0.0065966027485296,0.0054572307074334,0.00745217388399483,0.0332748840496354,0.0418184584519354,0.0332639150651408,0.0201396852229122,0.00700386797480867,0.00102261358014372,0.000638124359505551,0.000423918609925077,0.000900595556041533,0.00341199630669505,0.00385949117761944,0.00666385229727987,0.0513586599433748,0.0554651217589682,0.0295380110548405,0.0195809768747217,0.00543602933401336,0.000996287959386024,0.00141693393157681,0.000761769662372941,0.0010950710802119,0.00374851055853108,0.00384505383122856,0.0138157219163239,0.0507926461999139,0.044462237358003,0.0333980137342416,0.0250647289208059,0.00564043133020211,0.00133179417343192,0.00221550351833886,0.00183788793167451,0.00239783814363371,0.00266347474621814,0.00201177804111949,0.00443130580989663,0.0745799260553942,0.0622228974344103,0.0297039436286245,0.0207954165946818,0.0112419557449381,0.00190677943640131,0.00366039261224203
"Syr_Darya",4.91942268459056e-05,0.000143332794525674,4.94341507162321e-05,7.28512288261651e-05,0.0014728289111989,0.00603590399391189,0.0722904978141305,0.109894334661412,0.07827095899438,0.0240800064204433,2.21155037039011e-06,7.07616365502872e-08,0.000589902233720877,0.000126618027406441,0.000274019050228308,0.000289130207881191,0.0030133608757108,0.0113358049868275,0.0854820683426234,0.142833116427179,0.0822022383514295,0.0275331966810799,0.000764742157548071,0.000161173450958264,0.00045072309464157,0.000194946941135678,3.29962838498447e-05,0.000320274907986647,0.00268817358394871,0.0124487975885261,0.0731542432941458,0.11741318160412,0.0894369330344167,0.0321880626555351,0.0045506042359728,0.00023712165521439,0.00134474037928266,0.00113476085994361,0.000118001023830238,3.06420701861043e-05,0.00577548402178185,0.0130067083811194,0.0699254206522883,0.115939075041557,0.0733072013778413,0.0203370003632235,6.65839776843313e-05,0,0.00018172129902339,0.0001955222200108,0.000153597383253622,9.18289163006255e-05,0.00145481867165651,0.00728228451474406,0.0545127358831798,0.121617935051054,0.0738224587853182,0.0200229070604596,7.44380005013312e-05,0,7.62578101252132e-05,0.000132541167303879,4.74648541654021e-05,8.14163762075104e-06,0.00161443005036126,0.00774101448229422,0.0513734074795466,0.110451268344941,0.0604892820615999,0.0176942206380298,8.41313508566088e-05,7.4804503311654e-05
"Salween",7.37277592416584e-06,1.15562202897993e-05,1.44019063660256e-05,3.45909016763617e-06,1.09070611341829e-05,0.000803516659715233,0.00219226214705412,0.00255330784937329,0.00150369044474772,0.000420984109093574,3.47196439729186e-05,6.97242226587832e-06,5.69875371523394e-06,7.35526879399701e-06,2.61652876681761e-05,1.3380802531597e-05,1.69112040272829e-05,0.000770743601450595,0.00151240625995237,0.0017577414556924,0.00141997507910547,0.000518635841148265,6.65069622596895e-05,9.93530430052198e-06,4.76401727609081e-06,6.93555747801171e-06,1.2768951473117e-05,4.49503847389006e-06,2.94197495052472e-05,0.00104426351799482,0.00162575780887727,0.00258837821118194,0.0019587844154129,0.000400756302845179,6.63331733674502e-05,1.21424959589854e-05,4.70944287708118e-06,4.3293213911751e-06,8.92191999129844e-06,7.89331440596711e-07,1.08270794285714e-05,0.00135544489108099,0.00222811726529326,0.00239001981484938,0.00153242848699924,0.000488478091526683,4.50676571482545e-05,8.35713179841482e-06,6.23440857404186e-06,5.85629335752012e-06,1.51190579962066e-05,1.11707637888022e-05,1.20956008312888e-05,0.00161985790169194,0.00275625069432414,0.00310141278015864,0.00174496682606605,0.00044697670184675,3.22918079030086e-05,9.3089063591183e-06,7.17599410936437e-06,9.03897283793534e-06,6.13620536514092e-06,2.61447349151043e-06,8.90052778898235e-06,0.00126693722731654,0.00218893403281804,0.0019088039748037,0.00120679182466186,0.000599065616233176,5.45800655020772e-05,9.75251483281425e-06
"Tarim",0.000193738138516648,0.000337356805655966,0.000287710581653737,0.000161613718323616,0.0115339659462,0.030594382937583,0.13662724420954,0.138413103117436,0.0411171654661741,0.00357285227838414,0.000198848522390119,0.000381522781524814,0.000303502958473643,0.000365151369830611,0.00033888889908298,0.000110372911436002,0.0164223758692838,0.048478800180792,0.166643667663058,0.160386319699669,0.0472869054225275,0.00307816685148128,0.000732761002292905,0.000542383698799351,0.000555437437700089,0.000299838824348087,0.000556891266947045,7.91766201831912e-05,0.0150981406895858,0.0551884081043834,0.168136719467964,0.134530883105619,0.0459657219236557,0.00384394537769631,0.000305346094900466,0.000620181903587835,0.000236035769069095,0.000364005994122651,0.000336989143798267,0.000418586147607711,0.0197516871798318,0.049661869932207,0.104712157333092,0.16043191574787,0.0556709939471499,0.00362276505102873,0.000526013490875268,0.000694545345143276,0.000270709085670056,0.000707848728577151,0.000677206351863159,0.000101453038425451,0.016156849449212,0.037712469488317,0.18560398519018,0.140107248038143,0.033430538589849,0.00084201889680546,5.99292767962346e-05,0.000354748002646039,0.000274962482392102,0.000288331172572777,7.46148694987351e-05,2.46363512352236e-05,0.0126114425610114,0.0345107925259922,0.124041381587398,0.12746442155283,0.0373563320578005,0.00223034191066495,0.000253936085444273,0.000395076528007071
