"","2000","2001","2002","2003","2004","2005"
"Ganges",81.7409931717574,77.7180433576429,85.626228969771,86.7312403029071,95.4288407206831,80.7994264282017
"Mekong",99.7948069029731,99.6612457289034,99.6440951700005,99.3062900618046,99.9061574983466,99.7662083610124
"Irawaddy",99.969529223359,99.9593043761616,99.9711881056589,99.9782918348747,99.9692224906034,99.9696082967442
"Luni_ext",52.6900814010658,43.1844169556679,53.3023537864942,58.2055478618748,83.364561262394,58.3688637559048
"Indus",77.1992223241772,69.3859119479304,69.0237021767463,72.0452024163574,91.3038367746265,76.6958715970809
"Amu_Darya",72.2012882028065,57.8154423629204,59.21550276488,50.9410935602292,56.3338252260079,69.9383343165116
"Brahmaputra",98.6627280754623,98.1463041361786,98.4774413161225,99.7934844836812,99.5492326304659,98.7207322368847
"Syr_Darya",45.7102215757742,55.9219468952748,61.6408659046403,60.8618645153342,44.311408409454,50.1412723259425
"Salween",98.7725169859968,98.3770743317946,98.5885514359742,99.1466440030376,99.2751563639818,98.7426541603152
"Tarim",78.4722431133942,54.2297420040223,53.9746356199901,64.8543226112466,61.2527103430812,78.1267555636015
"Ili",30.5645172701801,45.9154690749644,41.9794242544131,57.9416412059534,44.2839219717913,33.7462544793293
"Inner_Tibetan_Plateau",92.3355584019499,91.743073135054,NA,NA,NA,92.3348088171591
"Yangtze",98.3791153480443,94.85733997638,96.3412900448996,95.3777770772861,99.4273819711509,98.3990966448977
"Inner_Tibetan_Plateau_extended",61.7513868150258,58.0390232773625,24.5102003738356,47.5672979770858,27.1616444747313,60.2557747834846
"Yellow",89.9214435966605,92.4017119604024,70.2928460124181,84.9505654292737,90.9188176014477,90.2784671805926
"all_basins",87.2974006175896,83.7997099437521,86.3321993788851,87.3434336233902,95.6672790313632,87.147201583877
