Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.33204068013238
2,Mekong,Oct,0.00049978960699345
3,Irawaddy,Sep,0.000107922684674925
4,Luni_ext,Sep,0.156251814321368
5,Indus,Sep,6.15624861792248
6,Amu_Darya,Aug,1.02664379328091
7,Brahmaputra,Jul,0.0599969182022517
8,Syr_Darya,Aug,0.261027924019144
9,Salween,Aug,0.00414258762133251
10,Tarim,Jul,1.31640529222295
11,Ili,Jul,1.80779988766187
12,Inner_Tibetan_Plateau,Aug,0.00129068185998449
13,Yangtze,Nov,0.0634549008543506
14,Inner_Tibetan_Plateau_extended,Aug,0.215700684146578
15,Yellow,Jul,0.00985633473454522
16,all_basins,Aug,10.4724708386957
