"irrigationGross","GrossIrr_km3_pgi","GrossIrr_percent_pgi","irrigationGross_stdev","GrossIrr_mm_pgi_stdev","GrossIrr_percent_pgi_stdev"
"Ganges",521.681681932739,1.06477327379407,0.206922323893625,31.8571028750206,0.4687147552703,0.0972310033960573
"Mekong",96.4802482532221,0.00138149895872499,0.00142534366126348,6.71238139242986,0.00120080865411769,0.00125600914370147
"Irawaddy",34.9336996130601,1.97765719461057e-06,5.65721665666294e-06,0.720584657433705,2.5369133770509e-07,6.87540892527489e-07
"Luni_ext",35.7586899567581,0.254468485492551,0.76056706270231,8.84210566504672,0.10577828353674,0.37858606285555
"Indus",273.380098032881,7.51450290817934,2.72959651240703,21.2921332350412,1.75453466164906,0.546280940685552
"Amu_Darya",1.45883840851944,0.0567174932008973,3.73716569245459,0.306032470050565,0.0267652998693508,1.38278867828613
"Brahmaputra",119.993041867422,0.0251938431202401,0.0202745973521962,9.99625162207579,0.0150443269888187,0.0110792982654244
"Syr_Darya",1.0348426840422,0.0168101387218709,1.29724761444123,0.792790294624575,0.0164370376398024,0.575518269702005
"Salween",7.9501370678402,0.000106958573326261,0.00134602026110891,0.210845326290095,2.10180884584977e-05,0.000268590113969251
"Tarim",1.20907797841654,0.0255161812802022,2.13391495064597,0.327844544628639,0.0193585763758207,1.31141692853259
"Ili",2.07280873242754,0.0425347251286802,1.72114757213692,1.0831765503812,0.0313712170954323,0.791383180874218
"Inner_Tibetan_Plateau",0.00335048174168036,0,NA,0.00516573239158832,0,NA
"Yangtze",345.966301157183,0.309849802303699,0.0870043934364624,22.4456797748927,0.213996926434352,0.0576397083761616
"Inner_Tibetan_Plateau_extended",1.07180261685896,0.00897495018192303,0.894833739716013,0.352039015434213,0.0052448843762407,0.526344880360817
"Yellow",14.2344445298407,0.0069910588926853,0.0491974721695477,5.8143872054077,0.00290170769601358,0.00770431920437461
"all_basins",1457.55662878962,9.33036607235627,0.637458983586096,46.6196332055978,2.24331824242625,0.145248565643621
