Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.0994694691636
2,Mekong,Nov,0.000342544066091375
3,Irawaddy,Jul,0.0001143307415828
4,Luni_ext,Sep,0.029008068808172
5,Indus,Sep,1.20986222776249
6,Amu_Darya,Aug,0.289629543875649
7,Brahmaputra,Jun,0.0629841627562631
8,Syr_Darya,Aug,0.119691485188378
9,Salween,Aug,0.00238327734767656
10,Tarim,Jul,0.147627525908539
11,Ili,Jul,0.252955208601882
12,Inner_Tibetan_Plateau,Aug,0.00017026916875551
13,Yangtze,Nov,0.0434093213937239
14,Inner_Tibetan_Plateau_extended,Aug,0.038205913753759
15,Yellow,Aug,0.00268731909489687
16,all_basins,Jun,2.89626363193207
