Basin,Month_of_Max,Max_Value
1,Ganges,Jun,3.42573963797048
2,Mekong,Oct,0.0111156429586456
3,Irawaddy,Jul,0.00825720435227084
4,Luni_ext,Sep,0.627809803111013
5,Indus,Sep,1.9742286334841
6,Amu_Darya,Aug,3.14891151775631
7,Brahmaputra,Jun,0.903487174899885
8,Syr_Darya,Sep,2.05675818109337
9,Salween,Jul,0.671288636464983
10,Tarim,Aug,2.18256689520854
11,Ili,Aug,3.03082990051236
12,Inner_Tibetan_Plateau,Sep,1.15671218680366
13,Yangtze,Nov,0.112677224607713
14,Inner_Tibetan_Plateau_extended,Aug,1.7560988693333
15,Yellow,Oct,0.0184397793984996
16,all_basins,Jun,1.27686278967648
