Basin,Month_of_Max,Max_Value
1,Ganges,Feb,40.425259276383
2,Mekong,Jan,7.37689422003601
3,Irawaddy,Feb,3.03269086299932
4,Luni_ext,Apr,4.46920584044491
5,Indus,Aug,43.8823003108721
6,Amu_Darya,Aug,3.68435352215388
7,Brahmaputra,Mar,11.7497576521088
8,Syr_Darya,Aug,3.48643131394414
9,Salween,Jan,0.645694336641427
10,Tarim,Jul,3.52805411229794
11,Ili,Aug,2.97290514183654
12,Inner_Tibetan_Plateau,Aug,0.0097671756748241
13,Yangtze,Jul,65.8420757150632
14,Inner_Tibetan_Plateau_extended,Jul,1.22849602449758
15,Yellow,Jul,13.9315039781406
16,all_basins,Aug,176.56236369895
