Basin,Month_of_Max,Max_Value
1,Ganges,Nov,92.9684626945114
2,Mekong,Nov,99.872327248658
3,Irawaddy,Jun,99.9870147924516
4,Luni_ext,Sep,76.7591477136993
5,Indus,Apr,81.7213882664301
6,Amu_Darya,Mar,73.3068471874361
7,Brahmaputra,Nov,99.6704260293239
8,Syr_Darya,Mar,74.7633898803707
9,Salween,Apr,99.3239546974887
10,Tarim,Jan,65.1517350936461
11,Ili,Oct,48.4876105151282
12,Inner_Tibetan_Plateau,Oct,67.7401669121504
13,Yangtze,Feb,97.5223701746128
14,Inner_Tibetan_Plateau_extended,Sep,64.9007824085933
15,Yellow,Jan,86.4606417856881
16,all_basins,Nov,89.2095261756037
