Basin,Month_of_Max,Max_Value
1,Ganges,Jun,14.7422104798924
2,Mekong,Jun,1.24444690692141
3,Irawaddy,May,0.667319901924231
4,Luni_ext,Jul,20.3064200680621
5,Indus,Jul,39.0731386244302
6,Amu_Darya,Jul,40.2726991335769
7,Brahmaputra,May,4.1460739657274
8,Syr_Darya,Sep,34.2732264374715
9,Salween,May,13.8100916449952
10,Tarim,Apr,41.6831120076197
11,Ili,May,28.9537114608395
12,Inner_Tibetan_Plateau,Jul,60.4880572166281
13,Yangtze,May,7.39959220257096
14,Inner_Tibetan_Plateau_extended,Jun,41.7055572356392
15,Yellow,Jul,16.7650839578812
16,all_basins,Jun,18.7022560924308
