Basin,Month_of_Max,Max_Value
1,Ganges,Jun,31.2358985532158
2,Mekong,Feb,0.0130757923074489
3,Irawaddy,Feb,1.16832386335424e-10
4,Luni_ext,May,3.77127042159964
5,Indus,Jun,3.26634709634566
6,Amu_Darya,Aug,1.05543231158679
7,Brahmaputra,Mar,0.178504534177005
8,Syr_Darya,Jan,0.0157204252055194
9,Salween,Jun,1.42751326907171e-20
10,Tarim,May,0.0187787822244131
11,Ili,Jul,2.46543657179383
12,Inner_Tibetan_Plateau,May,0.00124927258310895
13,Yangtze,Jul,3.94408753074866
14,Inner_Tibetan_Plateau_extended,May,0.461252121750634
15,Yellow,Jul,3.71121511798831
16,all_basins,Jun,46.4695909050715
