Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.73124467667122
2,Mekong,Oct,0.0111248031065165
3,Irawaddy,Jul,0.0046539166791151
4,Luni_ext,Sep,3.69840102551339
5,Indus,Sep,9.75930328664044
6,Amu_Darya,Aug,10.9581725568739
7,Brahmaputra,Jul,0.341434067691438
8,Syr_Darya,Sep,5.14181997515637
9,Salween,Jul,0.909582783724475
10,Tarim,Aug,14.9606729146279
11,Ili,Jul,16.1697260918592
12,Inner_Tibetan_Plateau,Aug,5.21155233709394
13,Yangtze,Oct,0.0854084468335231
14,Inner_Tibetan_Plateau_extended,Aug,6.35091257509747
15,Yellow,Aug,0.0562831829097272
16,all_basins,Aug,4.48767193396616
