Basin,Month_of_Max,Max_Value
1,Ganges,Jun,3.11713808928278
2,Mekong,Aug,0.00936585333546358
3,Irawaddy,Jul,0.00540373487322388
4,Luni_ext,Aug,0.88449861328267
5,Indus,Sep,2.38037453854808
6,Amu_Darya,Aug,2.76896228066303
7,Brahmaputra,Jun,0.358424335445528
8,Syr_Darya,Aug,2.2762358095105
9,Salween,Jul,0.791532292717791
10,Tarim,Jul,2.59047342890405
11,Ili,Jul,2.60175143273894
12,Inner_Tibetan_Plateau,Jul,0.75942816332005
13,Yangtze,Oct,0.0626414848919126
14,Inner_Tibetan_Plateau_extended,Aug,1.09988501357699
15,Yellow,Oct,0.0159015558259126
16,all_basins,Jun,1.25327752894322
