"irrigationGross","GrossIrr_km3_pgn","GrossIrr_percent_pgn","irrigationGross_stdev","GrossIrr_mm_pgn_stdev","GrossIrr_percent_pgn_stdev"
"Ganges",451.324500976215,3.89726048313616,0.861273545127769,23.3160610349386,0.981748355628603,0.20231807792583
"Mekong",52.2291403109556,0.00174469107209925,0.00332370996965114,2.14838450370722,0.000475707757889854,0.000833538789771012
"Irawaddy",17.2050514569487,0.000235200631976339,0.00136615266934113,0.403999091828801,4.8146188663851e-05,0.000271505762293319
"Luni_ext",54.8018112056589,0.20497722290069,0.371897019913827,3.21218710723978,0.046591854888602,0.0713578597303904
"Indus",418.462353670404,5.92014284020088,1.40721418889803,23.8184378378346,1.34612867065638,0.272248196347123
"Amu_Darya",34.9122791790269,0.680566177454056,1.93269888000973,2.09919212258922,0.182593802551521,0.415677700649055
"Brahmaputra",94.4424471464681,0.117398618270003,0.123984518478963,2.54743203566303,0.0216455792280448,0.0208529429678797
"Syr_Darya",18.8137262205193,0.330129132760443,1.74433482777294,2.16689454251611,0.090377869554561,0.370646802337126
"Salween",4.26125472479295,0.00891473902831251,0.209105359922888,0.0968277169313398,0.00102599517020361,0.0225369448085815
"Tarim",30.8473335834219,0.507920316327917,1.63604384021381,1.90916315547261,0.11723025480258,0.30023836492334
"Ili",34.2183246325653,0.508893144232014,1.48727674727051,1.67029716643506,0.130107723511807,0.370212056605342
"Inner_Tibetan_Plateau",0.0995718621228868,0.000360089337468692,0.360418036003859,0.00224002345534974,0.00027303427090754,0.271411860288968
"Yangtze",389.918214049512,0.140921802196924,0.0355395403246015,15.5024048752251,0.0791649793680877,0.0184349537908723
"Inner_Tibetan_Plateau_extended",10.2445767618645,0.0598488762393522,0.584460711210074,0.381851522807457,0.0286720930336492,0.277023147136089
"Yellow",79.6648773209309,0.00770688854464905,0.0095970311012345,8.10064664232153,0.0028484255657803,0.00321523433660446
"all_basins",1693.19228955187,12.4049671576993,0.731408786535201,49.3364008835629,2.20545034455074,0.121609139162495
