Basin,Month_of_Max,Max_Value
1,Ganges,Sep,38.9215157405379
2,Mekong,Jan,7.05453175884962
3,Irawaddy,Feb,2.93240461542687
4,Luni_ext,Apr,3.11628650320684
5,Indus,Sep,38.1798691719402
6,Amu_Darya,Aug,3.33342229748179
7,Brahmaputra,Mar,10.7702401620608
8,Syr_Darya,Aug,3.75480925404942
9,Salween,Jan,0.631754226721088
10,Tarim,Jul,3.67737713777045
11,Ili,Aug,3.32882148850722
12,Inner_Tibetan_Plateau,Aug,0.0108606420145726
13,Yangtze,Jul,62.4378691063072
14,Inner_Tibetan_Plateau_extended,Jul,1.40700971025158
15,Yellow,Aug,12.2665256442546
16,all_basins,Aug,162.769560313112
