Basin,Month_of_Max,Max_Value
1,Ganges,Jun,8.30956756770911
2,Mekong,Jun,0.0362119325895034
3,Irawaddy,Jul,0.00120902903155993
4,Luni_ext,Aug,0.50918558124423
5,Indus,Jun,20.7704728246549
6,Amu_Darya,Aug,2.84371990933359
7,Brahmaputra,May,0.368986338595364
8,Syr_Darya,Aug,1.70717143999107
9,Salween,Jun,0.0283121438442667
10,Tarim,Jul,3.17629514451977
11,Ili,Jul,2.08317722400144
12,Inner_Tibetan_Plateau,Jul,0.0117006621598734
13,Yangtze,Jul,2.39997174447618
14,Inner_Tibetan_Plateau_extended,Jun,0.790621773834014
15,Yellow,Jul,3.54611804118332
16,all_basins,Jun,41.139150160593
