Basin,Month_of_Max,Max_Value
1,Ganges,Jun,50.5175553575173
2,Mekong,May,1.05851435107602
3,Irawaddy,May,8.26963502832941e-08
4,Luni_ext,May,67.9759309284973
5,Indus,Nov,12.5850965252406
6,Amu_Darya,Feb,33.032651008037
7,Brahmaputra,Mar,1.97713647127291
8,Syr_Darya,Jan,22.5014668101888
9,Salween,Jun,2.89565893557221e-21
10,Tarim,Mar,22.9827739028947
11,Ili,Mar,73.3471510506033
12,Inner_Tibetan_Plateau,May,0.123914654255004
13,Yangtze,Jun,6.9222360096244
14,Inner_Tibetan_Plateau_extended,Mar,74.6876932157613
15,Yellow,Jul,20.0546100676143
16,all_basins,May,24.9065468695635
