"","2000","2001","2002","2003","2004","2005"
"Ganges",0.155110216746984,0.0953819989412489,0.0728359281232698,0.0919353626767975,0.0517362450784971,0.17768520238447
"Mekong",0.000620500797326752,0.000904253194685705,0.000341144672411769,0.000851407467165121,0.0015035692579252,0.000642415232633714
"Irawaddy",3.42360230851016e-06,9.91551429749292e-06,5.29627260712049e-06,1.1139691757946e-05,9.1576395878994e-06,3.54139200824462e-06
"Luni_ext",0.230790163040231,0.348175952633243,0.232596889474524,0.198031659031391,0.236228713349795,0.214100566527116
"Indus",0.782410666703836,0.822265417190833,0.767168654416073,0.705749346769238,0.581547266690332,0.908582234146998
"Amu_Darya",0.687175802197251,0.865551667179668,0.865640029972285,1.08256610592055,0.621940786595757,0.687813060756513
"Brahmaputra",0.021466895735926,0.0135050942571084,0.0272485052257016,0.00897989479776703,0.0111276246592283,0.0209611328493711
"Syr_Darya",0.800731176053649,0.426196673487868,0.449268342467272,0.455094223863726,0.203981594279123,0.857007481156881
"Salween",0.00101608420075941,0.000573525120047761,0.00089738120084512,0.000921170559164082,0.000920082487738193,0.000991118574373721
"Tarim",0.184079117684115,0.230706385625737,0.178830317043062,0.285616455999175,0.380843901648034,0.180630912867862
"Ili",0.267108672289401,0.444411624813403,0.289901678177847,0.342170992473138,0.468777368681242,0.247456065933643
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",0.0031779223747751,0.0426926149847304,0.0124692773603101,0.0191170999711316,0.0155201955720199,0.00317133408159429
"Inner_Tibetan_Plateau_extended",0.177196455219319,0.240715905105305,0.103094982503673,0.174305983953899,0.176836251689452,0.175593366187458
"Yellow",0.0119728087126237,0.00861055470393043,0.00792995385234176,0.0107226695036913,0.013972856352898,0.0137468886083462
"all_basins",0.191467435868073,0.148590887651943,0.12246190648465,0.180946179365578,0.0961423410999236,0.251516812241313
