"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",72.8581171945833,56.3403919599106,56.1050835830642,55.3845566009186,37.457126347213,23.2218180297124,61.9524938051108,88.4740156548036,91.8466234463481,93.1413516716746,94.0024308259358,93.7900160930587,89.5316099479402,77.8413849149153,66.2166275792757,65.2552223945694,42.6628163546551,31.9399889552964,77.0408562970709,86.8182079655875,89.9427896202005,93.7670061303073,91.9910851810353,93.7334113743439,94.045150579328,85.547217691437,86.2506778986848,81.3984817556628,60.1707151028252,29.6844457394981,47.5616524067016,79.5352219589659,89.8334429679565,92.581295593994,94.6867376777219,95.5150277135131,93.2453279773631,87.1422000188447,78.8934435422727,74.2955692660477,52.959631449299,38.1282927685538,79.0789905920527,91.5727556139613,92.3504487934539,93.4697076740418,95.0077813097264,93.619280080899,93.6601784455176,85.5336354110745,83.4738465715247,75.7760218520553,56.9204559800596,31.1373192761552,60.9265035446782,80.2796916957164,85.2592470461845,87.6025727865821,85.9207540797287,85.5910847715194,72.9099874008039,56.4515516504706,50.0428518218138,57.5929321871899,41.3696781491122,17.9278013103987,48.2727272824564,77.0590371699013,82.8922037463116,81.5180090236645,83.6151500202214,72.2633024003003
"Mekong",99.8618016173964,99.8747684213154,99.8996302426264,99.8303521701088,99.8769482229808,98.5317690790314,95.93313766834,98.8729429509565,99.4554382575813,99.7178864205487,99.8252260925306,99.7374429243104,99.6244682583151,99.6100952922722,99.6520408009905,99.7299822553155,99.5636194380068,99.120718589549,99.5243147690207,99.7427028903672,99.8635862823456,99.9042257653436,99.9438100630567,99.9448282330612,99.9108512735383,99.9077624799934,99.9074035153521,99.8539545009045,99.7377239660505,97.4831177243456,98.801752981804,99.6072360417676,99.8305530924339,99.8425973578193,99.8836190825569,99.8646431154575,99.6239137616309,99.0203331873059,99.723718107728,99.7775141391273,99.8278195422075,99.1175199238419,99.1253579273739,99.1262880203687,99.4469802474849,99.7588617704815,99.7905858669388,99.6647810304856,99.2506512165512,99.236562579296,99.6064069269393,99.6481492053933,99.6857875610786,98.9526596357361,99.1314370291966,99.6417925330441,99.8548747214534,99.8980400213957,99.9354483972762,99.9115878583673,99.8520256789407,99.8689476812009,99.8895744564547,99.8817070925053,99.815839004457,99.4409252795105,99.2151828849044,99.3731082906168,99.6333665962745,99.7643364752352,99.8426120994476,99.8157878165871
"Irawaddy",99.98147206446,99.9756395886532,99.9725276939825,99.7811381204482,99.1906847896326,99.9937274209309,99.9310145267739,99.9542992898662,99.9589084445561,99.9639443834498,99.9772219415136,99.9758854637752,99.9759083297096,99.9751169177693,99.9310028637184,99.8227702147717,99.7708939014552,99.9951459347696,99.9502706591861,99.9684234165179,99.9713087767004,99.9764124746195,99.9864077139943,99.9854338468706,99.9862326243577,99.9867569742631,99.9688131972526,99.6280855648195,99.3062502770883,99.9322020614444,99.9125864026296,99.9627913412624,99.965995963726,99.9719779088524,99.9793978125674,99.9797995098454,99.9788896866322,99.966492258026,99.8923374257005,99.4018819059759,99.1697947005436,99.9912216475308,99.8806531284867,99.9539717244823,99.9589911977939,99.9655276841982,99.9709936451774,99.970803095377,99.9704710539449,99.9508255394349,99.9404909192905,99.4353367424295,98.8129179854647,99.992162942679,99.9477587953411,99.9629085109121,99.9661385312847,99.9728732433033,99.983462102386,99.9808572061697,99.9810662543655,99.9765174253547,99.9559240650601,99.7850258884926,99.2908751353389,99.9919726347161,99.9367110857146,99.9612278901062,99.9637023562517,99.9705573824529,99.9812038730358,99.9792901847761
"Luni_ext",44.9678266949192,42.2752179760614,57.9126844466746,62.1848929883608,44.8321967004064,30.4298463085434,48.6013690889646,68.5192965316639,73.9053138832101,71.5008826829625,65.949977391444,61.3230662052585,62.4837501136425,55.0340796566512,64.4432143263093,62.5270338284556,36.2266817820853,33.462957834879,82.1618027228919,73.7325283528564,70.3759575586237,80.4308094506491,70.8123729529414,81.3038431379543,73.2011740687301,69.1762323118476,78.6952628055903,74.3156696786042,52.0163620953241,32.2934898613471,33.6458643108431,51.81542543654,67.196872550386,66.8273326872466,70.4278129226129,85.9566475396232,66.4833097089872,66.3853358212721,71.3381135320092,70.4859028190913,47.7742821821997,36.9587823230662,66.5378485487432,79.2292246839625,82.7708487248328,83.7946401407425,77.5084103683432,73.5630165560836,71.5194365194591,65.4402603112169,74.6513003581304,68.0073156787421,53.4330291277011,35.0471546724749,42.8514497941837,58.924786561565,71.6717780302588,67.8295604936318,61.1797822068886,42.5102352124244,36.8929781218965,39.6254463687378,55.0538661122501,60.0377558147054,44.4732998958223,26.776785135157,43.141399962829,57.888533821877,55.335589602015,41.7377889166637,40.1478850848097,16.5831622883534
"Indus",72.9170201800579,78.3126877442007,82.824922666274,82.3585638003871,63.6161003214554,45.4422273271772,48.5523594782599,66.9834234569866,68.8226536174632,73.5900489909778,73.1217518604145,81.5715333669803,79.2162209915782,77.9120997751661,83.9947248156219,85.6202337500995,78.5752201081611,55.0665720781928,55.7433801728418,67.7181981792796,66.2118524876664,67.0640683486252,68.6977659991171,74.5115637454513,77.4433614472993,77.6987646093446,79.6933946902425,81.1211433702702,76.1235954765301,56.9865828316345,48.7304597694538,57.6463740524732,65.644002744746,70.4479035937285,72.2086845915108,77.192235977956,74.5279887546939,74.475480794982,80.7804985135705,82.7531925887912,77.4117728684647,58.482121828919,60.1665222181078,66.7015505499416,63.6540710005895,63.4612241507461,70.9440062137197,70.179569487561,72.3623071808625,72.8393884034782,80.8962150994882,79.2382928925099,66.6448321776775,48.8310519485648,46.0666011333099,56.9940726968659,59.7094080680371,62.7127965490768,64.3038526526605,66.8260214788269,67.9762850673009,71.8256199035928,80.8411706835218,83.5553162489409,69.373543159529,43.4597138828484,40.0553832443247,59.3398211662113,62.568033302404,65.7087110753804,64.9771263818962,72.9203226494109
"Amu_Darya",62.7664375681564,80.4727890917524,84.417479700731,61.5062669703253,54.0885568012611,48.0275370208852,37.7242549311917,31.3089502039953,32.3764130798964,34.2709953585911,34.4560699104566,23.4877407319206,44.4463598665282,38.4139573145258,63.0740007028476,70.5979091076407,68.5565027572717,56.6640637059612,44.3334963808609,39.8596057775086,39.6002111225809,39.2936868048381,43.1077250871487,18.7879719480129,68.2178938208306,45.5670079329117,77.4629244893299,71.6424957707984,60.6281899313606,52.2787752541653,41.5290524737672,37.6632395892943,37.9798934749071,37.5078122957625,35.9127458995588,58.6467529940417,55.2978490899105,39.7936195195279,65.7664314919868,70.2927500676349,66.2951603331508,54.79351128364,46.2807283727112,40.0431395227111,39.2953667084821,39.1433260609577,38.8167808719976,65.5740100077889,69.6755590994817,75.4627244648451,68.7905374519993,65.1091931772855,66.4413248942099,59.911251559034,45.661988581354,40.0481965283695,39.9627525171415,41.0753991804488,50.9188717893644,44.7378378106921,60.8152195221743,54.2568592469285,76.1552929962428,68.7034719333171,53.8341637946673,47.8669382974284,39.8690509698123,36.1279032204142,38.851656276722,40.0007381700727,40.7038515652279,29.3560200198831
"Brahmaputra",97.0279845916873,95.1341789100247,95.6334793820533,94.9530416401669,91.17252054706,93.4330545341054,96.5681044188241,97.8360827296788,98.7456720967716,99.4370761222099,99.2006611797484,97.7980225327803,96.8031746127135,93.9651617399568,90.9929223444934,90.1262496408642,95.463558344208,96.2940885627257,96.7344035620299,96.3133484549507,97.6976444548069,98.4175877090482,97.3776303670128,96.5922106539194,95.7155733253624,94.0009551918738,93.7199391276009,93.8017098830686,93.8176826904192,93.1730839514652,95.5475250716403,98.7561569520695,99.0307205154826,99.4000430012315,99.3885677585828,99.0070469989789,98.5626331651599,96.7940911067398,94.1230853011103,93.9488454507495,96.1875606228905,95.0800213010108,97.6231237846233,98.1342730635331,98.1276401461806,98.8147370937531,98.7131601238249,97.1277533141981,95.5467905535024,91.9420029594877,90.7846271195394,91.5737164328473,96.525594387045,92.0443014804563,94.4339818662772,98.1777754799255,98.1931344526432,99.2390479853101,98.604240502013,98.1271981266025,97.2821149301507,94.867043293979,94.7216481750899,93.348764721638,95.7638758783507,96.5123464582113,98.0297870712319,98.6178038008652,98.6963842867233,99.3168541431439,99.2243750811108,98.8381231142806
"Syr_Darya",59.7091370161929,66.0636560397612,51.0094574053164,68.7547399758444,67.7041887840358,67.996755109784,63.8271595671485,58.224037299417,56.534054131334,58.8428268278071,61.5819109243252,61.5599654545806,56.615860093456,61.9372688723101,52.6585580304524,70.9742338608973,74.515548391255,74.0126283812837,69.7919635003311,65.3552126304336,64.6231968000069,66.8797826032508,70.0230647835328,67.8381559819075,50.9334480492034,69.6322176509919,58.8607584951094,66.9180953611531,67.3083408356202,65.6347113513802,62.6012067903266,59.2118522506609,59.3173845272162,61.0901751928699,73.4688093126472,85.3808028230799,52.3771136659989,57.3583973599346,62.1104340344079,62.9528004561182,65.7950697678909,65.9886053130615,65.3176313814888,63.0420614415901,63.0097756146844,65.38819420845,71.8348419715778,74.3187879329093,34.437042240724,70.9806254564732,33.6340906041724,73.6202897076653,71.280456716837,71.4865825653633,63.6614732701888,55.8716603345935,55.2101644524506,58.0435661653442,59.7132545301594,65.7383295524426,62.0059036410414,62.8909480842202,21.9585621859502,62.1653295292059,61.0345826773106,62.3230294342084,65.103580464813,64.2784526551178,64.1732512618994,68.3738448986173,72.9689246977043,74.3883016158739
"Salween",99.3082254757614,99.3365488441172,99.5333270044648,99.591928686779,86.3867341604312,88.2227069316902,88.8086575745635,92.5796304298475,95.7153185378312,97.6165511935299,98.0510857720963,97.8569872107163,97.9714247379397,97.9128900679116,97.9125772323076,99.2595260507973,80.8537255796273,90.251640738872,94.6174320064384,97.0404336946264,98.4524123908025,99.1065677245953,99.4208153581302,99.4020570773471,99.4230548190842,99.4227409233963,99.423198464623,98.648578804569,85.0718850093307,86.3814197902407,93.3472119758676,96.6934551562707,98.2103202736364,98.8149762314293,99.2900900321468,99.2554248111651,99.3131653402784,99.2865570569656,99.1601951032187,99.6291812065976,85.5602331155207,86.3558257094201,91.1895011913961,95.5711234981707,97.214189631042,97.8519657907419,98.4128773943405,98.3690622819976,98.3882454278352,98.5195764297253,99.0954307423163,98.9619813012031,77.4597086656931,87.25800514774,94.800122014969,96.7542585239101,98.2886498896823,98.9142379343936,99.3327953577811,99.2833950266861,99.3144965774643,99.3482093694626,99.5221937637807,99.612008039061,84.1928898740785,86.2709240313917,89.1670665895954,94.3942858069671,96.5462651343311,97.9475058010297,98.6047216211062,98.4367797338108
"Tarim",61.7977656697813,59.3389691988115,59.959515516832,51.2843028417646,50.7345712142664,50.0497201184325,41.4745579404111,41.6442613033042,44.2814099261156,51.6250548092911,52.6467323984401,51.7119382082343,53.6108022297078,47.8628569700844,38.4095914216539,43.1920302654849,62.093857802464,53.8217082987406,42.6406779373065,49.443586117295,58.1612407620336,58.6773623508874,61.3136692070289,64.0535200835506,62.3627741382844,63.3270708949784,52.1053623096227,54.3167641217474,56.9783673647601,58.2877707020063,47.2273588912175,53.5476561604288,57.7535166219304,62.1660192457383,59.6941881771287,59.9877633405311,61.1214356864454,58.7562473059479,46.9861818001124,54.6976093155061,50.5412119817896,56.9086301224696,51.5808757373246,56.2959616764007,60.2136709277513,62.9625144927956,63.8451420719366,65.9012155177398,64.4131770979022,59.2892646401729,53.9708669624735,51.4752256754314,60.6003565837329,53.3044029276404,39.9618390844749,51.5571435322183,58.4934912639965,63.0450381153107,63.1416561262736,62.3789325806313,62.9289927717233,59.7523468921433,44.8824359836164,51.0535452307754,34.0636045142721,50.6099313512093,46.0798603532987,53.3063694806016,63.45054689041,63.6230958926085,67.2990754495867,68.2099953554059
