"","2000","2001","2002","2003","2004","2005"
"Ganges",72.8581173662585,89.531610079617,94.0451502601735,93.2453279218876,93.6601785178115,72.9099876923823
"Mekong",99.8618016822633,99.6244688433237,99.9108505702199,99.623913564353,99.2506514353937,99.8520259886218
"Irawaddy",99.9814719809722,99.97590839099,99.9862325569704,99.9788900523732,99.9704718363327,99.9810659839084
"Luni_ext",44.9678267479281,62.4837497964313,73.2011733526657,66.4833098680825,71.5194366771313,36.8929784668981
"Indus",72.9170202289976,79.2162211010437,77.4433612746055,74.5279887123637,72.3623069733582,67.9762847641894
"Amu_Darya",62.7664368517767,44.446358920094,68.2178949680295,55.2978470903849,69.6755543412595,60.8152229757601
"Brahmaputra",97.0279846382071,96.8031738921761,95.7155731532727,98.5626319245886,95.5467905621786,97.282115350576
"Syr_Darya",59.7091350545615,56.615858865352,50.9334488322745,52.3771131421681,34.437041463701,62.0059040898611
"Salween",99.3082255031519,97.971426081532,99.4230546685081,99.3131659016167,98.3882467722774,99.3144965474051
"Tarim",61.7977658458149,53.6108018348472,62.3627735536243,61.1214359200005,64.4131770727385,62.9289936198473
"Ili",41.7274809336878,51.6486267768962,39.7955443151578,41.1071483384472,43.4890401616205,41.3834353081685
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",98.737465639425,96.9730785795781,99.1665929520369,99.4168236209091,98.7130819661133,98.7837885971121
"Inner_Tibetan_Plateau_extended",40.2541976445121,44.6883908315402,36.5966684791261,41.1860152271289,41.5609665028037,41.6005663178971
"Yellow",82.0919578855209,87.352548548406,88.1987744046099,85.0284995014672,83.852211763905,82.0131021115154
"all_basins",82.8710558117524,91.6713362772592,93.9999499995496,91.2457695944225,92.938799738791,81.5804600038416
