Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.67253309929974
2,Mekong,Nov,0.000443855940223382
3,Irawaddy,Sep,0.000102654140413616
4,Luni_ext,Sep,0.166026371910609
5,Indus,Sep,5.78037539774899
6,Amu_Darya,Aug,0.749649835163562
7,Brahmaputra,Jul,0.0534354884593732
8,Syr_Darya,Aug,0.269333741382197
9,Salween,Aug,0.00334661829259187
10,Tarim,Jul,1.08540392340806
11,Ili,Jul,1.49126811149334
12,Inner_Tibetan_Plateau,Jul,0.00237127978156574
13,Yangtze,Nov,0.0237912115074081
14,Inner_Tibetan_Plateau_extended,Aug,0.203361810372455
15,Yellow,Aug,0.0108274072493412
16,all_basins,Aug,9.33196802781326
