Basin,Month_of_Max,Max_Value
1,Ganges,Jul,3.86979845459254
2,Mekong,Oct,0.0156981448845988
3,Irawaddy,Sep,0.00667888412812856
4,Luni_ext,Sep,3.29786979112477
5,Indus,Sep,9.02865555464543
6,Amu_Darya,Sep,8.62684472085806
7,Brahmaputra,Jul,0.596859585428146
8,Syr_Darya,Sep,4.49331615909751
9,Salween,Aug,0.851505878175902
10,Tarim,Aug,15.2572254891175
11,Ili,Aug,16.7479536825688
12,Inner_Tibetan_Plateau,Jul,11.1807124847312
13,Yangtze,Nov,0.0649124266992485
14,Inner_Tibetan_Plateau_extended,Aug,8.53203346105308
15,Yellow,Oct,0.0661911027039394
16,all_basins,Aug,4.11440588373424
