Basin,Month_of_Max,Max_Value
1,Ganges,Jun,2.87368214436101
2,Mekong,Oct,0.011514605831612
3,Irawaddy,Aug,0.00719282196803508
4,Luni_ext,Sep,0.71995511835453
5,Indus,Sep,1.98858971571284
6,Amu_Darya,Aug,2.39199113774513
7,Brahmaputra,Jun,0.694137941215874
8,Syr_Darya,Aug,2.22573536941025
9,Salween,Jul,0.614555114164058
10,Tarim,Aug,2.17704630791389
11,Ili,Jul,2.91023635803139
12,Inner_Tibetan_Plateau,Sep,0.882552052794142
13,Yangtze,Nov,0.0562027711000084
14,Inner_Tibetan_Plateau_extended,Aug,1.47093852092038
15,Yellow,Oct,0.0185294508560404
16,all_basins,Jun,1.15887503817009
