Basin,Month_of_Max,Max_Value
1,Ganges,Sep,40.7631173383163
2,Mekong,Jan,7.67054471827742
3,Irawaddy,Feb,3.12669123514137
4,Luni_ext,Apr,4.61571962115869
5,Indus,Sep,41.0112999245779
6,Amu_Darya,Aug,3.47767255919644
7,Brahmaputra,Mar,11.1509749760551
8,Syr_Darya,Aug,3.96148803618932
9,Salween,Jan,0.655975609632643
10,Tarim,Jul,3.72775697863715
11,Ili,Aug,3.04377296315866
12,Inner_Tibetan_Plateau,Aug,0.00954963538106313
13,Yangtze,Jul,66.0818029478546
14,Inner_Tibetan_Plateau_extended,Jul,1.25987424532646
15,Yellow,Aug,13.4781717291955
16,all_basins,Aug,171.245768186354
