Basin,Month_of_Max,Max_Value
1,Ganges,Nov,90.8706565157283
2,Mekong,Nov,99.8702169336345
3,Irawaddy,Jun,99.9827387736785
4,Luni_ext,Sep,70.2093933915544
5,Indus,Apr,82.4411237751665
6,Amu_Darya,Mar,72.6111111388562
7,Brahmaputra,Oct,99.1042243424495
8,Syr_Darya,Nov,68.2651343699911
9,Salween,Apr,99.2838673481678
10,Tarim,Nov,61.3234105717324
11,Ili,Oct,48.670664720267
12,Inner_Tibetan_Plateau,Nov,83.8144394537644
13,Yangtze,Feb,99.017810948196
14,Inner_Tibetan_Plateau_extended,Oct,61.4161359424108
15,Yellow,Jan,84.7561828391604
16,all_basins,Jan,89.0512286209338
