Basin,Month_of_Max,Max_Value
1,Ganges,Jun,34.2701936000316
2,Mekong,Jul,0.0223363656737665
3,Irawaddy,Feb,5.52528155005093e-10
4,Luni_ext,May,3.72277809400071
5,Indus,Jun,2.03188408975843
6,Amu_Darya,Aug,0.673547423392113
7,Brahmaputra,Mar,0.21303358201884
8,Syr_Darya,Jan,0.0147829977156559
9,Salween,Jun,1.0553349964535e-20
10,Tarim,May,0.00642689266913939
11,Ili,Jul,2.26735316755609
12,Inner_Tibetan_Plateau,May,2.49357127679206e-20
13,Yangtze,Jul,1.12686460674748
14,Inner_Tibetan_Plateau_extended,May,0.298544270967509
15,Yellow,Jul,2.20546473555004
16,all_basins,Jun,44.7659035440699
