Basin,Month_of_Max,Max_Value
1,Ganges,Jun,49.5765715433967
2,Mekong,Jul,0.439101241977192
3,Irawaddy,Apr,5.61702596091021e-08
4,Luni_ext,Jun,57.5414728909887
5,Indus,Nov,5.14277326788911
6,Amu_Darya,Feb,18.3064426071134
7,Brahmaputra,Mar,1.7685255888114
8,Syr_Darya,Mar,31.6421225667277
9,Salween,Jun,4.16298291603631e-18
10,Tarim,Mar,2.20158460212321
11,Ili,Mar,61.9496802144667
12,Inner_Tibetan_Plateau,May,1.37292966959628e-16
13,Yangtze,Oct,1.9324013500153
14,Inner_Tibetan_Plateau_extended,Mar,70.2685689595177
15,Yellow,Jul,11.6211144937727
16,all_basins,Jun,19.21855862571
