"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",0.0371159794454647,0.027874835422869,0.0165272422206139,0.0224311679255853,0.03876707608466,0.55577020174802,0.333300617855066,0.39602145143085,0.344189954566411,0.144122312121362,0.0516790266939138,0.0599711067542701,0.0397783145283428,0.0283990216955746,0.0175850826743436,0.0237447265086721,0.0471718423322555,0.411467367844352,0.177795299086539,0.063083583035532,0.0569939644944686,0.0817646531511876,0.0150007134009269,0.0204001473400099,0.0224730577794679,0.0217262435238977,0.0135545754650127,0.0147955134114211,0.0357641508521709,0.540867512420695,0.225330140657053,0.130170608374848,0.0956274981427861,0.0926446258124539,0.0217018149466064,0.0250050030074296,0.0261953251695989,0.0190747224808051,0.0133147998011137,0.0209520681332365,0.0619417837486187,0.351032369693158,0.213241313645834,0.0888916004859128,0.0374614822291309,0.0538242852370479,0.0135610283153341,0.00839176312993776,0.00832810261041489,0.00599314600555933,0.00338870907543439,0.00552721197483656,0.0377579178332487,0.27725746837742,0.103199129627256,0.125377103519177,0.261454465522937,0.180044461662419,0.0464716329726189,0.0476084988136778,0.0393334321158163,0.0257029111551631,0.0163191539084314,0.02299444188773,0.0417790688433044,0.667530810057948,0.19760796431311,0.0791342855791433,0.108977405140028,0.0866713079483314,0.0202391711053176,0.0339719396616288
"Mekong",7.78345267516232e-05,1.4179315581233e-05,9.18821592541768e-07,7.48250784749835e-08,4.20106567503238e-07,1.84845107279521e-05,9.30114115729895e-06,2.4207895699747e-06,1.57567388401579e-07,2.79615094155131e-08,6.18369924686871e-07,2.48168333987317e-05,2.45509114671557e-05,6.95399881694474e-06,1.15687723700244e-06,6.59550355925534e-07,2.5696741339037e-06,0.00022589920988368,0.000109094043337251,2.56449322159612e-06,3.8217283496121e-07,8.92472221187523e-08,3.6294067705015e-06,2.48933767294113e-05,2.63098462036739e-05,7.11058276573729e-06,1.16320475560193e-06,6.18881989883119e-07,4.9509436099861e-06,0.000205751488695773,0.00011360087366315,1.54376542814837e-06,6.45267795623587e-07,2.19301851023874e-07,3.84400496470248e-06,3.99214285486476e-06,5.8997900147946e-06,2.48105883013855e-06,2.70393661018553e-07,2.69016696968212e-07,1.1251643892137e-06,2.14794864127568e-07,1.72398207747679e-07,4.50854195027167e-08,2.07047553113919e-07,3.71258898159988e-08,6.2216039065507e-08,3.91618541789498e-07,3.80339442585576e-07,1.95142919638682e-07,4.93354461248116e-08,1.9255870589168e-07,4.13041000448397e-07,9.81172493768654e-05,8.65417740808102e-05,3.13512414862759e-05,8.64307485182181e-07,8.59634593173675e-08,1.48557880309587e-06,9.34313916436947e-05,8.15435997214631e-05,1.47020171659097e-05,1.34571473464473e-06,7.07963203900673e-07,2.31091527777958e-06,5.1424709171057e-06,7.26869105824831e-07,2.05533730720596e-07,8.3904517420351e-08,3.41503307320925e-08,1.05887003936754e-07,1.8110343164256e-05
"Irawaddy",3.71190738667403e-10,2.95954518787776e-09,4.95537943231603e-09,2.13002875414986e-09,3.07749294075116e-07,9.91766026533082e-09,4.26650447163705e-07,1.38227351873995e-08,1.06438410639139e-34,2.17510521815191e-36,9.9793290004043e-10,4.23294794181951e-10,1.18856991463234e-09,9.64851984752109e-09,1.06115017244607e-08,1.00654904993104e-08,1.23499233728767e-07,1.1575389930901e-09,2.53845718715745e-09,1.49135518082064e-25,2.06940576263975e-36,9.48094802966186e-38,3.59877160036668e-10,1.77723008369257e-10,4.18370008235154e-10,1.56771079745822e-08,1.75232895344728e-08,9.52926664071616e-09,3.61195069931278e-07,5.19704822162205e-09,6.27531834761232e-09,1.74754747009494e-13,8.15179363109431e-13,2.02431576156363e-41,6.15890860942488e-10,2.77494389639994e-10,7.86701243511036e-10,8.61425343718345e-09,1.56657860244264e-08,2.98419847745879e-09,8.0077964303771e-10,1.33879082470739e-11,2.83849732461405e-07,2.35805808216934e-08,3.85712676647276e-09,6.5160378591104e-43,6.15204689560498e-10,4.40075629954118e-10,8.55358463567092e-10,6.95478842685845e-09,1.03601102239222e-08,6.39102615335848e-09,1.74335311072029e-07,7.85544017728734e-09,9.8633855250116e-09,4.07761703384631e-12,1.60483742453405e-31,0,2.3175239355205e-10,1.21634432036438e-10,1.79097065727515e-10,9.10139645527093e-10,3.86074810766298e-09,1.22385698905629e-09,2.19429226902876e-07,8.92450601987811e-11,4.85275104311029e-09,2.99555476302311e-12,2.05951986541805e-35,2.52943467237663e-38,2.87506403718219e-10,1.57179390198451e-10
"Luni_ext",0.00401899921517887,0.00427741967487752,0.00742302231730789,0.00635969250911705,0.00340569963569274,0.00271644093097637,0.0167104898949297,0.0385125901484652,0.0617852098972313,0.030116416200804,0.00719208565642762,0.00365842965534263,0.00606891565467002,0.00625479734734806,0.00627841053736741,0.00602677640399028,0.00280390842235098,0.00298530629673837,0.0119179097687138,0.0355742244636347,0.0490120539415889,0.0301258696290936,0.00622363633771861,0.00152914014775281,0.00766693341330547,0.00887956326485044,0.0100477532773304,0.00558442802685517,0.0025572553879294,0.00225782581096995,0.008923866774449,0.0222050073938693,0.0320853315915223,0.00772311063991687,0.00309057540812597,0.00181415452613912,0.00468351618045418,0.00511676172995558,0.0110558882815598,0.00880673851780717,0.00560215969319141,0.00663744239074606,0.0085104747770807,0.0377390827002974,0.0509340325688907,0.0247242767628385,0.00433570679989035,0.000619310122354138,0.0039113165216006,0.00383771984478535,0.00484118728620472,0.00309437929988395,0.0022704364112279,0.00227478357201003,0.0117706670845546,0.0212849510553004,0.0295751436070106,0.0187578794760473,0.00730273951847617,0.00194658147416158,0.00382352277003834,0.00567682640873107,0.00612315119781178,0.00613762706978959,0.0037472618570467,0.00354332176411444,0.0117500651418907,0.0423024120182052,0.0608341711207189,0.0360862721855054,0.00599529288932547,0.00213376284823352
"Indus",0.145877301355239,0.107510304581195,0.114879900064546,0.0743749227036088,0.0446081451640924,0.390334157762424,0.707082636362818,1.45224221868683,1.85169677824277,0.847875483677414,0.100963512790133,0.077891114058533,0.174529982067384,0.0978119851541808,0.0782547470503372,0.068812615569597,0.0298026126570031,0.277626229175472,0.569768076860065,1.42510999647034,1.82689411378929,0.831077339563948,0.0879126392363717,0.0650149975819373,0.153888837282662,0.184312767319867,0.141127411822668,0.0741845456743215,0.0351330427863648,0.192720417350732,0.445365404700229,0.932142755097759,1.39908098664485,0.706915829174781,0.0730563891733549,0.0584780251252803,0.141620294752576,0.120615171342126,0.184084246655934,0.131381862845263,0.100303174773929,0.399455340962783,0.659060006335627,1.42700292007121,1.76641725207815,0.700644533705448,0.0747278649787,0.0151010526329163,0.0712955300383364,0.06017965558238,0.0756517604944899,0.0510896142298806,0.0448436004694242,0.187058792302128,0.470970512568634,0.707489755507867,0.950030750022032,0.510054608135606,0.100425384215586,0.0946143467507041,0.146945014110256,0.117842398122684,0.102600293252084,0.0783569826892284,0.0458605076180972,0.258668717966532,0.687698775340648,2.09170771327861,2.68819765067049,1.14713861442487,0.100327122629673,0.0822303201687254
"Amu_Darya",0.000466483832587995,1.68325551975499e-05,3.8410463399456e-05,0.00023669719115862,0.000821645688010349,0.00682345252453576,0.0341758244662691,0.126229233946479,0.108895473127367,0.0636952855510759,0.0077699290219845,2.81201118705797e-05,0.00155872548045308,0.000365780426910656,8.91220735510012e-05,0.000253551886199123,0.0017018450247642,0.00613197047818427,0.0256709378036496,0.106036725249832,0.0828557187315566,0.0494698051993699,0.00621059710878742,0.000164544884397784,0.00101826707155432,0.000330298515168665,6.3557122546328e-05,0.000250856788081218,0.00116798146948308,0.00776213681469814,0.0306752224517261,0.122046846534728,0.102107394378825,0.0564310366584978,0.0160039944061556,0.000415936650150191,0.00174274214115618,0.000976371722541999,6.09280889964748e-05,0.00107361611118057,0.00238339251647456,0.0139528953527316,0.0604527457372923,0.217952914309193,0.144220202138607,0.0696928015259523,0.0113184540563642,0.000562393510242447,0.00158267669342064,0.000405436902791177,5.61913489184547e-05,0.00037571317388508,0.000610107902942378,0.00764339920803896,0.0218528440989095,0.0947893415589308,0.0647390151357916,0.0379545658472902,0.00248697840345571,9.49336443136187e-06,0.000506824904360319,0.000125036302548822,1.79411985676289e-05,0.000106835216025317,0.00120311041333958,0.0053819380975791,0.0194615424813974,0.0848501263656708,0.0571893292619543,0.0376747472046973,0.00413547588467333,4.28784823122409e-05
"Brahmaputra",0.000950632560683576,0.00106580663239504,0.00173439431518888,0.000723951803266869,0.00114235300196684,0.0115963859753868,0.0120578274724589,0.0105621396538203,0.00294261184667814,0.000315643370094741,0.000407120076959419,0.00195742022522011,0.00153328287952288,0.00136759246963004,0.00165423019159314,0.000889983564567775,0.002179157675694,0.011887601362965,0.0114595757662952,0.000471028580812027,0.000235771781226842,0.000582326890379697,0.000427424390559592,0.001543981285863,0.00110381874199509,0.00120948811543502,0.00177158544858042,0.000937844444311379,0.00109628449920072,0.00130102480133043,0.0026872532563923,7.61876925547858e-05,4.38144746068669e-05,5.90715037163633e-05,2.93144577460952e-05,0.000253401406546482,0.000156833637358017,0.000283225054597745,0.00108997564649256,0.000992008980634862,0.000823183611042104,0.0046820088257496,0.00412727096367495,0.000199708737574364,6.97497351320829e-05,7.65641860286505e-05,0.000119168516745097,0.000462084356513566,0.000337303054183886,0.000386582160214732,0.000781613325099016,0.00062051597460404,0.0030194766822106,0.00484955247375452,0.0037718998314246,0.000334507865477731,0.00022239817121722,0.000176072883618776,0.000294831610721969,0.000898999009119481,0.000971206435886855,0.000941649386397017,0.000802056554011691,0.000420129776509968,0.000544670942505395,0.01223000172925,0.00973704867051225,0.000519053603766278,0.000210570012274841,0.000368088066981778,0.000495064086402848,0.00204480238573559
"Syr_Darya",2.28883866322249e-05,3.16533148339848e-05,8.68538325010659e-06,5.35110673616224e-06,5.60900522048e-05,0.00130575173677455,0.0118228540779117,0.0308073849610564,0.0286865381010671,0.0175240437161499,0,2.8240872973484e-08,6.60191367997711e-05,3.56415218735751e-06,2.45838900610543e-05,9.23352036614981e-05,0.000343520878329562,0.00182943999009352,0.00994475132715103,0.029512536467763,0.0238474613261456,0.0152651682472218,0.000748605329981333,0.000158858325388575,7.26955696175636e-05,3.02486454887858e-08,2.48326406081785e-06,5.22806027716946e-05,0.000196452971141438,0.0027579971656873,0.0103911729295076,0.0307423737992033,0.0282196557789941,0.0200131146160937,0.0038024511127154,0.000394885011623103,0.00017853646541169,8.75837130591764e-05,3.2596382260053e-08,9.5023116486459e-06,0.000625180046533251,0.00308327325512468,0.0128308441858458,0.0416033728681837,0.0324143300869302,0.0171964404307835,7.90517552502479e-05,0,3.85926975139672e-05,8.01192101155743e-06,2.53553436779796e-05,1.43341078549349e-05,3.99092972541426e-05,0.00133744289243968,0.00662388795428354,0.0246859694649737,0.0201519637527866,0.00963848272068527,0.000108067177774229,0,3.25900264388501e-05,2.34882063080699e-05,9.10303167303561e-06,5.40728669576329e-07,0.000156025545262034,0.00182982605868655,0.00602348436240417,0.0220919514659059,0.0161003089836779,0.00842031200242856,0.000127246268577963,0.000115743179787131
"Salween",1.69750033183792e-08,1.19556064880857e-08,2.36006525832478e-09,1.10471030266137e-07,2.7877426868275e-15,3.15813138905746e-11,3.49664714500639e-12,1.27221583962056e-12,3.97467406820025e-13,1.18665750431015e-14,5.41958875590813e-12,5.78404390928753e-12,1.97854079249275e-10,8.32956673770034e-11,1.16253482625513e-10,1.05287830566626e-07,1.05818549632099e-26,2.66165784178782e-06,8.78095746168965e-08,2.05801319620512e-16,1.01324909281074e-16,4.14766298613623e-18,2.89256787439931e-09,3.68092533702235e-16,9.11650889621274e-10,3.60161272507756e-09,1.47997412344986e-09,8.72093154112984e-08,1.37704231999869e-10,2.84660331829296e-07,8.60492210796795e-09,9.52480879591439e-20,1.37628962302853e-19,4.15759494536674e-20,7.67703577826128e-10,1.02704897355272e-10,9.30911911866666e-10,1.91758984199414e-10,3.85155259629832e-20,1.05048817977682e-07,6.26258119100226e-26,4.50572272360478e-11,1.55526846249672e-21,3.26313893533065e-22,3.29329511164068e-23,0,3.83101006334669e-12,4.96450905424137e-13,8.38060985614797e-11,1.62819672353024e-12,6.76995761983669e-11,1.83425285675921e-07,2.42210190502976e-25,1.60619788769793e-06,1.37983308308714e-07,4.88191049552551e-08,9.48369330289189e-09,1.04216021229453e-09,1.41584877445786e-08,1.50117549549301e-08,1.6412156682689e-08,1.34027101591655e-08,3.2870404850833e-09,2.24314459468905e-10,2.33575008574276e-15,4.22607216366545e-11,6.7225536113619e-12,3.2984122770867e-12,5.17020598222681e-13,1.08365045757531e-13,2.24117595756835e-12,2.20393509168812e-12
"Tarim",0.000242527095547207,0.000207896839795469,0.000121734108691242,1.48444594497139e-05,0.00285835809850575,0.0574821638805721,0.274843477419377,0.309150711675148,0.125149195218021,0.0101615542196354,0.000498993788396513,0.00106747636020609,0.000915317803776845,0.000586724650220546,0.000288069557029519,0.000157702101895518,0.00800848347767246,0.0587785780870035,0.264437931068617,0.411868971067879,0.199979404368306,0.0128537026940376,0.00315186683775704,0.00114560607829395,0.00233733495902714,0.000648967751801712,0.000492149358727071,6.32642205068607e-05,0.0065297098697824,0.0436870946665458,0.177625087874794,0.199982642998515,0.0972370849014596,0.00689581747791543,0.000329150102728615,0.000917624103181578,0.000392338421529293,0.000303783391542402,0.000217986585711472,0.000198647542312926,0.0102383023857266,0.0728552592533537,0.45291479548254,0.477165589431136,0.177950103732239,0.013614144011414,0.00115847493207256,0.00166639072199863,0.000666622298811085,0.00116145723429335,0.000770976481668542,0.000132528085555253,0.00921607875519358,0.0701919086328922,0.18911316101382,0.170158245487123,0.0615002968761428,0.00277705814475138,6.61544568351716e-05,0.000769791369570301,0.000316086196136146,0.000156064520792396,3.74770126587725e-05,5.75326669975612e-06,0.00543488648104025,0.0500100906702353,0.240227486865871,0.226420952866154,0.089280815874288,0.0044672734529026,0.000454043336444147,0.00075138476137667
