"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",0.975828557149852,2.9327122392215,4.08940033196031,5.45188039041859,6.15357190070794,4.73698902806583,2.13594052395822,1.35225442830064,1.25083274150492,0.388548944446727,0.256038740199218,0.713879245491648,1.06182394737715,2.9487708012832,3.40152117157309,4.66814071934445,5.08380155006521,3.80605178723986,0.900953504616777,0.810723884567004,0.582984968576849,0.414541650664284,0.203497264378404,0.402531942063179,0.747146229652953,3.57938747028885,4.35660894791054,4.34972879151157,3.67843954647425,6.19565635379443,1.92714726899819,0.877035738034797,0.793407474649795,0.374079020463887,0.197345939552161,0.320248307778154,0.67102619099743,1.5716053021805,2.18392126873743,3.35856412111991,5.25995307712829,1.80792220419572,0.572579444678776,0.575509951607715,0.49746047480178,0.213878104822495,0.173113860415548,0.136499127221857,0.342755867269458,0.698516175220285,0.671705843725424,1.56561249059459,4.08487405924792,1.47768743021926,0.280512956738405,0.748341200471285,0.929922503256717,0.570136462462576,0.25825019012275,0.626039071512633,1.03317836021234,2.81299230920764,3.10253930469966,4.16666803240478,4.17304659726269,4.98156894815262,1.5634043617707,1.14439804753864,0.88096534829552,0.38056569145836,0.190310591040735,0.424953572807395
"Mekong",7.44541956475267e-10,2.71396819817865e-10,2.16962701323619e-11,6.77709322560886e-12,1.45411037757993e-11,1.21953129545736e-12,9.30328859905016e-13,2.27395036024399e-13,1.57050442659163e-13,1.66910638704963e-13,3.08806035075316e-13,1.29819512356088e-10,3.53274874608765e-10,1.95127094370474e-10,8.90582085805091e-09,3.02249272787517e-05,0.00383115501793615,0.00212362650311478,0.000436912041414169,6.83129527054962e-05,9.96163311817643e-06,6.9302067218922e-07,2.78388961503563e-05,1.33403951805438e-05,0.000351408191871652,0.00581559108751109,0.000120083742375364,4.5660355066021e-05,6.90580318845849e-05,0.000308789382048565,0.00512159549427153,0.00040857935981325,6.43528498821915e-05,7.67136469526198e-06,2.96312569059402e-05,7.76490875259517e-06,0.00984732063989471,0.0118268120245541,0.00029100489101902,5.09133976183758e-05,7.13365091292842e-05,8.43975203481134e-06,9.92639032592093e-06,1.04026857203028e-06,3.24736943364786e-07,8.94362987965591e-09,4.37750508397018e-07,1.28303154733267e-07,1.35916377020754e-07,2.27768415589996e-07,1.55509362216162e-08,1.92467505168941e-08,3.4997752184337e-10,1.08261240631185e-10,3.18346769960181e-10,3.84486172321093e-12,4.16788092355253e-12,6.9748273096558e-12,2.24742447560374e-11,8.42507161018152e-11,2.16773406197346e-10,1.04223323551089e-10,1.35913100269108e-11,8.54282486882153e-12,9.0200999402111e-12,1.16709620766454e-12,1.10273054762085e-12,4.63023091006705e-13,2.848177072787e-13,1.24541857197232e-13,1.31348669380464e-13,2.77428901357399e-11
"Irawaddy",4.31706378256564e-18,9.55379278149131e-15,1.80557720176706e-14,4.00218402998254e-15,2.41524227381124e-16,4.25055828419683e-19,5.20889294156633e-15,1.29398531613421e-16,0,0,1.56568338329656e-17,9.58726879404013e-18,2.22104224295794e-17,1.1540845806487e-14,3.35496105084039e-15,1.81823122312235e-15,4.20401009065691e-16,2.04333701643189e-19,7.13656137725856e-19,0,0,0,1.46584012185855e-18,1.00116234393118e-18,2.29424783114248e-18,1.14834124295092e-14,2.08700469551445e-15,1.37059896628664e-15,2.62091382539758e-16,1.00674752262432e-19,1.01543038893766e-18,4.67409554567578e-21,2.07209917358307e-20,0,8.60541294510839e-19,6.53126700787751e-19,5.91961675308542e-16,4.44741295585752e-15,9.23423359340453e-16,2.74214757216219e-16,8.62774010080589e-18,2.00154880218958e-22,5.96995309134776e-16,4.36234213435155e-17,7.44320673542069e-18,0,2.5104671992461e-18,1.73613447821179e-18,3.79533443739736e-18,3.39648488026426e-16,2.57244512362127e-16,8.43149036838433e-17,2.05956966712306e-18,2.88923989071334e-20,1.17588929020712e-18,7.29008276761068e-22,0,0,1.75908314021106e-19,9.52604851483201e-20,2.84833021949443e-19,5.41596903869414e-16,3.37304370271732e-15,7.28148159534667e-16,2.0260329058706e-16,1.01302977316655e-21,1.26127317704715e-18,4.15043746890857e-23,0,0,2.99518135938018e-19,1.98604683461466e-19
"Luni_ext",0.210492850916888,0.59346705190703,0.711037145181341,0.766758368123388,1.06779872008299,0.618931106466367,0.268761976469341,0.469259851512744,0.514565705397037,0.114928842833616,0.150596072276098,0.179070058955213,0.139855687117527,0.63260080759569,0.500901891078839,0.881203555929495,0.919328032559751,0.544699387958997,0.137309057225129,0.177054417797133,0.070302617713609,0.0919040800983912,0.104638925183162,0.0640440420066942,0.211561568000724,0.857064174450156,0.629177634345322,0.653662289917153,0.519515756515643,0.426120824209399,0.108607746546671,0.143403946616361,0.0987704390930865,0.0338794436759809,0.0516044674206497,0.047334036904711,0.172694066494116,0.374302078397444,0.533861924475589,0.515485725552268,1.04478780324302,0.384347506830567,0.0318457142082339,0.152969224650064,0.10195489767351,0.0542168974137928,0.0834720025292883,0.0215601325131416,0.127347389501988,0.222649700081342,0.278179654655036,0.391818492934178,0.911817895386798,0.290475313902222,0.0973891714139462,0.160989582571063,0.140138678142429,0.0976756549524767,0.205190353586853,0.0680061548978759,0.118889508343716,0.569713699864911,0.691382581288211,0.640973771950257,0.884379918067857,0.533712684554596,0.216837632962178,0.308887379093819,0.185240272553036,0.123653952323207,0.113102598461047,0.0760371518837075
"Indus",0.175643378861033,0.373231115374176,0.381964256377561,0.560643224614967,0.536633471253606,1.29450890417287,0.704406358819659,0.370926671082153,0.242076777366507,0.10146935583351,0.0640364274663069,0.113326507534285,0.35501662864226,0.367549739171433,0.300171919458215,0.305674629734381,0.176856632375463,0.589145648076623,0.308691469445483,0.271203933156571,0.148039185254849,0.0699611190970457,0.0621393093285368,0.116521085098271,0.167066824718478,0.281701476423854,0.298008396108785,0.262177634463582,0.158096083025529,0.626944916887907,0.404585192339419,0.219277575159329,0.110010090724453,0.0505162304008607,0.063251147655293,0.0741097844833067,0.113637429271814,0.1031008668984,0.124161730488257,0.13486345838747,0.157440069358487,0.266886065626871,0.13648105802918,0.203513518527933,0.13401609698577,0.0784038291474391,0.0311251215925046,0.0229102264716088,0.0480386260474133,0.0861479147371956,0.0785030307814939,0.0548024618365469,0.0673023329832859,0.11256839806524,0.102656135178256,0.0729184450501352,0.0848390784706117,0.0562047463784299,0.068970047747607,0.0939457914524132,0.180296760019861,0.407927791530124,0.310090155715411,0.315657451648462,0.275856520855347,0.35100000605038,0.319958078167126,0.242848124631906,0.174550632464168,0.0908203305506936,0.0268331072632456,0.0187136572471363
"Amu_Darya",0.00198785130215735,0.00102093840445418,3.25625194758166e-05,0.000514948594273284,0.00389992858633755,0.0196927883420284,0.076882483354475,0.183845674499,0.132822354484025,0.111678608235978,0.0207811958139547,0.000217429117295031,0.00405748113539519,0.000247496153776414,3.00802653539157e-05,0.000197825106639001,0.00296024522104396,0.0162851100788054,0.0433409329535522,0.130937709878192,0.0910677238087967,0.0563621050646671,0.0146564374690217,0.00380534116232032,0.00250537354597965,0.00154138638911764,1.3075175343436e-05,0.000536790707092073,0.00508664410479833,0.0285017570063619,0.0605874244538442,0.151242620456873,0.118317564006916,0.0560130999766664,0.0236441610666698,0.00314995944729944,0.00299327470903553,0.00132853884597755,0.000244641711802517,0.00163705383227646,0.0076875220561327,0.0479750756987085,0.125403657688207,0.211525434310558,0.175784196401702,0.138002946190966,0.029496800449535,0.00294335457490912,0.00356533566141174,0.00410145030645065,0.000186836066976381,0.000303917110143359,0.00496439908057722,0.0257064187878945,0.0551911880856025,0.18197503873391,0.11498634534224,0.0815500254987597,0.0095774348537254,0.000127515241622248,0.00216543603982701,0.000963838122073508,4.10532705359663e-05,0.000146319657329631,0.00394391787290585,0.027190138345626,0.0517222406531368,0.18652849875846,0.110606082249617,0.0673203091148743,0.021907673565597,0.000162078783939057
"Brahmaputra",0.00227784601637377,0.0234429202244491,0.0924960743724142,0.026009163135849,0.00796056556946666,0.00633834604673968,0.00338621749105812,0.000514830811075398,3.68813894071512e-05,6.72719620094417e-05,0.000102345735043406,0.00160059587044688,0.00704201610981166,0.0309609560147796,0.0707039294767284,0.0249708870773687,0.00819376573443581,0.00589805125568439,0.00502537731140024,0.000111800558379657,6.97819654198645e-05,0.000189368469591738,7.48264613060008e-05,0.000598214494414243,0.00808263465041164,0.0523588425159722,0.152458413978638,0.0381499533137616,0.011008105289594,0.00990515694426791,0.00881199436790968,0.000243549795527288,0.000116505278555511,0.000150313134660247,0.000126957969898188,0.000449087590426912,0.000230336028510409,0.000690945765159829,0.0146805224554802,0.010174329499488,0.00157224432342868,0.00120114986558868,0.00122571802166186,5.40301283617941e-05,1.56652340603483e-05,2.19237095394291e-05,3.93603492114049e-05,0.000427885712753041,0.00051315975383442,0.00158969851371661,0.0277253658335494,0.00774335795802306,0.00177694248547814,0.000440139751059055,0.00303521476162471,0.000137161556598739,4.84963899450482e-05,8.53867158545571e-05,0.000137702698415516,0.00138100057734826,0.00211824855781955,0.0159577913450869,0.033731460460996,0.0124935675342024,0.00477439309689183,0.00796352713235027,0.00911296268972165,0.000252389226444914,8.78075351962447e-05,0.00017462473578837,0.000154383536474512,0.000985588433333126
"Syr_Darya",0.00267121119501356,5.89231883512016e-07,6.42690222069954e-08,3.95214387401317e-08,3.15336091815158e-07,0.000107372856431404,0.000640630124934611,0.000474736940624024,0.000539072414574851,3.80576465916841e-06,6.49400003283063e-06,6.93997024561396e-12,0.00338192737084466,2.14822951982718e-07,9.09567901168324e-07,6.98878576407087e-07,0.000224120145305861,6.11765940917721e-05,0.000297520595831433,0.000459372085572296,9.18684297518727e-05,3.34450826163579e-05,2.08400012006657e-06,2.12430746561119e-07,0.00233315658844295,2.04501790088824e-07,1.11972718160264e-08,3.17944891391271e-07,1.34529103033561e-06,0.00130894427828792,0.000862059264239016,0.000118841793228781,0.000690202387025726,4.63192223562304e-05,2.68205738690787e-05,1.4487264695176e-07,0.00325227455698923,5.89751739749761e-06,2.96068598970578e-06,1.39205423410615e-07,7.07031659701387e-06,0.000356184318338384,7.81615193708804e-05,0.000214603029563669,9.73649400007545e-05,3.23878904879579e-05,1.26728308708079e-07,0,0.0026691599687806,3.78849922433311e-07,4.91329906093796e-06,2.68520236857268e-07,6.96657702859739e-07,5.90925197470229e-05,5.37713941394214e-05,7.6757676161199e-05,0.000310597132884298,2.20840242360008e-05,2.86942538618284e-07,0,0.00267450616787542,4.19213935150611e-07,7.43906880269329e-08,6.59922779920261e-09,5.22392128488784e-07,0.000525854397216583,0.000273758936609292,0.000588993794770723,4.99709852437757e-06,2.52526453545444e-05,0.000226628154420557,2.1780448472452e-05
"Salween",5.34115248522992e-24,1.35897469132407e-24,2.93576926491439e-24,8.48663903415973e-27,6.15040381378663e-25,4.14200167729512e-25,1.14147152475771e-37,4.15150238482166e-38,1.29695651950257e-38,3.87220804646877e-40,5.84827480893483e-25,7.53690863587134e-32,1.7923587615571e-25,1.22429777099718e-24,2.37357976179309e-24,3.16097868161478e-25,8.68805047881387e-44,5.0226578627182e-20,1.68017305265781e-21,8.45972851223064e-39,4.16370475171915e-39,1.70425919231184e-40,8.60430174187051e-23,1.51255918018482e-38,6.25089854165142e-23,3.42755619390282e-23,8.43373626636448e-23,3.95964563203471e-23,2.37936079751393e-24,7.983973582514e-21,2.42986694598586e-22,9.6641529501086e-40,1.39616971194539e-39,4.21776824777127e-40,2.16308600594329e-23,2.91778225720998e-24,1.34542278931347e-23,5.53483611234019e-29,4.01605133383171e-40,3.87315868032098e-27,0,1.28221045454702e-24,1.57646077236542e-41,3.30145918194927e-42,3.47522019152555e-43,0,1.14692295211535e-25,1.41038607277675e-26,6.81098454379357e-26,5.9726738720758e-26,7.18683433113944e-26,6.72504054513407e-26,6.0516615610178e-40,6.11066912279683e-26,2.57104362143829e-27,9.70511790746814e-29,2.60641514364416e-43,4.20389539297445e-44,2.06801231821542e-27,1.74811453612059e-29,4.67998368774206e-27,6.01379584830342e-28,2.16263996335397e-28,6.83873418216123e-28,6.63572077399071e-29,9.26790632114281e-28,2.59486689830578e-31,4.34402523940693e-44,0,0,4.71013702396719e-28,2.38193080322266e-32
"Tarim",2.85699696142248e-08,0.000306317495049939,0.000717949110170443,3.56066955920401e-05,0.00373387693919118,0.00427945780872927,0.000238108829135748,3.3206254416059e-05,9.65631385771475e-06,1.40915864807048e-05,3.57911503256043e-07,1.71173218251931e-05,4.29283901339641e-05,0.000759592173862968,0.00124106833851891,0.00038054713263077,0.0173937471867126,0.00767141237663433,0.000955416149186803,0.00021867725871895,5.21318934640214e-05,2.61053956724445e-05,4.48221954632851e-07,8.43855262440282e-07,0.000116221852726605,0.000434494301836704,0.000878989896898247,2.18911601328853e-06,0.00131590573469408,0.000587741920139103,9.18587181880075e-05,2.15820892822439e-05,3.42792545741552e-06,7.66603120599194e-06,3.99090980891184e-07,4.66311888966432e-06,1.3737122365593e-07,0.000169826063287093,0.00023692565651383,0.000236549534601299,0.00524282409082166,0.00368018698825935,0.000346889141044019,5.49801386720485e-05,1.44194328186233e-05,2.58362386617358e-06,1.79242354517605e-06,3.33210806928165e-05,3.16217371335015e-07,0.00118101501101819,0.00202546467454444,0.00011679988347861,0.00372632702370005,0.00194045864189867,0.000185951694672857,5.22747665578863e-05,7.47908386351327e-06,2.32617245632963e-05,1.40419200800069e-07,5.23785447030217e-05,3.01783735884254e-08,0.000171538181149431,0.000210699074152145,3.90632456474727e-07,0.00132986959321771,0.000474995248513037,3.67033456509404e-05,3.92951149588908e-06,1.13468791837781e-06,1.50527018957829e-05,2.26111737981108e-09,8.63505199476706e-08
