"","2000","2001","2002","2003","2004","2005"
"Ganges",0.11511656178055,0.141805498565592,0.0802933226637442,0.102912905307869,0.064894239198312,0.123340815862334
"Mekong",0.00206617099131539,0.0010565647124662,0.00101351161105823,0.000279595618433107,2.28452730443344e-05,0.00222581875129785
"Irawaddy",1.70839267944329e-07,5.49544335145801e-07,2.12562209461415e-07,3.85408167415249e-07,3.44487262644106e-07,9.04285060568307e-08
"Luni_ext",0.253476765854864,0.462627309134497,0.262815866891158,0.239680544294599,0.158452675557631,0.334586995413673
"Indus",1.04912934168052,1.06779968270227,0.908817741414613,1.00017210585859,0.612092707337824,1.02695158735731
"Amu_Darya",0.784579812284126,1.42528311195646,1.00040955869919,1.30249700757949,1.3692499156933,0.793828083793457
"Brahmaputra",0.0171990953636371,0.0248307204920205,0.0218210525910527,0.00334891452234456,0.00872982925613683,0.0185811193333923
"Syr_Darya",0.179000160399033,0.220151503674141,0.455245458685867,0.635770548487617,0.158644332406204,0.232817541858895
"Salween",6.36688659978539e-05,2.28752823559695e-06,4.52166858108471e-06,6.40555464701753e-06,5.60376754907276e-07,7.1436191286056e-05
"Tarim",0.257797244308615,0.668988035591718,0.905036200956275,0.806611595225096,0.666285991622081,0.359029381194825
"Ili",0.122926584572398,0.771386343580868,0.797821616190579,0.766219738521903,0.460654129139445,0.113127701878822
"Inner_Tibetan_Plateau",0,NA,NA,NA,NA,0
"Yangtze",0.12475686642661,0.0931928373156541,0.0248805079394474,0.0785006910217437,0.0486638898422015,0.131689772406015
"Inner_Tibetan_Plateau_extended",0.183083731661166,0.263967658420461,0.37677472296805,0.58789721866463,0.510531876567291,0.181067999940563
"Yellow",0.0130514669798689,0.00437545753858848,0.14770744011725,0.0172337483326035,0.011689923314791,0.0131128691575556
"all_basins",0.232762645251726,0.246397951232152,0.165771730281676,0.208048310281199,0.124786934430223,0.240008716173017
