"","2000","2001","2002","2003","2004","2005"
"Ganges",87.6637719160749,87.0885221465721,91.5849181435149,92.0092408734333,96.6153478005446,86.9575074698341
"Mekong",99.8220972596813,99.6943348310607,99.6901597595533,99.4017754097749,99.9879770055066,99.7760117172178
"Irawaddy",99.9999407882605,99.9999091792952,99.9999168163129,99.9997044558891,99.9999299115531,99.9999593268251
"Luni_ext",53.0353915892985,47.3359593508793,56.2167173985076,63.0828326787718,83.830421668804,60.6901690631389
"Indus",77.1877340789065,71.2447783997397,71.031063216497,73.4503327353593,92.3725611036435,77.1906885915048
"Amu_Darya",72.7227933262452,59.573335027967,57.071331694523,55.3297017110881,57.1179428690304,72.4350861632842
"Brahmaputra",98.5650090929836,98.1635193855396,98.6145697897256,99.8289997445337,99.4792868213811,98.5875545060627
"Syr_Darya",42.8333578965673,43.5267565700931,51.9896194505301,52.7513080689679,43.4947395165502,46.1048176996877
"Salween",99.9973373163218,99.9998925831545,99.9990006565528,99.9987180460372,99.999923889569,99.9970130955718
"Tarim",78.6557087007557,51.9462666521955,53.4238484776945,70.5351118698782,57.3259018297855,78.8301774217034
"Ili",57.079446982176,61.3696199387755,52.8091555450806,65.9479049792972,49.0359206920864,57.927665583349
"Inner_Tibetan_Plateau",93.2873873082872,NA,NA,NA,NA,93.2873813372432
"Yangtze",98.4868956277059,95.751510031749,97.7386661465917,96.9465298560935,99.3045741284514,98.4555610086547
"Inner_Tibetan_Plateau_extended",66.6955761627521,66.4482145847266,33.1310891807302,48.7840201466929,39.5680099096148,65.2708279592957
"Yellow",92.2646545085476,95.5948629154346,74.3921708670012,86.167765656447,93.6183026963341,92.2433080135279
"all_basins",91.2360879091044,89.282571935608,91.2915788595604,91.5683608202675,96.8479619573757,91.0913756387085
