Basin,Month_of_Max,Max_Value
1,Ganges,Feb,13.352407213696
2,Mekong,Jan,1.8936711856515
3,Irawaddy,Feb,0.70387786729995
4,Luni_ext,Sep,1.28939141913307
5,Indus,Aug,13.5406822654736
6,Amu_Darya,Aug,0.527643206947181
7,Brahmaputra,Mar,4.31552356047337
8,Syr_Darya,Aug,0.494580785384341
9,Salween,Jun,0.047518375857224
10,Tarim,Jun,1.01936767978926
11,Ili,Aug,0.847396534124185
12,Inner_Tibetan_Plateau,Jun,0.00533796005325371
13,Yangtze,Jul,21.1725870257113
14,Inner_Tibetan_Plateau_extended,Aug,0.395347329407424
15,Yellow,Aug,4.13499860799199
16,all_basins,Aug,52.0964518393768
