Basin,Month_of_Max,Max_Value
1,Ganges,Jun,1.97655762464248
2,Mekong,Jun,0.0118131970026099
3,Irawaddy,May,0.000152400245131057
4,Luni_ext,Aug,0.140105215926585
5,Indus,Jun,4.81921637420254
6,Amu_Darya,Aug,0.426956600491079
7,Brahmaputra,Mar,0.0780915588795083
8,Syr_Darya,Aug,0.248636836170862
9,Salween,Jun,7.77873070990659e-05
10,Tarim,Jul,0.839152481826648
11,Ili,Jun,0.628405883356701
12,Inner_Tibetan_Plateau,Jul,0.00598995917751684
13,Yangtze,Jul,0.849553670848399
14,Inner_Tibetan_Plateau_extended,Jun,0.261630556607933
15,Yellow,Jul,0.993065644924865
16,all_basins,Jun,10.0877360374521
