Basin,Month_of_Max,Max_Value
1,Ganges,Jun,17.1350905387272
2,Mekong,Jun,1.20611639558391
3,Irawaddy,May,0.206236470031208
4,Luni_ext,Jul,20.5315535429903
5,Indus,Jul,38.3198480782493
6,Amu_Darya,Jul,37.0441872566266
7,Brahmaputra,Apr,2.77765095650342
8,Syr_Darya,Sep,33.3663739807772
9,Salween,Jun,0.114040906710662
10,Tarim,Jul,40.1353399790937
11,Ili,May,27.601905501617
12,Inner_Tibetan_Plateau,Jul,60.7569478046161
13,Yangtze,May,5.29341027403049
14,Inner_Tibetan_Plateau_extended,Jun,36.9288246271541
15,Yellow,Jul,16.323133678714
16,all_basins,Jun,16.5446458459623
