"Jan_irrigationGrwt","Jan_IrrGrwt_km3_pgi","Jan_IrrGrwt_percent_pgi","Feb_irrigationGrwt","Feb_IrrGrwt_km3_pgi","Feb_IrrGrwt_percent_pgi","Mar_irrigationGrwt","Mar_IrrGrwt_km3_pgi","Mar_IrrGrwt_percent_pgi","Apr_irrigationGrwt","Apr_IrrGrwt_km3_pgi","Apr_IrrGrwt_percent_pgi","May_irrigationGrwt","May_IrrGrwt_km3_pgi","May_IrrGrwt_percent_pgi","Jun_irrigationGrwt","Jun_IrrGrwt_km3_pgi","Jun_IrrGrwt_percent_pgi","Jul_irrigationGrwt","Jul_IrrGrwt_km3_pgi","Jul_IrrGrwt_percent_pgi","Aug_irrigationGrwt","Aug_IrrGrwt_km3_pgi","Aug_IrrGrwt_percent_pgi","Sep_irrigationGrwt","Sep_IrrGrwt_km3_pgi","Sep_IrrGrwt_percent_pgi","Oct_irrigationGrwt","Oct_IrrGrwt_km3_pgi","Oct_IrrGrwt_percent_pgi","Nov_irrigationGrwt","Nov_IrrGrwt_km3_pgi","Nov_IrrGrwt_percent_pgi","Dec_irrigationGrwt","Dec_IrrGrwt_km3_pgi","Dec_IrrGrwt_percent_pgi","Jan_irrigationGrwt_stdev","Jan_IrrGrwt_km3_pgi_stdev","Jan_IrrGrwt_percent_pgi_stdev","Feb_irrigationGrwt_stdev","Feb_IrrGrwt_km3_pgi_stdev","Feb_IrrGrwt_percent_pgi_stdev","Mar_irrigationGrwt_stdev","Mar_IrrGrwt_km3_pgi_stdev","Mar_IrrGrwt_percent_pgi_stdev","Apr_irrigationGrwt_stdev","Apr_IrrGrwt_km3_pgi_stdev","Apr_IrrGrwt_percent_pgi_stdev","May_irrigationGrwt_stdev","May_IrrGrwt_km3_pgi_stdev","May_IrrGrwt_percent_pgi_stdev","Jun_irrigationGrwt_stdev","Jun_IrrGrwt_km3_pgi_stdev","Jun_IrrGrwt_percent_pgi_stdev","Jul_irrigationGrwt_stdev","Jul_IrrGrwt_km3_pgi_stdev","Jul_IrrGrwt_percent_pgi_stdev","Aug_irrigationGrwt_stdev","Aug_IrrGrwt_km3_pgi_stdev","Aug_IrrGrwt_percent_pgi_stdev","Sep_irrigationGrwt_stdev","Sep_IrrGrwt_km3_pgi_stdev","Sep_IrrGrwt_percent_pgi_stdev","Oct_irrigationGrwt_stdev","Oct_IrrGrwt_km3_pgi_stdev","Oct_IrrGrwt_percent_pgi_stdev","Nov_irrigationGrwt_stdev","Nov_IrrGrwt_km3_pgi_stdev","Nov_IrrGrwt_percent_pgi_stdev","Dec_irrigationGrwt_stdev","Dec_IrrGrwt_km3_pgi_stdev","Dec_IrrGrwt_percent_pgi_stdev"
"Ganges",11.1447254252127,0.0430567932077139,0.386353286862284,14.5354581208428,0.0323601634705932,0.230668697767494,11.1964943365948,0.0211105792240826,0.188248584371182,14.3696248597555,0.0279101263380618,0.193324722925005,14.0741185140907,0.063831035064498,0.452379557482198,10.0567844625917,0.269570922129258,2.70024959200839,5.83694320910213,0.124316573437921,1.93178578098814,8.72953824833177,0.149589214108485,1.64208258649267,14.8020805489846,0.182728665854489,1.18462964800409,9.21757726247692,0.130637061444768,1.39093036223499,10.7626163157689,0.0433055296659806,0.421647535629045,NA,NA,NA,0.935921419120461,0.0311017211341797,0.275625070676649,2.1856590406545,0.0244197522315393,0.189313994206848,1.5823759364458,0.020266908068932,0.173943764066808,1.32513020469629,0.0219442706708362,0.152366052522754,1.22076321440918,0.0271755276070909,0.186812201393307,1.8755575889492,0.0796954605350089,0.710309576948586,2.01580984227254,0.102133784716499,0.788365836774994,1.52924409657271,0.0990985632806062,0.844322212298765,2.93654057188407,0.12230967202994,0.699797328778408,2.0153209325318,0.0728952470997313,0.671145446689154,1.89074396518972,0.0233119064513103,0.255271705682227,NA,NA,NA
"Mekong",2.08273260251186,1.46475099046825e-05,0.000697959104663838,1.52204543946212,4.04652393714301e-06,0.000258735852616396,0.624260938133315,6.95777746983359e-07,0.000110303838710777,0.408107698573274,4.12194547220267e-07,9.94253631011481e-05,1.09586656094171,3.0837829138858e-06,0.000254000930254038,1.01750502105795,5.104735334855e-05,0.00555117583602479,1.15149195265232,3.27062261119213e-05,0.00293681203485933,0.712058068017675,7.40424422292668e-06,0.000995946519107116,0.417363955404237,1.01431111965386e-05,0.00230367255425431,0.716110576782313,1.03277657587013e-06,0.000134966574159623,1.67417420566351,3.45850521603609e-06,0.000186861579843455,NA,NA,NA,0.133488738021033,1.38508343170626e-05,0.000662727090666159,0.171599067586419,2.97713462088591e-06,0.000176220952684557,0.122791090253725,5.61145434927113e-07,8.34711962890342e-05,0.101909370833254,4.6699642006998e-07,0.000122331312045971,0.216911855739163,6.01128025716551e-06,0.000411002900004092,0.289009888454487,7.61889575254162e-05,0.00971848084212056,0.225306563961222,5.52294565821633e-05,0.00510477572025322,0.174135639724242,1.18971721023465e-05,0.00166066257869282,0.0798031938426796,2.04892470134023e-05,0.00488686348238804,0.151028754809307,1.65127279755176e-06,0.000221590125107712,0.370396207993008,5.71735412687104e-06,0.000286071996368875,NA,NA,NA
"Irawaddy",0.357521006439953,4.16200586488248e-09,1.05935814137931e-06,0.656820513155941,3.48410484960636e-08,4.43611291461925e-06,0.375369947018272,3.24354528230849e-08,7.40392971153528e-06,0.137796582647876,1.0731891535536e-07,6.96466424435642e-05,0.0608925889301696,4.59542858923897e-07,0.000531423673842952,0.0890490888718056,2.03282835296325e-07,0.00016757405927944,0.102467696859355,1.33126016005251e-06,0.000814831442915882,0.0105778267999322,5.14154025178489e-08,0.000223482748213613,0.00512457928685586,2.5125271016853e-09,2.08767119656612e-05,0.000459795698043231,4.14687226917266e-12,NA,0.378833649823103,3.31066861961195e-09,8.48404214214396e-07,NA,NA,NA,0.128909753404517,6.59856723524158e-09,1.59734100020169e-06,0.113443318986684,1.06072783943452e-07,1.22286832391826e-05,0.0499161803787185,1.05330190798404e-07,2.19659829457485e-05,0.0394769540700833,6.07066540582639e-07,0.000392188121210708,0.0401781721578046,7.60095591453605e-07,0.000666776053467098,0.0281493039126376,5.04321266140169e-07,0.000390964128820134,0.0425895181345271,2.85332213121011e-06,0.00154453801799855,0.00712665046594987,1.67617461027659e-07,0.000631423553224799,0.00404951700694285,9.42843499102968e-09,6.35864752653682e-05,0.00100487927721675,2.31025099364686e-11,NA,0.0780156772668257,5.73151082152609e-09,1.41902391619762e-06,NA,NA,NA
"Luni_ext",0.428183123377032,0.00481888032486116,1.19510114257562,1.44936584368376,0.00644312712163844,0.446346858676723,1.68838302981549,0.00794416325272535,0.475282247280653,1.95532257369823,0.00639936342232475,0.325176552321033,1.83282822954699,0.00325476606927806,0.17680749169081,1.03138131825525,0.00373995914465769,0.371755395152738,0.674370165256244,0.0147040592661876,2.21333317362703,1.43725059242296,0.0386848676577402,2.71014382531727,1.57962791504849,0.0544401002178956,3.4671834099855,0.78375823897304,0.0270452744900449,3.66415716746279,0.631739048911939,0.00685892906994101,1.08508588125627,NA,NA,NA,0.130409923779282,0.00169787443388895,0.482211300350087,0.308448351921265,0.00314485450723562,0.210916185554661,0.274246624165126,0.00353415335731761,0.20667439606219,0.226634793352376,0.00304600343303303,0.150060130101437,0.219485696387223,0.00140399707810793,0.074859309908374,0.117237535578627,0.00161708172235974,0.17815030904661,0.206828554843665,0.00611300613432233,0.851462696432644,0.137699205605484,0.0105332262251948,0.751329149104031,0.235189881625984,0.0149168664453932,0.884831764683978,0.19944342774351,0.00824797876971056,1.32958981281715,0.140825900475223,0.00344497292022116,0.461952637802799,NA,NA,NA
"Indus",4.18715661159994,0.113341576870215,2.69317856567343,4.54959642907564,0.09455634635855,2.08933729677624,7.09183243043212,0.099705691045746,1.3852818494564,9.63504014367509,0.0707512881458711,0.732730235103233,7.98192543205568,0.0543551972094215,0.666172675501573,13.7445922693561,0.300121369574458,2.18552844133511,11.8525972965636,0.630299560592206,5.29390125556055,18.3658958049505,1.37356282121346,7.45504881650289,17.9816292671348,1.7147356578383,9.46881081073795,9.16236991369057,0.760037201486266,8.30625396377325,2.14359086591059,0.102278397971761,4.76034058826505,NA,NA,NA,0.633476972551469,0.0379273028054078,0.755694246250438,0.994967580982739,0.0353525230231899,0.713502730866321,1.7998231528768,0.0491984297270196,0.530017928699089,1.7266970786222,0.0312063409417687,0.295035895962624,0.980852261580043,0.0254466866531496,0.269154735537505,0.854107964662618,0.118799207935716,0.841273357923914,1.72860661562539,0.218379311167888,1.62927123787507,1.05712013897155,0.438388457868705,2.27674866563408,1.55429998069292,0.492355425471964,2.35876939182744,0.5793442154689,0.207213578332447,2.16530549658744,0.18958577115996,0.0309033969419795,1.30756891583595,NA,NA,NA
"Amu_Darya",0.0275834575000529,0.00111950604722706,3.92158723164845,0.0103732473398522,0.000239017048410677,2.29449894547511,0.0100497788030688,0.000138566827609569,1.07060439629769,0.0687881816656515,0.000639776275893695,0.83096132948636,0.157814756115232,0.00108052805567853,0.687177297909463,0.569614273726065,0.00857391230444136,1.4881580676411,0.753768547153173,0.0317234224515326,4.20620424751458,1.23467060364039,0.12106460626371,9.76226590755002,0.924390441912593,0.0901198116669673,9.65944035184843,0.657191310009951,0.0485603416940221,7.42846572798639,0.104475380184503,0.00716763426687104,6.9447973751427,NA,NA,NA,0.0114615791128672,0.000782172114625009,1.97941778020651,0.00684335910553976,0.000243010275362666,1.91609184375158,0.0102238127902023,0.000218191756199095,1.08836386803176,0.0514148667690536,0.000741186438523415,0.407729765560128,0.0611878765326785,0.000575437161980873,0.247522097453409,0.061919020024115,0.00535352067320067,0.868839972814348,0.0680560758690597,0.0144140061113018,1.91678856612154,0.0670115609537711,0.0431176720476769,3.29808343353096,0.0696943386782505,0.0294283371921609,2.75430326913098,0.0864399713560756,0.013830632381547,2.04023323768263,0.0390391952896707,0.00350423850326412,2.46451769017895,NA,NA,NA
"Brahmaputra",3.63176381499374,0.00043175237642132,0.0116569306495981,3.82676644365413,0.000637715676910411,0.0164561811150286,4.13857313174416,0.00146239125099662,0.0346831465219663,1.53394285597269,0.000742357178968856,0.0481483884510653,2.82745098922479,0.0029963666400555,0.104666370026588,1.33277660567042,0.0010499003311384,0.0676432129376464,2.21058231032606,0.00158792651144095,0.064596723668768,0.920493785424817,0.000171747261485495,0.0149482942574977,0.827800551859114,5.93044141426354e-05,0.00574136916195189,1.59277301966332,0.000201568894422217,0.00937829611932728,1.22609361964234,0.00018747464254592,0.0129554716329901,NA,NA,NA,0.229677114785516,0.000266578776558842,0.00671579251772882,0.211752492914835,0.000332474843407652,0.00800936412714453,0.266464529472909,0.000957992101155935,0.0216502156607115,0.133507870715507,0.000527705728744667,0.0323406209716516,0.260739631124918,0.00202485132064074,0.0679367586446707,0.457084004201178,0.0010919964208371,0.0519337852065298,0.417766030499978,0.00203417086400684,0.0778251515840504,0.40182378526801,0.000246348688538017,0.0165021717001453,0.411046375438485,8.06671979006935e-05,0.00564864031698091,0.562928105131466,0.000413878062954935,0.0166000877163676,0.291932185575443,0.000275174725144117,0.0173947906163097,NA,NA,NA
"Syr_Darya",0.00818255272797834,6.83606298621514e-05,0.78784559603983,0.000925999600166813,1.88426950327636e-05,1.82672244457537,0.000237197250406551,4.38650833561965e-06,NA,0.0073733302786947,7.3391334349034e-05,NA,0.0482209451614775,0.000258058342726897,0.531869596944872,0.229958804992539,0.00174872674687138,0.764605777008466,0.562026003465331,0.00845519772028317,1.57844145887401,0.774012483237288,0.0328152334562795,4.16846335500138,0.515348409663155,0.0268671909918966,5.13098036041682,0.386291480858636,0.0161150440172229,4.1774040981903,0.0228578941286852,0.000868745721020299,3.70207544902524,NA,NA,NA,0.00165934248201315,4.73559911482597e-05,0.409074879171068,0.000753600478394145,1.91826642595168e-05,1.18726133031368,0.000307065096114598,7.64526003133236e-06,NA,0.0101636110701239,0.000112906671976363,NA,0.0433748818881967,0.000265485963087802,0.33479032271027,0.113198518097515,0.00128280583359937,0.418531460276567,0.151902001813899,0.0041636377577189,0.836909561257868,0.109444383116985,0.0163978998708501,1.77450427862713,0.0712299805645921,0.0117358356102326,1.91870119675632,0.0957575725090607,0.00687714826284632,1.47177147050802,0.0255095084242372,0.000988238233484443,1.44060073806202,NA,NA,NA
"Salween",0.030494122789805,6.27358796675411e-08,0.000218371404639326,0.0415850327135017,4.92017496239615e-08,0.000122642537081178,0.0373607621193767,2.27234842413047e-08,6.56558459981018e-05,0.0230863262032065,1.0366836567339e-07,0.000407985358630911,0.0188447844903256,1.73842177099255e-07,0.00064276531078285,0.0416608682477412,1.03919859603195e-05,0.0139283970849166,0.00439953889846829,1.46514215460897e-06,0.00934116489775299,0.00137904712731679,1.22883530537733e-07,NA,0.000871560083885043,2.68967435630134e-08,NA,0.000196308666101142,4.15298252618826e-09,NA,0.0460902940619711,7.45497762366133e-08,0.000158813401679734,NA,NA,NA,0.00897119583324744,1.91822774674638e-07,0.000639540837193804,0.0154854527711775,1.60444252591121e-07,0.0003878921303908,0.0107996539956646,7.04482123870118e-08,0.000200533198652108,0.00900590636225745,1.69671333568518e-07,0.000683861246836391,0.00897843957734415,6.31292932729497e-07,0.00208732540696402,0.0159344175272551,3.20464847465684e-05,0.0421913080652682,0.00469942753753167,5.31975627543062e-06,0.0316134142847544,0.00163409610983454,4.43390824348735e-07,NA,0.000923977314601237,1.08737574667025e-07,NA,0.000263121123833028,1.39031411912014e-08,NA,0.00588252803753049,2.32198883607315e-07,0.000487777685989919,NA,NA,NA
"Tarim",0.0157877055126581,0.000658425271799355,4.27552082729188,0.0190593881930367,0.000601507630665523,3.04648611494638,0.0191278336994715,0.000333418195520871,1.55006686239604,0.0162045113379103,0.000208743292213477,1.01528887210504,1.03314020467756,0.011052097564711,1.03571298175361,1.76213404641572,0.0512235541514031,2.78997861107089,2.0238972276311,0.227924713162098,11.1273154514127,1.92849916428324,0.283486890170115,14.4756823095348,0.857612178280579,0.112232205518684,12.9962188919244,0.0577251893903085,0.00543950468957326,9.21144999541413,0.00911044118743557,0.000437835244647067,4.39368046369255,NA,NA,NA,0.00492124635506515,0.000459945948659199,3.2371468025813,0.00516027052728829,0.000405489551144915,1.52905981683325,0.0112168774787192,0.000329299460009121,0.810974373137409,0.0124040244262541,0.00027083401789137,0.563688040412527,0.0609347015562156,0.00871752072295162,0.728077678674732,0.167031155628552,0.0367407074627198,1.73194852339552,0.113878099979984,0.089901991260109,4.0353307681811,0.143798641302627,0.106264160865172,4.74726788227323,0.0687006312983216,0.0485615470649169,5.26024301784035,0.0179307487735904,0.00284072532602202,3.56258755334931,0.00608833740138896,0.000408510663910758,3.37694457926799,NA,NA,NA
