Basin,Month_of_Max,Max_Value
1,Ganges,Jun,3.08617346112653
2,Mekong,Jun,0.00466192261817124
3,Irawaddy,May,0.000867398763852607
4,Luni_ext,Oct,0.797770791089195
5,Indus,Sep,2.29942263441712
6,Amu_Darya,Aug,2.35241427860612
7,Brahmaputra,May,0.168484878482891
8,Syr_Darya,Sep,2.14274425281922
9,Salween,Jun,0.0135345488740531
10,Tarim,Jul,2.21390441331028
11,Ili,Jul,2.06697994896598
12,Inner_Tibetan_Plateau,Jul,0.777622494026932
13,Yangtze,Oct,0.0968702666391622
14,Inner_Tibetan_Plateau_extended,Aug,0.993020243559402
15,Yellow,Nov,0.0155512078312914
16,all_basins,Sep,1.11329998257402
