Basin,Month_of_Max,Max_Value
1,Ganges,Nov,93.7376271721892
2,Mekong,Oct,99.9900610266126
3,Irawaddy,Nov,99.9998198693157
4,Luni_ext,Oct,67.2604002435367
5,Indus,Apr,77.0508677724391
6,Amu_Darya,May,73.0175871599154
7,Brahmaputra,Sep,99.9057807753261
8,Syr_Darya,Feb,79.5989763066694
9,Salween,Nov,99.9932919589698
10,Tarim,Jan,64.7719581834218
11,Ili,Oct,74.7436831320088
12,Inner_Tibetan_Plateau,Sep,64.708433892189
13,Yangtze,Nov,98.1632850227602
14,Inner_Tibetan_Plateau_extended,Oct,77.8203139433887
15,Yellow,Jan,91.6957488960499
16,all_basins,Nov,93.8864455307057
