Basin,Month_of_Max,Max_Value
1,Ganges,May,1.62965204443448
2,Mekong,Jun,0.0084249290906686
3,Irawaddy,May,0.000183647641083121
4,Luni_ext,Aug,0.164665256998619
5,Indus,Jul,4.82254116828719
6,Amu_Darya,Aug,0.386407116187918
7,Brahmaputra,May,0.102478470347716
8,Syr_Darya,Aug,0.21545908782374
9,Salween,Jun,0.000393669205755289
10,Tarim,Jul,0.798888065149132
11,Ili,Jun,0.626099444273008
12,Inner_Tibetan_Plateau,Jun,0.00642867254158311
13,Yangtze,Jul,0.717328363547042
14,Inner_Tibetan_Plateau_extended,Jun,0.278690203264098
15,Yellow,Jul,1.03627989360296
16,all_basins,Jun,9.69242903421247
