"","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01"
"Ganges",1.76466882628666,5.08390780287504,3.87095696971698,5.78663374728775,7.39942176441347,5.40545971419657,1.80225272324938,0.995068764327016,0.937737531000062,0.33145426020372,0.244893919643894,0.302785841585323,0.4262926625952,2.14750981519109,3.2371481061899,3.8142709602689,6.01528092553913,3.06788156907751,1.2095819938051,0.909903550490507,1.02476823656208,0.280540304103056,0.259705876217201,0.343598736500899,0.255611156844009,0.801126763443122,0.795627156466058,1.39373965080764,2.60601484089733,3.62382740476615,3.00830352216398,1.17686672891148,0.783839408918892,0.253719915054145,0.19922325318992,0.243455045560749,0.25934425527826,0.870121773226354,1.49024295042548,2.59898364529821,3.59110074990216,2.14034917790923,0.748919446948285,0.806394923504939,0.654522685524684,0.249708481802874,0.182225892748686,0.297436652282432,0.181053159199285,0.811367632157217,1.22454122387652,1.63554366650178,3.81686222558452,3.89969808270156,1.13063224124239,0.890282792170653,1.05303153247206,0.468358892337186,0.35065177792582,0.769686057785375,1.43117691117324,4.8885507477643,4.91394156593991,5.41333420697392,5.95677982667873,10.5756524566959,2.51503918224493,1.95901079458495,1.71809220762754,0.840147319310782,0.664967630438584,0.839512803139432
"Mekong",3.03766652447782e-07,3.21666676005039e-07,9.88313257013057e-08,1.00661892000948e-07,1.27829019139071e-07,0.00450194981159754,0.0359460833407038,0.00351463148322193,0.000333517005118664,2.52018645489764e-06,1.47333435928035e-05,8.50061572652606e-06,1.27687897474353e-05,7.58666730274021e-06,2.64185771055296e-06,3.3414975390278e-06,8.56530466472402e-07,5.21198780776805e-08,4.01927384422252e-08,7.7775727881703e-09,4.75231940092209e-09,3.01682431689512e-09,1.9979114738596e-09,4.97454084712654e-09,5.97374871856316e-09,5.67213479703262e-09,2.25530407012526e-09,3.26068370065096e-09,5.69645836420581e-09,2.23104664713542e-10,2.68961426697345e-09,2.19780188920249e-11,1.04935789648671e-11,3.0460549301137e-12,3.06670017511712e-12,9.60670277526197e-11,0.00364900659644041,0.0099112999209383,0.000283453933991029,7.42228725623044e-05,5.06623539898158e-05,5.16727536611953e-06,2.24868732745075e-06,2.6444571664414e-07,7.55131055658999e-08,1.13172663668944e-08,1.09143269112704e-07,2.47863062524621e-07,0.00592367170848428,0.00491106788875439,0.000639639012660668,5.40872048065795e-05,4.10878248924504e-06,1.31234241838062e-06,2.20409045814963e-06,1.39486791282606e-07,1.420498711991e-08,8.09649366586865e-09,8.8350818870732e-07,4.44768642442429e-07,3.40836770954782e-07,3.34146189137262e-07,9.10464267923298e-08,3.68234551649547e-09,8.1438523252857e-08,1.83237652658286e-08,7.36733930903377e-09,1.6419062333327e-10,9.13117223222471e-11,2.44242828892504e-11,8.84719447604575e-11,5.39401527769965e-11
"Irawaddy",4.6103182902921e-14,1.26971182424936e-12,2.69865339064798e-13,1.41104850008821e-13,1.74845280857237e-16,4.53226531912213e-19,2.36042074547889e-16,1.6984684704388e-21,3.26350909586624e-34,0,1.89594560473576e-16,4.02031967316104e-17,2.28088742542109e-16,5.08828643343137e-16,2.99500698656337e-12,1.53617171197817e-14,3.47453325643312e-15,1.20298271829672e-19,1.01813035145099e-15,2.22714621299095e-18,5.92978402900173e-22,0,5.37799771801926e-18,2.35379476192712e-18,3.39958839428696e-18,9.56756230811208e-16,2.14297935453082e-15,5.11679732155281e-16,5.98789265982845e-17,4.20471474636266e-18,6.01648945130721e-17,2.93308298394652e-17,3.03924540064005e-19,2.84211538817717e-20,3.87817229512899e-18,3.63972345602592e-18,4.11150709693175e-15,6.20400109049486e-11,2.40093353498526e-10,8.53985577074886e-12,2.57133865367284e-13,5.09606683275182e-15,8.02306477369262e-14,2.08191707526615e-15,1.47273660603743e-18,2.32317306186732e-21,6.47188575286549e-16,4.54900900262107e-16,3.9511085184276e-15,4.33940887228335e-11,6.69339508290865e-11,2.01229584836318e-12,1.83159451877281e-14,6.19531096560544e-20,4.02426505207019e-16,8.70926053035615e-19,7.16990021901135e-19,9.56447996854741e-21,8.32814522480915e-17,3.17502854315052e-17,6.44011777698568e-15,1.30872685950652e-13,4.40067921264823e-14,1.75837808256568e-14,3.88797194946345e-15,2.30468048491559e-22,1.46472981046419e-16,1.38145947477066e-18,7.27596544090257e-19,0,1.01347339728793e-17,4.06775872488908e-18
"Luni_ext",0.296721238604902,0.595071422990932,0.672337813887463,0.691091905025675,1.01794749661581,0.359838355831133,0.103234738047637,0.219201220701624,0.227803567054021,0.0825539560059956,0.114781656267747,0.126562580771747,0.0527444673223665,0.446120557835681,0.551475223415313,0.538986194223722,1.19493788112901,0.35304438237428,0.0347046096967934,0.224071686971411,0.349769049151439,0.0569794205622521,0.134847182641813,0.0436676535160533,0.0224922828507119,0.277231777896739,0.202045286669412,0.323566277126081,0.660535801009136,0.590702257502645,0.500319814537849,0.408645540545538,0.191818590998021,0.123120995216583,0.137755593376325,0.0543403521425042,0.0613586121310888,0.374725102098034,0.44486867939327,0.404412044544557,0.697841896728019,0.334800867566284,0.044673942030407,0.130821075424482,0.106690942523735,0.0453348707127647,0.0532346377811402,0.0468690038852011,0.03501715047251,0.320238069983102,0.299305098695359,0.576194542982793,0.777117551561622,0.479915859760492,0.179539660056684,0.302471303136448,0.175476108560207,0.116052189039571,0.236105525130121,0.122709616500481,0.325693105054249,0.682422283565199,0.778766465218099,0.663170652589921,0.939225036977376,0.753479499924434,0.114988051436192,0.465813588032325,0.55737364431946,0.26596112937441,0.396912765137585,0.200253682112529
"Indus",0.130365581353453,0.117528120986141,0.111065017645788,0.184613551343339,0.266255879340119,0.459270320511288,0.232614433602608,0.169931577479243,0.120268695064705,0.0634078961504018,0.047244751599307,0.0593593546681561,0.0684841220768433,0.0768854819195147,0.135469487735512,0.0997645020925556,0.134787169995077,0.164912104632614,0.07941610097872,0.107238407415403,0.161680303290773,0.0744757966875275,0.0542350111186038,0.110766483985126,0.0776721901380208,0.0779361799317396,0.132903838782297,0.100291975955204,0.0709330984228019,0.344526268192213,0.3345289965486,0.188733487560773,0.153840718164166,0.0763072156752461,0.047800086290596,0.0451748151840525,0.0811093349428284,0.101440500159647,0.108040537941142,0.0833189680922956,0.0784218312808527,0.20315800470997,0.107054358224321,0.120239500541884,0.108835932746632,0.0584806196684006,0.0200843429185896,0.0266414501424105,0.0417161679583407,0.153875916277458,0.185631349525632,0.136755601748465,0.11763727685092,0.263503220432925,0.200514995435158,0.120797960715933,0.151307922809037,0.0821526968532514,0.100659905656008,0.14403645240753,0.175032594605467,0.131017302434861,0.151526716116753,0.145198033141411,0.129324420524007,0.692179637378392,0.357106998046904,0.266615907743331,0.215837923823154,0.118464714803453,0.082276915247624,0.0992691918484888
"Amu_Darya",0.00140628789729135,0.000733349814209286,0.000171882061584108,0.000158459205978404,0.00190075548047292,0.0254943453327344,0.0654291525007219,0.141737712311504,0.0915263195254745,0.0528670400635974,0.0135555077868942,0.000548066764680729,0.00270707150260733,0.00432698335227521,5.68724117489047e-05,0.000237440062948613,0.000972736576689999,0.0147014300000357,0.0462165340702654,0.1337736358289,0.117618019289472,0.0724271788891197,0.0143819731401007,0.0006003234391842,0.00251930687601705,0.00189663003257081,0.000285975125958062,0.000425376108454144,0.00343930951472229,0.0191614331566286,0.0557516069250049,0.102906105293439,0.0816423487759002,0.0727985699924272,0.0101405374728498,0.000102596646541027,0.00270769085512889,0.00108146174580469,5.05117702797784e-05,4.6687252422224e-05,0.00330115547826103,0.0183584091286813,0.0368395145307301,0.116282986447295,0.105303431455383,0.0738746923455176,0.0118919125953767,5.52047672197493e-06,0.00243784476521264,0.000467895958760524,3.71888328334089e-05,9.46164526718663e-05,0.000181557710107158,0.00510466943543442,0.02461485656792,0.0867956178561774,0.0449402418075839,0.0318122717463502,0.00404289940185406,0.000499520757262185,0.00128897480423461,0.000190258668488672,4.20590591702061e-06,0.000184821640612464,0.00151554845470095,0.0135037950137885,0.0284612960725458,0.0853334933740107,0.0622702388235568,0.0526677036406514,0.00797702549411855,0.00224987630954638
"Brahmaputra",0.0058665441155302,0.0243029210668674,0.0417575989710276,0.0228727353217766,0.00968848425840295,0.00415132997375767,0.00441000314994606,0.000344141473011232,4.7938297065087e-05,6.31843472541372e-05,8.17422088550176e-05,0.000682710426500595,0.00102257232866336,0.0117312418331777,0.0790081630344507,0.0238101701706234,0.00520331159103626,0.00181735167278538,0.00353219353869934,0.00198665306478785,0.000424719337039288,0.0005035237245837,0.000284703362426282,0.00141262979723464,0.00689031436570456,0.0260455084203908,0.0551483593050083,0.0112667056588921,0.00402304994817719,0.00461138026894124,0.0036316855299455,3.30869199215455e-05,9.82024931739135e-06,2.28242545723174e-05,2.66763085993088e-05,0.000189138107411548,0.000346941393473451,0.00787238619218854,0.0890823779967791,0.0220415630268563,0.00435894140711012,0.000214654044055606,0.000159168293900169,2.48796984241022e-05,2.94099038166477e-05,4.80868931933652e-05,6.46986514769931e-05,0.000499367697385585,0.00101772751868358,0.0376188642746826,0.135364649485739,0.0287278400675977,0.00760169248727197,0.0158078812322532,0.00940406145832918,9.44265523493895e-05,6.79373058612928e-05,0.000124908951000509,0.000374475310826279,0.00250999596143002,0.00365398949865256,0.0276328608358457,0.0581063623364733,0.0302730474014488,0.0101902508579206,0.00645030634318365,0.00289081560178463,4.83783074642474e-05,6.05643570992385e-05,7.93098588567724e-05,0.000219995112842157,0.00127856068971963
"Syr_Darya",0.00390139606779335,1.02300697103763e-06,2.44000639687325e-06,1.93033083577059e-07,1.45460005676894e-06,0.000707216006599736,0.000882084808091708,0.000907947937978565,0.000749704925131549,4.77315651031212e-05,9.36402548295702e-06,1.00691344905729e-05,0.00344494543444938,3.22785696243999e-06,8.45719226420794e-07,1.09723728583706e-06,7.65538275600101e-07,9.00088598510039e-05,0.000222572700291501,0.000432772941917729,0.000454484511788461,3.32190860625359e-05,7.1639322547952e-08,0,0.00295468836789131,6.68051172748874e-08,4.84773398506945e-07,5.11926222172008e-07,9.36990912598389e-06,0.000179493913997755,0.000372055090171597,0.000380636034734164,0.000561400700412253,5.57565911435754e-05,2.63467921469279e-07,5.7550159246901e-37,0.00350673626208064,7.73493922114066e-07,2.17505776739122e-06,1.20912922996152e-06,9.90786132996788e-06,0.000626105124712508,0.000847253700076384,0.000829526100204991,0.000835608810538992,3.85373356933915e-05,3.54753069558688e-07,3.82981180102604e-08,0.0029611538700525,9.25054980164229e-08,4.81087876202935e-07,1.68482150453286e-08,4.57957819244639e-07,0.000201880059880629,0.000508679631630918,0.000417452401355776,6.93604713899895e-05,8.54410954024056e-05,0.000247632462842915,4.88291795851248e-07,0.00391099418775644,3.34042735139484e-07,0,3.77037692132308e-06,5.89584026898331e-06,0.00153463943554777,0.000744896975865473,0.000941048428106391,1.75751074081406e-05,1.28946328619962e-05,6.00100621999354e-07,1.65508456939634e-08
"Salween",1.74732187417359e-22,8.56113429353778e-24,6.55686705993763e-24,2.10599262184161e-22,1.9346859055374e-23,4.80543385218533e-23,1.30907070392991e-28,6.03819508277564e-42,2.82361640561451e-42,1.26116861789234e-43,2.75042614309524e-23,2.17035128766595e-30,7.25746535397412e-23,7.17442894998592e-23,4.49764336871426e-23,1.4891020569677e-26,5.14929463809888e-24,1.14182616767088e-20,5.30173214410579e-22,1.06059279109989e-23,3.04081766758485e-42,8.4077907859489e-44,2.57900130642193e-23,2.56165131237191e-34,1.93466531922703e-23,2.15639797603651e-23,1.92039293016539e-23,5.08120049725655e-23,2.44045049642552e-24,2.55703145895514e-20,1.55359582634211e-21,2.17201261970347e-42,1.17288681463987e-42,2.10194769648723e-43,1.39300760437544e-22,2.67902002200948e-23,1.31354945187651e-22,1.2430798213956e-22,1.4522398629222e-22,3.47225053019935e-24,3.61357247111461e-25,3.67269678539757e-23,1.14291426644219e-24,2.43008492075326e-26,8.68805047881387e-44,0,1.82997624209901e-24,5.07971454655563e-26,8.78555943732133e-25,6.02373479956377e-24,2.38313540394793e-24,2.99410572049784e-25,2.43382097928742e-25,2.97214836512726e-25,0,0,0,0,1.76720350930792e-25,1.91767167954629e-37,5.74648061311088e-25,1.00204704362551e-26,6.28375615145626e-26,1.61595137970625e-25,2.55228076991572e-37,5.12485537140461e-26,0,0,0,0,4.0709794973411e-26,1.1184561783901e-39
"Tarim",6.03670893747927e-09,2.62348010926058e-05,0.000314163395675806,8.82516794886719e-06,0.00159325565450821,0.00186795434684487,0.000153266359863008,3.72792873038852e-05,1.52320846985547e-05,2.52781952261969e-05,1.99282292354527e-08,7.09471510705686e-08,5.05111137507218e-08,0.000145473907886173,0.000208882961496714,3.91099556884935e-05,0.000327479340915776,0.000198271448167372,1.57106674084158e-05,1.74362303953438e-06,7.84299241861135e-07,1.24513834088622e-05,4.71177740881261e-08,1.63845424095558e-07,0.000388835482488453,0.000114991641212875,0.000534272439830447,7.39186650204388e-05,0.00185244901368466,0.000586257781391547,0.000114138790335161,2.17819340278163e-05,6.20341811031097e-06,2.12891816404886e-05,1.08711267127188e-07,8.02645112784043e-06,9.30622704547956e-08,0.000102461616173547,0.000396453913066268,2.1220987013554e-05,0.00324953476378153,0.00189351871650709,0.000183689158681091,3.08498667041989e-05,8.11173520715333e-06,6.19982293791229e-06,6.47362355594473e-08,1.5043309947928e-07,1.72193519838758e-05,1.63144238464868e-05,0.000132219560623176,3.83033664536272e-05,0.000539542069651734,0.000161065074678517,1.41588085687927e-05,2.28721258276123e-06,5.17066657644311e-07,7.28787110383095e-06,2.75673807303381e-09,5.99166342228683e-09,4.55546811136842e-09,9.68524869050849e-09,0.000281356815021419,8.13936222912002e-06,0.00213338004260437,0.00377885295181133,0.000376931829749807,5.50643682359897e-05,9.48740476706718e-06,3.80505639655741e-06,3.11928567383411e-08,5.09319950018568e-08
