"","2000","2001","2002","2003","2004","2005"
"Ganges",20.777552317157,5.01925230852153,3.0096152295952,3.05356944094355,2.13175494238603,16.8509540465833
"Mekong",3.95981522460682e-06,0.000166450293307507,7.78720818689635e-08,0.0475674099802783,0.0772192938360953,4.44305061447222e-06
"Irawaddy",5.42827783200544e-13,2.68556097823154e-15,4.00274156910682e-17,4.8409679432884e-14,4.65211160978349e-14,7.58271930947616e-14
"Luni_ext",3.61010835793491,0.641724347671136,0.273656101624805,0.746529773499521,0.426042006625835,3.96259947280959
"Indus",1.53494958959271,0.806345308157854,0.914527401063467,0.954997008467142,0.491174237775029,2.06086761978282
"Amu_Darya",0.0171098376503817,0.0329360380891415,0.0306515682286209,0.0329435725745887,0.0296604470868801,0.0156825275018266
"Brahmaputra",0.0690738229521943,0.0120399645823693,0.0811278937791706,0.00408495510699848,0.0119829210090004,0.0430227777721831
"Syr_Darya",0.045935793609494,0.0405614534432139,0.0347890757273942,0.0412889920082771,0.0348651972752598,0.0460488065314233
"Salween",2.12590818889296e-21,8.8299164889458e-22,2.35384275352632e-22,1.59815195932784e-21,1.06890965852129e-23,6.99155270610339e-24
"Tarim",7.10773790835537e-08,5.94727648920763e-07,0.00457822381934368,1.09573307003202e-06,0.000202743994010036,5.36369653475579e-08
"Ili",0.084181645470507,0.0724469575764045,0.0482832292451579,0.0954482434112638,0.0887047267036457,0.0896001326852362
"Inner_Tibetan_Plateau",0,0,0,0,0,0
"Yangtze",0.183737536944863,0.994276179536032,0.12158942306229,0.0917851526223588,0.339893538124449,0.14075742917379
"Inner_Tibetan_Plateau_extended",0.0265237716930474,0.00399078876034477,0.0153591991655507,0.00705408346383783,0.0323391703531015,0.0258512144011423
"Yellow",0.0260231502988406,0.0333450298432567,0.00114592971175028,0.00503611234371558,8.46111557447694e-06,0.0250766306489405
"all_basins",26.3752414387688,7.65735564944262,4.53543199951986,5.08037789022546,3.66394541883927,23.2605042937643
