"","2000","2001","2002","2003","2004","2005"
"Ganges",0.198083614701445,0.117758877810582,0.0885543030952468,0.123477193858208,0.0640540693366688,0.212904535088718
"Mekong",0.000914500787466712,0.00120614769090048,0.000369435123169765,0.00103459820379963,0.00202547313365226,0.000907017383990404
"Irawaddy",1.65589963871694e-07,6.33167533332761e-09,7.15686125589905e-09,6.42109211535872e-06,4.20184711180283e-06,1.94495572408962e-07
"Luni_ext",0.266674312077064,0.465958360112773,0.431215950221569,0.422540471959364,0.284111348276092,0.259221595907949
"Indus",0.834202940962061,0.789183632420035,0.737257310851943,0.721608741512484,0.59330586548658,0.969729962564252
"Amu_Darya",0.6874488638844,0.559446705826288,0.637838368737981,0.933068903385733,0.635087731628598,0.704576396874506
"Brahmaputra",0.0223739057479578,0.0131649856419328,0.0288669094827754,0.0108220268492253,0.00920241076525359,0.0220442266917481
"Syr_Darya",0.505658867573149,0.50714979106558,0.232619151343597,0.369537318640832,0.234214859070309,0.631193862602005
"Salween",1.30289518301581e-06,5.26572644231913e-10,8.68626251771104e-07,0.000461214816045331,1.74633230100768e-06,1.30488055591451e-06
"Tarim",0.471513169665238,0.488962784294933,0.334809034366964,0.951328297415642,1.42436816486123,0.516106763534314
"Ili",0.274941407083303,0.849127887906845,0.429772930924901,0.598648079817855,0.713692959952924,0.281973455251945
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",0.00275040829870687,0.0645799483765842,0.0200891519323229,0.0353947403854452,0.0249355091039279,0.00268910597351335
"Inner_Tibetan_Plateau_extended",0.301811845261433,0.467488372237675,0.204834537241194,0.472926447580765,0.510106377403722,0.292351472620476
"Yellow",0.0101742114584506,0.0036977466925739,0.00683118244048352,0.00857618884685947,0.0129125347361641,0.0117440803957868
"all_basins",0.201473339189024,0.149118352139544,0.12366479530049,0.168281113309274,0.101042750166338,0.245619499793182
