Basin,Month_of_Max,Max_Value
1,Ganges,Jun,0.552131081832792
2,Mekong,Jun,5.33354940369902e-05
3,Irawaddy,Jul,1.04574047231024e-06
4,Luni_ext,Sep,0.049331838767717
5,Indus,Sep,1.64607663580654
6,Amu_Darya,Aug,0.0916541642835654
7,Brahmaputra,Jul,0.00858866697237835
8,Syr_Darya,Aug,0.0305315266705285
9,Salween,Jun,7.06587964067364e-06
10,Tarim,Aug,0.257030266175204
11,Ili,Aug,0.45993823843127
12,Inner_Tibetan_Plateau,Jul,0.00114730086948889
13,Yangtze,Nov,0.0067904139964902
14,Inner_Tibetan_Plateau_extended,Aug,0.0537748957274182
15,Yellow,Aug,0.0020178073248068
16,all_basins,Aug,2.34160709164918
