Basin,Month_of_Max,Max_Value
1,Ganges,Jun,3.97814999013555
2,Mekong,Jun,0.00555990848369376
3,Irawaddy,Jul,0.000442527416437946
4,Luni_ext,Oct,3.54744644623765
5,Indus,Sep,8.5399135602833
6,Amu_Darya,Sep,8.17550082953436
7,Brahmaputra,Jul,0.395076303057845
8,Syr_Darya,Sep,4.48962608685842
9,Salween,Jun,0.00890127794534036
10,Tarim,Aug,14.7126088341233
11,Ili,Aug,16.4715451706763
12,Inner_Tibetan_Plateau,Jul,11.3473045471274
13,Yangtze,Oct,0.0654906035019743
14,Inner_Tibetan_Plateau_extended,Aug,7.08240075872158
15,Yellow,Mar,0.416969186920258
16,all_basins,Sep,4.03121355493569
