Basin,Month_of_Max,Max_Value
1,Ganges,Sep,14.0050556658586
2,Mekong,Jan,1.9641462576037
3,Irawaddy,Feb,0.711740507577268
4,Luni_ext,Sep,1.24726068310099
5,Indus,Sep,12.5786710248872
6,Amu_Darya,Aug,0.50733764870357
7,Brahmaputra,Mar,4.14372084330962
8,Syr_Darya,Aug,0.53376395027758
9,Salween,Nov,0.0448547549609691
10,Tarim,Jul,0.955925431819403
11,Ili,Aug,0.834792870027815
12,Inner_Tibetan_Plateau,Aug,0.00482044674470217
13,Yangtze,Jul,19.2026723977808
14,Inner_Tibetan_Plateau_extended,Aug,0.376994126353302
15,Yellow,Aug,4.46054082112068
16,all_basins,Sep,45.3802922994791
